,Date,Open,High,Low,Close,Volume
0,7-Apr-17,143.73,144.18,143.27,143.34,16672198
1,6-Apr-17,144.29,144.52,143.45,143.66,21149034
2,5-Apr-17,144.22,145.46,143.81,144.02,27717854
3,4-Apr-17,143.25,144.89,143.17,144.77,19891354
4,3-Apr-17,143.71,144.12,143.05,143.7,19985714
5,31-Mar-17,143.72,144.27,143.01,143.66,19661651
6,30-Mar-17,144.19,144.5,143.5,143.93,21207252
7,29-Mar-17,143.68,144.49,143.19,144.12,29189955
8,28-Mar-17,140.91,144.04,140.62,143.8,33374805
9,27-Mar-17,139.39,141.22,138.62,140.88,23575094
10,24-Mar-17,141.5,141.74,140.35,140.64,22395563
11,23-Mar-17,141.26,141.58,140.61,140.92,20346301
12,22-Mar-17,139.84,141.6,139.76,141.42,25860165
13,21-Mar-17,142.11,142.8,139.73,139.84,39529912
14,20-Mar-17,140.4,141.5,140.23,141.46,21542038
15,17-Mar-17,141.0,141.0,139.89,139.99,43884952
16,16-Mar-17,140.72,141.02,140.26,140.69,19231998
17,15-Mar-17,139.41,140.75,139.02,140.46,25691774
18,14-Mar-17,139.3,139.65,138.84,138.99,15309065
19,13-Mar-17,138.85,139.43,138.82,139.2,17421717
20,10-Mar-17,139.25,139.36,138.64,139.14,19612801
21,9-Mar-17,138.74,138.79,137.05,138.68,22155904
22,8-Mar-17,138.95,139.8,138.82,139.0,18707236
23,7-Mar-17,139.06,139.98,138.79,139.52,17446297
24,6-Mar-17,139.36,139.77,138.6,139.34,21750044
25,3-Mar-17,138.78,139.83,138.59,139.78,21571121
26,2-Mar-17,140.0,140.28,138.76,138.96,26210984
27,1-Mar-17,137.89,140.15,137.6,139.79,36414585
28,28-Feb-17,137.08,137.44,136.7,136.99,23482860
29,27-Feb-17,137.14,137.44,136.28,136.93,20257426
30,24-Feb-17,135.91,136.66,135.28,136.66,21776585
31,23-Feb-17,137.38,137.48,136.3,136.53,20788186
32,22-Feb-17,136.43,137.12,136.11,137.11,20836932
33,21-Feb-17,136.23,136.75,135.98,136.7,24507156
34,17-Feb-17,135.1,135.83,135.1,135.72,22198197
35,16-Feb-17,135.67,135.9,134.84,135.34,22584555
36,15-Feb-17,135.52,136.27,134.62,135.51,35623100
37,14-Feb-17,133.47,135.09,133.25,135.02,33226223
38,13-Feb-17,133.08,133.82,132.75,133.29,23035421
39,10-Feb-17,132.46,132.94,132.05,132.12,20065458
40,9-Feb-17,131.65,132.44,131.12,132.42,28349859
41,8-Feb-17,131.35,132.22,131.22,132.04,23004072
42,7-Feb-17,130.54,132.09,130.45,131.53,38183841
43,6-Feb-17,129.13,130.5,128.9,130.29,26845924
44,3-Feb-17,128.31,129.19,128.16,129.08,24507301
45,2-Feb-17,127.98,129.39,127.78,128.53,33710411
46,1-Feb-17,127.03,130.49,127.01,128.75,111985040
47,31-Jan-17,121.15,121.39,120.62,121.35,49200993
48,30-Jan-17,120.93,121.63,120.66,121.63,30377503
49,27-Jan-17,122.14,122.35,121.6,121.95,20562944
50,26-Jan-17,121.67,122.44,121.6,121.94,26337576
51,25-Jan-17,120.42,122.1,120.28,121.88,32586673
52,24-Jan-17,119.55,120.1,119.5,119.97,23211038
53,23-Jan-17,120.0,120.81,119.77,120.08,22050218
54,20-Jan-17,120.45,120.45,119.73,120.0,32597892
55,19-Jan-17,119.4,120.09,119.37,119.78,25597291
56,18-Jan-17,120.0,120.5,119.71,119.99,23712961
57,17-Jan-17,118.34,120.24,118.22,120.0,34439843
58,13-Jan-17,119.11,119.62,118.81,119.04,26111948
59,12-Jan-17,118.9,119.3,118.21,119.25,27086220
60,11-Jan-17,118.74,119.93,118.6,119.75,27588593
61,10-Jan-17,118.77,119.38,118.3,119.11,24462051
62,9-Jan-17,117.95,119.43,117.94,118.99,33561948
63,6-Jan-17,116.78,118.16,116.47,117.91,31751900
64,5-Jan-17,115.92,116.86,115.81,116.61,22193587
65,4-Jan-17,115.85,116.51,115.75,116.02,21118116
66,3-Jan-17,115.8,116.33,114.76,116.15,28781865
67,30-Dec-16,116.65,117.2,115.43,115.82,30586265
68,29-Dec-16,116.45,117.11,116.4,116.73,15039519
69,28-Dec-16,117.52,118.02,116.2,116.76,20905892
70,27-Dec-16,116.52,117.8,116.49,117.26,18296855
71,23-Dec-16,115.59,116.52,115.59,116.52,14249484
72,22-Dec-16,116.35,116.51,115.64,116.29,26085854
73,21-Dec-16,116.8,117.4,116.78,117.06,23783165
74,20-Dec-16,116.74,117.5,116.68,116.95,21424965
75,19-Dec-16,115.8,117.38,115.75,116.64,27779423
76,16-Dec-16,116.47,116.5,115.64,115.97,44351134
77,15-Dec-16,115.38,116.73,115.23,115.82,46524544
78,14-Dec-16,115.04,116.2,114.98,115.19,34031834
79,13-Dec-16,113.84,115.92,113.75,115.19,43733811
80,12-Dec-16,113.29,115.0,112.49,113.3,26374377
81,9-Dec-16,112.31,114.7,112.31,113.95,34402627
82,8-Dec-16,110.86,112.43,110.6,112.12,27068316
83,7-Dec-16,109.26,111.19,109.16,111.03,29998719
84,6-Dec-16,109.5,110.36,109.19,109.95,26195462
85,5-Dec-16,110.0,110.03,108.25,109.11,34324540
86,2-Dec-16,109.17,110.09,108.85,109.9,26527997
87,1-Dec-16,110.36,110.94,109.03,109.49,37086862
88,30-Nov-16,111.6,112.2,110.27,110.52,36162258
89,29-Nov-16,110.78,112.03,110.07,111.46,28528750
90,28-Nov-16,111.43,112.46,111.39,111.57,27193983
91,25-Nov-16,111.47,111.87,110.95,111.79,11475922
92,23-Nov-16,111.36,111.51,110.33,111.23,27426394
93,22-Nov-16,111.95,112.42,111.4,111.8,25965534
94,21-Nov-16,110.12,111.99,110.01,111.73,29264571
95,18-Nov-16,109.72,110.54,109.66,110.06,28428917
96,17-Nov-16,109.81,110.35,108.83,109.95,26964598
97,16-Nov-16,106.7,110.23,106.6,109.99,58840522
98,15-Nov-16,106.57,107.68,106.16,107.11,32264510
99,14-Nov-16,107.71,107.81,104.08,105.71,51175504
100,11-Nov-16,107.12,108.87,106.55,108.43,34143898
101,10-Nov-16,111.09,111.09,105.83,107.79,57134541
102,9-Nov-16,109.88,111.32,108.05,110.88,59176361
103,8-Nov-16,110.31,111.72,109.7,111.06,24254179
