,Date,Open,High,Low,Close,Volume
0,7-Apr-17,43.62,43.95,43.57,43.83,5327817
1,6-Apr-17,43.81,43.81,43.35,43.67,6067344
2,5-Apr-17,44.17,44.54,43.7,43.8,7762250
3,4-Apr-17,44.53,44.55,44.01,44.18,5399161
4,3-Apr-17,44.42,44.61,44.08,44.47,7955821
5,31-Mar-17,44.33,44.82,44.33,44.41,7146506
6,30-Mar-17,44.63,44.66,44.36,44.55,4411647
7,29-Mar-17,44.67,44.84,44.37,44.67,4186949
8,28-Mar-17,44.74,44.78,44.26,44.7,5377379
9,27-Mar-17,44.53,44.8,44.39,44.7,6914657
10,24-Mar-17,44.76,45.15,44.6,44.73,4753163
11,23-Mar-17,44.71,44.99,44.59,44.77,3953148
12,22-Mar-17,44.94,45.07,44.59,44.81,5198940
13,21-Mar-17,45.15,45.38,44.6,44.8,5567081
14,20-Mar-17,45.19,45.23,44.87,44.98,3521597
15,17-Mar-17,45.1,45.27,44.77,45.19,12277435
16,16-Mar-17,45.17,45.37,44.62,44.98,6704220
17,15-Mar-17,44.96,45.4,44.86,45.32,6844368
18,14-Mar-17,45.19,45.25,44.77,44.8,7504525
19,13-Mar-17,45.65,45.78,45.23,45.53,7040547
20,10-Mar-17,45.77,45.84,45.51,45.72,6105876
21,9-Mar-17,45.36,45.74,45.34,45.63,5691017
22,8-Mar-17,45.03,45.46,44.92,45.36,6398621
23,7-Mar-17,44.81,45.16,44.67,45.0,6476612
24,6-Mar-17,44.99,45.38,44.86,45.13,6001280
25,3-Mar-17,45.42,45.56,45.11,45.25,6790781
26,2-Mar-17,45.5,45.84,45.35,45.69,11164608
27,1-Mar-17,45.37,45.7,45.18,45.59,8886276
28,28-Feb-17,45.41,45.43,44.83,45.08,14211439
29,27-Feb-17,45.51,45.56,45.18,45.46,6142610
30,24-Feb-17,45.29,45.68,45.23,45.68,7608646
31,23-Feb-17,45.02,45.51,44.85,45.4,9459424
32,22-Feb-17,44.88,45.11,44.81,45.01,7534641
33,21-Feb-17,44.65,45.15,44.54,45.01,11387762
34,17-Feb-17,44.17,44.7,44.09,44.69,9632008
35,16-Feb-17,44.0,44.21,43.74,44.2,8975535
36,15-Feb-17,43.5,44.08,43.42,44.0,7946389
37,14-Feb-17,43.01,43.73,42.96,43.65,8458818
38,13-Feb-17,43.0,43.22,42.86,43.22,5672370
39,10-Feb-17,42.74,42.8,42.48,42.74,3692381
40,9-Feb-17,42.5,42.78,42.32,42.54,5138389
41,8-Feb-17,42.66,42.73,42.28,42.4,6731375
42,7-Feb-17,42.57,42.98,42.5,42.89,8697290
43,6-Feb-17,42.57,42.75,42.23,42.43,8735171
44,3-Feb-17,42.94,43.13,42.54,42.78,11642218
45,2-Feb-17,42.18,42.79,41.85,42.75,11836897
46,1-Feb-17,41.51,42.37,41.44,42.33,11948793
47,31-Jan-17,40.73,41.79,40.6,41.77,12318224
48,30-Jan-17,40.86,41.14,40.77,41.01,13811560
49,27-Jan-17,41.11,41.31,40.9,41.0,7033637
50,26-Jan-17,40.46,41.12,40.45,40.96,9410238
51,25-Jan-17,39.76,40.46,39.25,40.31,16890214
52,24-Jan-17,40.32,40.5,40.12,40.31,7773693
53,23-Jan-17,40.32,40.54,40.2,40.34,7351854
54,20-Jan-17,40.51,40.77,40.34,40.46,5908000
55,19-Jan-17,40.64,40.73,40.24,40.4,7160171
56,18-Jan-17,41.05,41.1,40.51,40.76,7195205
57,17-Jan-17,40.67,41.04,40.53,40.9,8272727
58,13-Jan-17,40.75,41.36,40.69,40.93,9533780
59,12-Jan-17,40.79,40.79,40.31,40.72,8633354
60,11-Jan-17,41.05,41.42,40.48,41.08,10699446
61,10-Jan-17,40.81,41.62,40.78,41.29,9256298
62,9-Jan-17,40.79,41.06,40.62,40.74,10992496
63,6-Jan-17,39.7,40.99,39.66,40.78,14628910
64,5-Jan-17,39.24,39.75,38.98,39.7,12080148
65,4-Jan-17,39.06,39.72,39.06,39.36,22644542
66,3-Jan-17,38.63,39.08,38.34,39.05,9677316
67,30-Dec-16,38.33,38.87,38.25,38.41,10445631
68,29-Dec-16,38.3,38.51,38.11,38.31,7050816
69,28-Dec-16,38.63,38.77,38.08,38.22,6828535
70,27-Dec-16,38.48,38.94,38.47,38.6,6633668
71,23-Dec-16,38.33,38.65,38.22,38.42,4625616
72,22-Dec-16,38.15,38.34,37.91,38.29,7980888
73,21-Dec-16,38.19,38.28,37.9,38.24,9190942
74,20-Dec-16,38.4,38.51,38.02,38.19,6992899
75,19-Dec-16,38.23,38.63,38.06,38.34,10153529
76,16-Dec-16,39.02,39.33,37.98,38.1,15107518
77,15-Dec-16,38.76,39.05,38.27,38.93,9229364
78,14-Dec-16,39.42,39.79,38.67,38.82,11284054
79,13-Dec-16,39.31,39.67,39.17,39.44,7483281
80,12-Dec-16,39.2,39.51,39.06,39.2,7772266
81,9-Dec-16,38.82,39.34,38.78,39.2,7802493
82,8-Dec-16,38.33,38.79,38.01,38.68,7046942
83,7-Dec-16,38.13,38.49,37.42,38.48,10888596
84,6-Dec-16,38.44,38.65,38.22,38.42,6136078
85,5-Dec-16,38.11,38.45,37.99,38.43,9514677
86,2-Dec-16,37.68,38.08,37.6,37.9,7252818
87,1-Dec-16,38.12,38.3,37.38,37.6,9008519
88,30-Nov-16,38.75,38.75,38.06,38.07,14916757
89,29-Nov-16,38.86,39.02,38.66,38.73,7338493
90,28-Nov-16,39.22,39.22,38.7,38.74,5727767
91,25-Nov-16,39.08,39.21,38.94,39.16,2733423
92,23-Nov-16,38.04,39.13,37.9,38.98,9570229
93,22-Nov-16,39.42,39.61,37.81,38.1,16242514
94,21-Nov-16,39.85,40.13,39.64,39.76,8614699
95,18-Nov-16,40.31,40.42,39.8,39.84,7015102
96,17-Nov-16,40.0,40.5,40.0,40.39,6579320
97,16-Nov-16,39.8,40.25,39.65,39.95,8894057
98,15-Nov-16,39.29,39.94,39.05,39.81,9264702
99,14-Nov-16,40.11,40.17,39.1,39.2,11193384
100,11-Nov-16,40.38,40.48,39.9,40.14,5728958
101,10-Nov-16,40.52,40.86,40.32,40.61,9716401
102,9-Nov-16,41.5,41.53,39.17,40.07,13102893
103,8-Nov-16,39.62,40.08,39.24,39.83,6654531
104,7-Nov-16,39.64,39.96,39.54,39.86,6458823
105,4-Nov-16,38.45,39.44,38.41,39.09,8748052
106,3-Nov-16,38.86,39.15,38.3,38.38,7529419
107,2-Nov-16,39.05,39.22,38.7,38.7,6323159
108,1-Nov-16,39.24,39.36,38.64,39.05,8078902
109,31-Oct-16,39.43,39.54,39.22,39.24,8241729
110,28-Oct-16,40.25,40.6,39.51,39.54,12520066
111,27-Oct-16,40.09,40.53,40.06,40.29,6583166
112,26-Oct-16,40.0,40.28,39.76,39.96,7196700
113,25-Oct-16,40.42,40.61,40.15,40.19,6598577
114,24-Oct-16,40.79,40.92,40.31,40.41,6998807
115,21-Oct-16,40.41,40.61,40.16,40.5,7276420
116,20-Oct-16,40.01,40.81,40.0,40.74,8725859
117,19-Oct-16,40.52,41.38,39.94,40.01,19300013
118,18-Oct-16,40.85,41.41,40.5,41.17,9604947
119,17-Oct-16,40.73,40.95,40.55,40.59,7252727
120,14-Oct-16,41.17,41.53,40.77,40.79,8818965
121,13-Oct-16,40.74,41.24,40.41,40.98,6544653
122,12-Oct-16,41.05,41.42,40.82,40.98,6403932
123,11-Oct-16,43.2,43.27,41.02,41.16,23896101
124,10-Oct-16,43.15,43.78,43.06,43.5,8285075
125,7-Oct-16,43.0,43.19,42.57,42.97,7249757
126,6-Oct-16,42.69,43.05,42.32,42.97,7250220
127,5-Oct-16,42.34,42.81,42.33,42.74,7218730
128,4-Oct-16,42.48,42.79,41.86,42.1,5870725
129,3-Oct-16,42.06,42.58,41.88,42.55,5947395
130,30-Sep-16,41.74,42.47,41.69,42.29,7451020
131,29-Sep-16,42.11,42.25,41.26,41.44,6785740
132,28-Sep-16,42.25,42.53,41.91,42.29,5228267
133,27-Sep-16,41.71,42.34,41.56,42.33,5964927
134,26-Sep-16,42.01,42.02,41.61,41.68,6378154
135,23-Sep-16,42.25,42.42,42.05,42.19,6912285
136,22-Sep-16,42.16,42.49,42.04,42.22,5829666
137,21-Sep-16,41.62,42.01,41.26,41.92,5461266
138,20-Sep-16,41.95,42.0,41.58,41.58,4867018
139,19-Sep-16,42.04,42.36,41.59,41.68,7552674
140,16-Sep-16,40.95,42.03,40.83,41.87,15790211
141,15-Sep-16,40.79,41.26,40.65,41.12,6100131
142,14-Sep-16,40.69,41.04,40.55,40.81,7707838
143,13-Sep-16,41.23,41.24,40.48,40.64,6929986
144,12-Sep-16,40.85,41.52,40.77,41.42,7759551
