,Date,Open,High,Low,Close,Volume
0,7-Apr-17,117.0,117.74,116.5,117.44,2408028
1,6-Apr-17,117.68,117.93,116.76,116.81,2049602
2,5-Apr-17,118.24,119.09,117.49,117.64,1902105
3,4-Apr-17,117.28,118.07,117.28,118.04,1690734
4,3-Apr-17,118.0,118.17,117.0,117.64,3918099
5,31-Mar-17,120.71,121.21,119.84,119.88,2102781
6,30-Mar-17,120.89,121.0,120.05,120.52,2030644
7,29-Mar-17,121.66,121.71,120.15,120.98,2438878
8,28-Mar-17,119.82,122.34,119.01,121.35,5516010
9,27-Mar-17,118.73,119.8,118.3,119.39,3122818
10,24-Mar-17,120.78,121.31,118.76,118.98,3949828
11,23-Mar-17,122.71,123.01,120.54,120.76,7116837
12,22-Mar-17,125.03,126.53,124.47,126.48,4288622
13,21-Mar-17,125.08,125.41,123.63,124.64,3219859
14,20-Mar-17,125.22,125.39,124.17,124.39,2257442
15,17-Mar-17,124.71,125.45,123.83,125.22,4603637
16,16-Mar-17,124.89,125.19,123.61,124.1,2182041
17,15-Mar-17,123.41,124.99,123.03,124.8,2087675
18,14-Mar-17,124.17,124.73,123.63,123.91,1627855
19,13-Mar-17,124.23,124.75,123.47,124.04,2233737
20,10-Mar-17,123.65,124.33,123.07,123.93,1931099
21,9-Mar-17,124.37,124.37,122.65,123.18,2338125
22,8-Mar-17,124.11,124.79,123.78,124.46,2168611
23,7-Mar-17,123.63,124.38,123.12,124.14,2705285
24,6-Mar-17,122.99,123.43,122.53,123.24,1814082
25,3-Mar-17,124.2,124.25,122.98,123.64,2122955
26,2-Mar-17,123.99,124.43,123.56,124.35,1896716
27,1-Mar-17,123.24,124.29,122.46,124.07,1879707
28,28-Feb-17,122.75,123.09,121.93,122.5,1745371
29,27-Feb-17,123.01,123.43,122.48,122.79,1679832
30,24-Feb-17,122.0,123.43,121.6,123.43,1447663
31,23-Feb-17,122.59,122.7,121.73,122.48,1439556
32,22-Feb-17,121.66,122.88,121.58,122.21,1557038
33,21-Feb-17,120.63,122.22,120.57,122.1,2117134
34,17-Feb-17,120.51,121.29,120.1,121.23,1904933
35,16-Feb-17,119.93,120.99,119.53,120.72,1966972
36,15-Feb-17,119.61,120.16,119.3,119.93,1951131
37,14-Feb-17,118.47,120.0,118.4,120.0,2559693
38,13-Feb-17,117.9,118.95,117.72,118.59,1988541
