,Date,Open,High,Low,Close,Volume
0,7-Apr-17,237.62,239.73,236.43,238.85,2237900
1,6-Apr-17,237.77,239.97,237.15,238.34,1512926
2,5-Apr-17,238.44,241.36,237.34,237.77,2001969
3,4-Apr-17,237.93,239.67,236.77,238.43,1771132
4,3-Apr-17,238.76,241.25,236.5,237.68,2062794
5,31-Mar-17,238.92,241.07,238.43,238.92,2340793
6,30-Mar-17,241.48,241.82,239.14,239.8,1852877
7,29-Mar-17,240.61,243.06,240.45,241.34,2233778
8,28-Mar-17,239.38,241.21,239.38,240.53,1975647
9,27-Mar-17,235.34,240.47,235.15,239.38,2515433
10,24-Mar-17,235.35,238.35,234.86,237.33,2688552
11,23-Mar-17,234.13,237.2,233.0,235.29,2639098
12,22-Mar-17,234.21,236.41,233.35,233.99,2228947
13,21-Mar-17,237.05,238.47,234.31,234.55,3862478
14,20-Mar-17,237.98,238.0,236.38,236.95,3592095
15,17-Mar-17,238.9,240.4,237.23,237.38,4946289
16,16-Mar-17,241.22,241.22,238.6,239.42,1830549
17,15-Mar-17,239.44,241.25,237.35,240.67,2167283
18,14-Mar-17,239.49,241.01,238.39,239.45,2063574
19,13-Mar-17,241.37,241.76,240.28,240.65,3841193
20,10-Mar-17,240.53,242.44,238.85,241.15,9454398
21,9-Mar-17,240.31,241.68,238.72,240.18,2008733
22,8-Mar-17,242.04,243.13,239.0,239.44,3256315
23,7-Mar-17,239.99,240.84,236.5,239.6,5612744
24,6-Mar-17,244.76,244.93,241.48,242.36,2612594
25,3-Mar-17,244.07,245.97,243.01,245.63,2357149
26,2-Mar-17,245.94,248.5,244.52,244.96,2642887
27,1-Mar-17,245.94,246.74,242.44,245.29,3177155
28,28-Feb-17,245.75,246.69,243.74,244.82,4556309
29,27-Feb-17,244.0,247.08,243.48,246.25,2354192
30,24-Feb-17,246.11,246.88,243.94,245.37,1842944
31,23-Feb-17,245.5,248.58,244.88,247.03,1954897
32,22-Feb-17,247.26,249.0,246.02,246.32,1920148
33,21-Feb-17,247.35,249.84,246.4,247.16,2555443
34,17-Feb-17,246.13,248.29,245.67,247.35,2494568
35,16-Feb-17,249.33,249.5,245.22,246.93,2978722
36,15-Feb-17,249.1,250.94,246.5,249.32,3510906
37,14-Feb-17,246.66,249.27,244.65,248.57,2937033
38,13-Feb-17,245.9,249.6,245.9,246.76,3025626
39,10-Feb-17,245.5,247.19,243.5,246.36,3084426
40,9-Feb-17,241.84,249.64,241.54,245.68,6926013
41,8-Feb-17,236.09,243.8,231.53,241.17,6587224
42,7-Feb-17,235.0,238.4,230.88,232.61,5077790
43,6-Feb-17,228.76,234.58,227.0,234.43,3205888
44,3-Feb-17,230.0,232.23,227.82,230.87,2776471
45,2-Feb-17,228.72,235.19,226.5,229.52,5677392
46,1-Feb-17,219.0,230.6,217.56,229.32,6637165
47,31-Jan-17,209.91,219.55,209.31,218.89,3294071
48,30-Jan-17,212.98,213.2,210.75,211.87,2533322
49,27-Jan-17,211.54,214.59,210.81,213.2,2397516
50,26-Jan-17,214.31,214.94,210.6,210.8,2128098
51,25-Jan-17,213.7,215.37,211.1,213.57,3018480
52,24-Jan-17,214.99,215.47,210.7,213.11,3132431
53,23-Jan-17,212.43,218.08,211.11,214.82,3877584
54,20-Jan-17,214.76,216.07,213.13,214.34,2925807
55,19-Jan-17,217.0,217.46,214.15,214.58,3142741
56,18-Jan-17,216.5,219.13,214.7,216.56,2680021
57,17-Jan-17,214.4,215.88,211.43,214.78,3866058
58,13-Jan-17,215.76,217.98,215.71,216.14,3898459
59,12-Jan-17,213.84,217.17,208.35,216.24,3989102
60,11-Jan-17,220.5,222.43,212.05,216.24,6717523
61,10-Jan-17,220.36,223.28,217.27,221.25,2789264
62,9-Jan-17,220.09,221.48,218.91,220.1,2721001
63,6-Jan-17,220.0,222.14,217.56,219.08,3443646
64,5-Jan-17,216.5,221.85,213.26,220.83,5121784
65,4-Jan-17,216.78,218.94,213.55,215.56,3639944
66,3-Jan-17,214.15,216.72,212.25,216.19,7935320
67,30-Dec-16,207.6,212.45,207.51,210.01,3998884
68,29-Dec-16,203.69,208.36,203.69,207.21,4904710
69,28-Dec-16,201.01,205.12,200.67,204.06,3812756
70,27-Dec-16,199.34,202.53,199.18,200.49,2851285
71,23-Dec-16,193.91,199.19,193.74,199.08,4179664
72,22-Dec-16,194.13,194.95,192.79,193.99,2560723
73,21-Dec-16,191.07,195.55,191.0,193.99,2986495
74,20-Dec-16,193.0,193.38,189.87,191.33,4040991
75,19-Dec-16,193.78,195.94,192.03,192.55,3828387
76,16-Dec-16,192.11,194.78,191.02,192.81,7137017
77,15-Dec-16,192.91,194.37,190.51,192.62,4353143
78,14-Dec-16,193.91,194.06,189.97,192.4,4534580
79,13-Dec-16,190.99,194.62,190.0,193.32,6732968
80,12-Dec-16,191.5,193.81,188.74,190.76,5305406
81,9-Dec-16,189.31,196.3,189.13,192.25,5378130
