,Date,Open,High,Low,Close,Volume
0,7-Apr-17,61.52,61.82,61.29,61.34,4847157
1,6-Apr-17,61.5,62.07,61.39,61.84,3862618
2,5-Apr-17,62.53,62.77,61.55,61.62,4605297
3,4-Apr-17,61.71,62.26,61.5,62.18,4553323
4,3-Apr-17,62.43,62.56,61.34,61.79,5158756
5,31-Mar-17,62.41,62.84,62.25,62.43,5295973
6,30-Mar-17,61.73,62.89,61.68,62.57,4706557
7,29-Mar-17,61.6,61.89,61.51,61.77,5369787
8,28-Mar-17,60.69,62.25,60.62,61.86,6490971
9,27-Mar-17,60.14,61.12,59.89,60.93,6639297
10,24-Mar-17,61.5,61.77,60.44,60.88,8466731
11,23-Mar-17,61.31,61.9,61.2,61.34,6894584
12,22-Mar-17,61.58,61.83,61.1,61.24,7417700
13,21-Mar-17,62.68,62.68,61.56,61.76,7307265
14,20-Mar-17,62.21,62.84,61.88,62.37,4596632
15,17-Mar-17,62.64,63.04,62.03,62.42,16458441
16,16-Mar-17,63.15,63.47,62.78,62.91,5186557
17,15-Mar-17,63.09,63.39,62.88,63.23,5862627
18,14-Mar-17,62.75,63.02,62.41,62.88,5131206
19,13-Mar-17,61.97,63.32,61.81,63.18,8328066
20,10-Mar-17,63.29,63.4,62.87,63.08,5005584
21,9-Mar-17,64.54,64.75,62.95,63.21,8564505
22,8-Mar-17,63.85,64.05,63.29,63.44,5864970
23,7-Mar-17,63.69,63.76,62.66,63.45,8145609
24,6-Mar-17,63.8,64.01,63.37,63.78,5305708
25,3-Mar-17,63.86,64.37,63.77,64.22,4639875
26,2-Mar-17,64.59,64.73,63.85,63.9,6833676
27,1-Mar-17,64.73,64.9,64.37,64.63,10136993
28,28-Feb-17,63.76,64.29,63.7,63.92,8014685
29,27-Feb-17,63.55,64.51,63.53,64.0,8548755
30,24-Feb-17,63.69,63.71,63.22,63.63,6466476
31,23-Feb-17,64.24,64.27,63.88,64.02,6081436
32,22-Feb-17,63.1,64.44,63.03,63.83,10006598
33,21-Feb-17,62.76,63.58,62.51,63.41,9402423
34,17-Feb-17,62.09,62.52,61.81,62.5,7797911
35,16-Feb-17,60.8,62.69,60.7,62.27,14253640
36,15-Feb-17,62.54,62.99,60.41,60.85,38234945
37,14-Feb-17,66.43,66.92,66.26,66.89,7933744
38,13-Feb-17,65.74,66.3,65.65,66.14,4568916
39,10-Feb-17,65.41,65.88,65.35,65.61,5076166
40,9-Feb-17,65.04,65.58,64.94,65.32,5373053
41,8-Feb-17,64.7,65.04,64.5,64.91,3181863
42,7-Feb-17,65.19,65.25,64.76,64.88,3645651
43,6-Feb-17,64.54,65.05,64.5,64.9,2871482
44,3-Feb-17,64.97,65.18,64.5,64.94,4380706
