,Date,Open,High,Low,Close,Volume
0,7-Apr-17,81.36,81.49,80.95,81.11,1228719
1,6-Apr-17,81.45,81.6,81.05,81.44,1614200
2,5-Apr-17,81.81,82.17,81.28,81.42,1575151
3,4-Apr-17,81.47,81.8,81.4,81.63,1672300
4,3-Apr-17,81.54,81.75,81.08,81.32,1790111
5,31-Mar-17,81.45,81.79,81.2,81.49,1548126
6,30-Mar-17,81.3,81.83,81.16,81.64,1159316
7,29-Mar-17,81.94,82.08,81.29,81.39,1019259
8,28-Mar-17,80.81,82.1,80.73,81.89,1219009
9,27-Mar-17,80.37,81.32,80.07,81.09,1428165
10,24-Mar-17,81.27,81.51,80.63,80.99,1368886
11,23-Mar-17,81.5,81.92,81.16,81.26,1480674
12,22-Mar-17,81.59,81.82,81.33,81.38,1669775
13,21-Mar-17,82.46,82.7,81.59,81.69,2179342
14,20-Mar-17,82.85,83.06,82.3,82.37,1324987
15,17-Mar-17,82.9,83.09,82.6,82.85,2316274
16,16-Mar-17,82.56,83.0,82.46,82.89,1783589
17,15-Mar-17,82.04,82.75,82.04,82.62,1418824
18,14-Mar-17,82.05,82.3,81.83,82.18,1437146
19,13-Mar-17,81.87,82.13,81.72,82.1,1256704
20,10-Mar-17,81.82,82.1,81.57,82.05,1560630
21,9-Mar-17,81.32,81.63,81.07,81.57,1708769
22,8-Mar-17,81.87,81.97,80.94,81.13,1661357
23,7-Mar-17,81.32,81.7,81.14,81.46,1621840
24,6-Mar-17,81.49,81.75,81.14,81.34,1657033
25,3-Mar-17,81.83,82.0,81.4,81.86,2331472
26,2-Mar-17,82.89,83.05,81.74,81.75,2628209
27,1-Mar-17,82.52,82.83,82.1,82.69,2721311
28,28-Feb-17,81.29,82.29,81.0,82.16,2550521
29,27-Feb-17,80.94,81.51,80.84,81.34,2103201
30,24-Feb-17,80.18,80.91,79.89,80.91,1973346
31,23-Feb-17,80.4,80.9,80.31,80.55,3190404
32,22-Feb-17,80.13,80.78,80.06,80.58,2438546
33,21-Feb-17,80.56,80.8,80.31,80.62,2436741
34,17-Feb-17,80.47,80.48,80.08,80.44,1920323
35,16-Feb-17,80.62,80.82,80.4,80.8,1779026
36,15-Feb-17,80.0,80.72,79.59,80.71,1820244
37,14-Feb-17,79.72,79.82,79.1,79.8,1798022
38,13-Feb-17,78.95,79.64,78.81,79.61,1427476
39,10-Feb-17,78.55,79.31,78.13,78.88,1637416
40,9-Feb-17,78.09,78.38,77.73,78.35,1912658
41,8-Feb-17,78.1,78.19,77.8,77.99,1496627
42,7-Feb-17,78.5,78.68,78.07,78.12,1764922
43,6-Feb-17,77.43,78.22,76.97,78.08,2348314
44,3-Feb-17,77.92,78.0,77.29,77.48,2110276
45,2-Feb-17,76.74,78.12,76.38,77.4,3883196
46,1-Feb-17,75.57,75.97,75.0,75.24,2411685
47,31-Jan-17,75.27,75.58,74.74,75.21,2041900
48,30-Jan-17,75.49,75.67,75.12,75.61,1748051
49,27-Jan-17,75.29,75.81,75.22,75.59,1275469
50,26-Jan-17,75.42,75.85,75.21,75.81,1575041
51,25-Jan-17,74.77,75.53,74.74,75.39,1769074
52,24-Jan-17,74.24,74.66,73.97,74.47,1075494
53,23-Jan-17,74.59,74.65,73.96,74.15,1232721
54,20-Jan-17,74.37,74.96,74.37,74.54,1528423
55,19-Jan-17,74.66,74.78,73.9,74.22,1282140
56,18-Jan-17,74.0,74.83,73.92,74.52,1795756
57,17-Jan-17,73.61,73.89,73.39,73.85,1180686
58,13-Jan-17,73.91,74.35,73.8,73.89,1220163
59,12-Jan-17,73.56,73.79,73.13,73.68,1110509
60,11-Jan-17,73.94,74.26,73.59,73.94,1738517
61,10-Jan-17,73.28,74.3,73.26,73.75,2350036
62,9-Jan-17,73.95,74.05,73.04,73.09,1802222
63,6-Jan-17,73.68,74.46,73.48,74.15,1614752
64,5-Jan-17,74.18,74.44,73.8,74.03,1741760
65,4-Jan-17,74.38,74.95,74.21,74.37,1948384
66,3-Jan-17,74.0,74.56,73.54,74.17,2020076
67,30-Dec-16,74.54,74.56,73.93,74.12,1709628
68,29-Dec-16,74.38,74.57,74.2,74.28,1190076
69,28-Dec-16,74.66,74.7,74.21,74.35,1624687
70,27-Dec-16,74.58,74.65,74.31,74.51,1217974
71,23-Dec-16,74.48,74.77,74.32,74.58,1088002
72,22-Dec-16,74.42,74.65,74.07,74.48,1716640
73,21-Dec-16,74.48,74.66,74.31,74.44,1062455
74,20-Dec-16,74.59,74.72,74.31,74.48,1669203
75,19-Dec-16,74.24,74.57,74.17,74.37,1876894
76,16-Dec-16,73.78,74.16,73.54,74.11,3313439
77,15-Dec-16,72.66,73.75,72.43,73.54,2080150
78,14-Dec-16,72.92,73.33,72.42,72.61,2194958
79,13-Dec-16,72.65,73.13,72.54,72.93,2613321
80,12-Dec-16,72.44,72.95,72.3,72.82,1982125
81,9-Dec-16,71.77,72.5,71.51,72.47,2169349
82,8-Dec-16,71.77,71.98,71.17,71.67,1986110
83,7-Dec-16,71.13,71.75,70.73,71.65,1827425
84,6-Dec-16,70.58,70.97,70.45,70.95,2285597
85,5-Dec-16,70.84,70.95,70.22,70.36,2771621
86,2-Dec-16,70.43,70.78,70.26,70.61,1903344
87,1-Dec-16,69.95,70.38,69.76,70.35,2329237
88,30-Nov-16,70.08,70.58,69.48,69.92,5911949
89,29-Nov-16,71.29,71.64,69.04,69.63,6665418
