,Date,Open,High,Low,Close,Volume
0,7-Apr-17,899.65,900.09,889.31,894.88,3710922
1,6-Apr-17,913.8,917.19,894.49,898.28,6344065
2,5-Apr-17,910.82,923.72,905.62,909.28,7508370
3,4-Apr-17,891.5,908.54,890.28,906.83,4984656
4,3-Apr-17,888.0,893.49,885.42,891.51,3422328
5,31-Mar-17,877.0,890.35,876.65,886.54,3957612
6,30-Mar-17,874.95,877.06,871.66,876.34,2762730
7,29-Mar-17,859.05,876.44,859.02,874.32,4485770
8,28-Mar-17,851.75,858.46,850.1,856.0,3041633
9,27-Mar-17,838.07,850.3,833.5,846.82,2755775
10,24-Mar-17,851.68,851.8,843.53,845.61,2138269
11,23-Mar-17,848.2,850.89,844.8,847.38,1952964
12,22-Mar-17,840.43,849.37,839.05,848.06,2658669
13,21-Mar-17,858.84,862.8,841.31,843.2,4382852
14,20-Mar-17,851.51,857.8,851.01,856.97,2282727
15,17-Mar-17,853.49,853.83,850.64,852.31,3384403
16,16-Mar-17,855.3,855.5,850.51,853.42,1842296
17,15-Mar-17,854.33,854.45,847.11,852.97,2562176
18,14-Mar-17,853.55,853.75,847.55,852.53,2130586
19,13-Mar-17,851.77,855.69,851.71,854.59,1909672
20,10-Mar-17,857.0,857.35,851.72,852.46,2436434
21,9-Mar-17,851.0,856.4,850.31,853.0,2048187
22,8-Mar-17,848.0,853.07,846.79,850.5,2288317
23,7-Mar-17,845.48,848.46,843.75,846.02,2247554
24,6-Mar-17,845.23,848.49,841.12,846.61,2610370
25,3-Mar-17,847.2,851.98,846.27,849.88,1951575
26,2-Mar-17,853.08,854.82,847.28,848.91,2132098
27,1-Mar-17,853.05,854.83,849.01,853.08,2760083
28,28-Feb-17,851.45,854.09,842.05,845.04,2793709
29,27-Feb-17,842.38,852.5,839.67,848.64,2713627
30,24-Feb-17,844.69,845.81,837.75,845.24,3687963
31,23-Feb-17,857.57,860.86,848.0,852.19,3461984
32,22-Feb-17,856.95,858.43,852.18,855.61,2616971
33,21-Feb-17,848.84,857.98,847.25,856.44,3507742
34,17-Feb-17,842.0,847.27,840.73,845.07,3112275
