,Date,Open,High,Low,Close,Volume
0,7-Apr-17,77.48,78.24,77.37,77.77,2203039
1,6-Apr-17,77.76,78.3,77.15,77.92,2914808
2,5-Apr-17,78.59,79.03,77.66,77.76,2858427
3,4-Apr-17,78.49,78.61,78.15,78.26,2563659
4,3-Apr-17,79.17,79.18,77.97,78.59,3022678
5,31-Mar-17,78.93,79.43,78.8,79.11,5228391
6,30-Mar-17,78.2,79.3,78.09,79.21,2924106
7,29-Mar-17,78.45,79.34,78.14,78.25,2913623
8,28-Mar-17,77.51,78.86,77.39,78.64,4235903
9,27-Mar-17,77.21,77.82,76.67,77.6,3835309
10,24-Mar-17,78.11,78.84,77.87,78.2,4726801
11,23-Mar-17,77.57,78.4,77.51,77.84,4082889
12,22-Mar-17,77.43,78.18,77.06,77.67,4877322
13,21-Mar-17,78.93,79.13,77.32,77.53,6804000
14,20-Mar-17,79.15,79.6,78.83,78.85,3099528
15,17-Mar-17,79.92,79.96,78.98,79.25,6672551
16,16-Mar-17,79.47,80.1,79.39,79.77,3474802
17,15-Mar-17,79.85,79.89,78.99,79.23,4337240
18,14-Mar-17,78.96,79.8,78.83,79.69,3321548
19,13-Mar-17,79.38,79.54,79.06,79.21,3664310
20,10-Mar-17,79.38,79.46,78.88,79.38,3762755
21,9-Mar-17,79.19,79.7,78.8,79.3,4573537
22,8-Mar-17,80.0,80.37,78.97,79.04,4326793
23,7-Mar-17,79.77,80.02,79.33,79.58,4434208
24,6-Mar-17,79.5,79.68,79.09,79.5,3670253
25,3-Mar-17,80.27,80.66,79.82,79.88,4597534
26,2-Mar-17,81.66,81.66,80.06,80.1,4409788
27,1-Mar-17,81.05,82.0,81.02,81.92,4746363
28,28-Feb-17,80.12,80.49,79.77,80.06,4415322
29,27-Feb-17,79.75,80.31,79.59,80.17,2619409
30,24-Feb-17,79.76,79.89,79.26,79.76,3932313
31,23-Feb-17,79.87,80.45,79.77,80.05,3339493
32,22-Feb-17,79.83,79.98,79.39,79.86,2942964
33,21-Feb-17,79.92,80.45,79.64,79.97,3505538
34,17-Feb-17,79.22,79.78,78.9,79.71,2690300
35,16-Feb-17,79.46,79.6,78.92,79.51,4295031
36,15-Feb-17,79.79,80.1,78.67,79.6,5704079
37,14-Feb-17,79.0,79.45,78.67,79.41,3511213
38,13-Feb-17,78.82,79.18,78.48,78.91,3317118
39,10-Feb-17,78.5,78.69,78.23,78.48,2191153
40,9-Feb-17,77.9,78.37,77.67,78.18,3031767
41,8-Feb-17,77.54,77.94,77.08,77.8,2223099
42,7-Feb-17,78.06,78.38,77.52,77.72,2060209
43,6-Feb-17,77.72,78.41,77.48,77.82,3229512
44,3-Feb-17,77.14,78.42,76.91,78.04,5235837
45,2-Feb-17,76.23,76.89,76.06,76.51,3655543
46,1-Feb-17,76.85,77.44,76.58,76.76,3916764
47,31-Jan-17,76.86,77.25,75.97,76.38,5568099
48,30-Jan-17,76.83,77.32,76.54,77.28,5344520
49,27-Jan-17,77.0,77.3,76.54,76.85,3530945
50,26-Jan-17,76.95,77.46,76.63,76.93,3344901
51,25-Jan-17,78.0,78.02,76.4,76.89,5278290
52,24-Jan-17,76.33,77.66,76.09,77.43,4024267
53,23-Jan-17,75.92,76.48,75.73,75.97,4444322
54,20-Jan-17,75.99,76.91,75.39,76.2,8465939
55,19-Jan-17,77.61,77.78,76.61,76.69,8111384
56,18-Jan-17,77.11,77.6,76.51,77.49,5988353
57,17-Jan-17,77.4,77.7,76.47,76.6,6450259
58,13-Jan-17,76.93,77.63,76.41,76.62,3454338
59,12-Jan-17,76.83,76.95,75.84,76.88,4056691
60,11-Jan-17,76.67,77.44,76.1,76.91,4500174
61,10-Jan-17,76.52,78.0,76.12,76.65,9561414
62,9-Jan-17,76.14,76.5,75.53,75.86,4818703
63,6-Jan-17,75.4,75.92,75.06,75.47,3089593
64,5-Jan-17,76.0,76.18,74.82,75.32,3383003
65,4-Jan-17,75.26,76.55,75.06,76.26,4635796
66,3-Jan-17,74.89,75.75,74.74,75.35,5853881
67,30-Dec-16,73.96,74.34,73.84,74.08,3378805
68,29-Dec-16,74.27,74.68,73.5,73.92,2573668
69,28-Dec-16,75.03,75.38,74.15,74.37,2517302
70,27-Dec-16,75.1,75.11,74.79,74.98,2049447
71,23-Dec-16,74.74,75.24,74.74,74.97,1957502
72,22-Dec-16,75.0,75.37,74.5,74.58,2865190
73,21-Dec-16,75.11,75.57,74.69,75.32,3244537
74,20-Dec-16,75.0,75.5,74.53,75.06,3244923
75,19-Dec-16,74.68,75.13,74.14,74.55,3076648
76,16-Dec-16,75.29,75.38,74.58,75.0,8200621
77,15-Dec-16,74.54,75.74,74.34,74.94,4061600
78,14-Dec-16,73.53,75.73,73.24,74.07,5415755
79,13-Dec-16,73.67,74.23,73.11,73.84,2892870
80,12-Dec-16,74.7,74.7,73.15,73.58,3654947
81,9-Dec-16,74.84,74.91,74.29,74.77,2566883
82,8-Dec-16,74.8,75.2,73.99,74.91,3415782
83,7-Dec-16,72.47,74.72,72.23,74.29,5801483
84,6-Dec-16,72.47,72.74,72.08,72.31,3843944
85,5-Dec-16,72.33,72.64,71.99,72.03,3929106
86,2-Dec-16,72.52,72.66,71.43,71.86,2959077
87,1-Dec-16,72.45,72.77,71.78,72.53,4298162
88,30-Nov-16,72.0,72.33,71.78,72.04,4812489
89,29-Nov-16,72.2,72.26,71.38,71.49,3814802
90,28-Nov-16,72.53,72.77,71.97,72.13,4467747
91,25-Nov-16,72.97,73.18,72.46,72.86,1900447
92,23-Nov-16,71.94,72.92,71.51,72.88,4691260
93,22-Nov-16,71.82,71.88,70.87,71.72,4086200
94,21-Nov-16,71.31,71.67,70.96,71.54,3368167
95,18-Nov-16,71.53,71.6,70.77,71.0,5430609
96,17-Nov-16,71.36,72.0,71.32,71.78,3779687
97,16-Nov-16,71.95,72.4,71.28,71.68,4663671
98,15-Nov-16,72.13,72.48,71.24,72.47,4431192
99,14-Nov-16,70.8,72.68,70.62,72.42,8084104
100,11-Nov-16,69.97,70.59,69.65,70.5,4656115
101,10-Nov-16,69.24,70.4,69.05,70.11,9419195
102,9-Nov-16,67.16,69.0,67.06,68.74,9319120
103,8-Nov-16,66.79,67.26,66.31,67.07,3955973
104,7-Nov-16,66.85,67.33,66.65,67.0,4012053
105,4-Nov-16,65.5,66.08,65.03,65.51,3429896
106,3-Nov-16,65.53,65.76,65.04,65.33,3796470
107,2-Nov-16,65.76,66.03,65.14,65.45,3658990
108,1-Nov-16,66.77,66.81,65.73,66.25,3761564
109,31-Oct-16,66.81,66.83,66.31,66.42,3233384
110,28-Oct-16,67.15,67.22,66.3,66.45,4994491
111,27-Oct-16,67.0,67.22,66.43,66.93,4751290
112,26-Oct-16,66.5,67.07,66.14,66.8,3621817
113,25-Oct-16,66.93,67.38,66.61,66.74,3882253
114,24-Oct-16,67.69,67.93,67.07,67.09,5174043
115,21-Oct-16,66.45,67.59,66.4,67.36,8561225
116,20-Oct-16,65.34,67.78,64.75,66.78,25870728
117,19-Oct-16,60.42,61.68,60.27,61.25,7888481
118,18-Oct-16,60.52,60.57,59.88,60.08,3416606
119,17-Oct-16,60.27,60.42,59.78,59.9,3903945
120,14-Oct-16,61.01,61.2,60.1,60.15,4963849
121,13-Oct-16,60.23,60.56,59.5,60.41,4220483
122,12-Oct-16,60.82,61.05,60.58,60.69,3293769
123,11-Oct-16,61.53,61.7,60.55,60.86,3926531
124,10-Oct-16,62.15,62.49,61.87,61.9,2522929
125,7-Oct-16,62.11,62.27,61.48,61.76,4217375
126,6-Oct-16,63.56,63.68,61.76,61.94,7975905
127,5-Oct-16,63.77,64.53,63.69,64.36,3345014
128,4-Oct-16,63.84,64.38,63.71,63.91,3709357
129,3-Oct-16,63.83,64.05,63.54,63.81,2770007
130,30-Sep-16,63.78,64.37,63.63,64.04,4306976
131,29-Sep-16,64.21,64.81,62.96,63.37,4132452
132,28-Sep-16,64.27,64.5,63.73,64.22,3580082
133,27-Sep-16,63.93,64.42,63.58,64.28,3916263
134,26-Sep-16,63.44,64.13,62.85,63.42,6946585
135,23-Sep-16,64.51,64.83,63.78,63.85,5083894
136,22-Sep-16,64.35,65.08,64.33,64.63,3213744
137,21-Sep-16,63.99,64.5,63.72,64.28,3849309
138,20-Sep-16,64.52,64.64,63.7,63.72,2927577
139,19-Sep-16,63.96,64.58,63.67,64.06,3388582
140,16-Sep-16,63.37,63.95,63.16,63.66,10475829
141,15-Sep-16,63.4,64.16,63.26,63.83,4660355
142,14-Sep-16,64.36,64.36,63.34,63.48,5403347
143,13-Sep-16,65.22,65.32,64.04,64.36,5620271
144,12-Sep-16,64.72,66.09,64.14,65.9,4923161
145,9-Sep-16,65.74,66.02,65.12,65.12,5144878
146,8-Sep-16,66.15,66.71,66.05,66.24,4078875
147,7-Sep-16,65.49,66.2,65.31,66.19,3200694
148,6-Sep-16,65.16,65.77,65.05,65.76,3956384
149,2-Sep-16,65.06,65.66,64.86,65.19,3131691
150,1-Sep-16,65.55,65.64,64.42,64.86,3657718
151,31-Aug-16,65.47,65.72,64.86,65.58,4783608
152,30-Aug-16,65.77,65.97,65.1,65.45,3775806
153,29-Aug-16,65.0,65.77,64.8,65.52,4173845
154,26-Aug-16,65.27,65.49,64.52,64.79,3623618
155,25-Aug-16,65.0,65.15,64.76,65.0,4243804
156,24-Aug-16,65.85,66.12,65.05,65.16,4128222
157,23-Aug-16,65.73,66.28,65.68,65.68,3551696
158,22-Aug-16,65.53,65.54,64.96,65.36,3230735
159,19-Aug-16,65.47,65.68,65.07,65.53,2783160
160,18-Aug-16,65.52,65.78,65.27,65.63,2807456
161,17-Aug-16,65.4,65.85,65.09,65.68,3054603
162,16-Aug-16,65.61,65.67,65.28,65.3,2805603
163,15-Aug-16,65.27,65.82,65.27,65.63,3136685
164,12-Aug-16,65.16,65.51,65.01,65.38,2103814
165,11-Aug-16,65.0,65.66,64.89,65.48,2450148
166,10-Aug-16,65.43,65.5,64.58,64.74,2882977
167,9-Aug-16,65.83,66.01,65.17,65.39,3701576
168,8-Aug-16,65.83,66.25,65.6,65.83,3253729
169,5-Aug-16,64.54,65.71,64.35,65.52,4863805
170,4-Aug-16,63.88,64.02,63.51,63.94,3680004
171,3-Aug-16,63.5,64.02,63.47,63.83,3034536
172,2-Aug-16,63.96,64.22,63.2,63.47,2530953
173,1-Aug-16,64.49,64.74,63.96,64.13,2913879
174,29-Jul-16,64.7,64.74,64.17,64.46,3732749
175,28-Jul-16,64.36,64.97,64.06,64.79,3043993
176,27-Jul-16,64.27,64.94,64.2,64.59,3168485
