,Date,Open,High,Low,Close,Volume
0,7-Apr-17,23.03,23.34,22.93,23.16,79519370
1,6-Apr-17,23.17,23.46,22.96,23.26,82975196
2,5-Apr-17,23.77,23.88,23.15,23.17,97453336
3,4-Apr-17,23.2,23.51,23.2,23.44,75244440
4,3-Apr-17,23.65,23.75,23.08,23.59,88076585
5,31-Mar-17,23.83,23.97,23.59,23.59,77158276
6,30-Mar-17,23.38,23.98,23.33,23.87,79189235
7,29-Mar-17,23.51,23.65,23.31,23.35,67204492
8,28-Mar-17,23.01,23.67,23.0,23.48,95761732
9,27-Mar-17,22.28,23.05,22.16,23.03,119513475
10,24-Mar-17,23.2,23.35,22.76,23.12,113499139
11,23-Mar-17,23.04,23.49,22.91,23.07,111666799
12,22-Mar-17,22.65,23.18,22.45,22.94,167984438
13,21-Mar-17,24.5,24.56,22.95,23.02,259545810
14,20-Mar-17,24.58,24.76,24.42,24.44,87287477
15,17-Mar-17,25.22,25.27,24.83,24.86,105222387
16,16-Mar-17,25.24,25.49,25.19,25.22,70306233
17,15-Mar-17,25.39,25.55,24.96,25.18,114662671
18,14-Mar-17,25.19,25.34,25.05,25.32,63182745
19,13-Mar-17,25.3,25.41,25.13,25.3,56886181
20,10-Mar-17,25.62,25.62,25.09,25.31,86998808
21,9-Mar-17,25.35,25.53,25.23,25.35,78984607
22,8-Mar-17,25.6,25.77,25.22,25.26,105314569
23,7-Mar-17,25.22,25.36,25.1,25.21,64053694
24,6-Mar-17,25.33,25.35,25.08,25.25,75660430
25,3-Mar-17,25.3,25.65,25.3,25.44,92681401
26,2-Mar-17,25.68,25.8,25.2,25.23,99824552
27,1-Mar-17,25.37,25.61,25.22,25.5,143947510
28,28-Feb-17,24.48,24.7,24.42,24.68,90241979
29,27-Feb-17,24.2,24.66,24.19,24.57,69129148
30,24-Feb-17,24.12,24.35,24.02,24.23,97074433
31,23-Feb-17,24.79,24.89,24.51,24.58,85845982
32,22-Feb-17,24.61,24.95,24.54,24.79,81531895
33,21-Feb-17,24.59,24.8,24.58,24.78,78571450
34,17-Feb-17,24.28,24.58,24.2,24.52,85789239
35,16-Feb-17,24.54,24.62,24.3,24.58,98144469
36,15-Feb-17,24.34,24.77,24.11,24.58,151233334
37,14-Feb-17,23.4,24.17,23.33,24.06,139711380
38,13-Feb-17,23.17,23.54,23.17,23.4,105342461
39,10-Feb-17,23.19,23.24,22.96,23.08,90548254
40,9-Feb-17,22.76,23.15,22.64,23.12,102634174
41,8-Feb-17,22.73,22.73,22.45,22.67,102264514
42,7-Feb-17,23.28,23.29,22.86,22.9,87982945
43,6-Feb-17,23.15,23.38,23.07,23.12,92228389
44,3-Feb-17,23.15,23.35,22.95,23.29,116035108
45,2-Feb-17,22.74,22.79,22.51,22.72,88679063
46,1-Feb-17,22.97,23.22,22.82,22.89,103630853
47,31-Jan-17,22.77,23.02,22.5,22.64,91044261
48,30-Jan-17,23.2,23.2,22.71,22.95,91561224
