,Date,Open,High,Low,Close,Volume
0,7-Apr-17,270.6,270.84,267.32,268.73,1677602
1,6-Apr-17,270.14,272.6,269.34,270.94,1623152
2,5-Apr-17,274.48,274.66,270.07,270.44,1340182
3,4-Apr-17,273.0,274.73,272.57,274.24,1086219
4,3-Apr-17,274.08,274.79,271.29,272.69,1589017
5,31-Mar-17,269.3,275.0,268.02,273.42,2747445
6,30-Mar-17,268.69,270.07,267.74,269.06,1448834
7,29-Mar-17,273.91,273.91,268.2,268.53,2632221
8,28-Mar-17,275.59,276.71,272.5,274.11,1149367
9,27-Mar-17,272.55,276.71,272.34,275.23,1133652
10,24-Mar-17,277.08,278.1,272.87,274.82,1368217
11,23-Mar-17,277.03,279.39,274.69,275.41,1605032
12,22-Mar-17,276.43,278.54,274.93,277.87,1333588
13,21-Mar-17,276.4,284.71,274.54,275.79,3841567
14,20-Mar-17,276.86,278.61,272.97,274.8,1666855
15,17-Mar-17,276.07,280.61,274.61,276.09,3140208
16,16-Mar-17,285.01,285.43,275.7,278.96,3870926
17,15-Mar-17,293.14,294.56,289.39,292.64,1376048
18,14-Mar-17,292.27,293.39,290.18,292.47,797920
19,13-Mar-17,291.55,293.85,290.15,292.95,1291753
20,10-Mar-17,293.31,293.9,289.45,292.24,1303701
21,9-Mar-17,291.27,294.92,290.44,293.06,1281210
22,8-Mar-17,290.18,294.82,288.72,294.09,1253038
23,7-Mar-17,293.89,293.89,290.67,291.1,1298355
24,6-Mar-17,297.09,297.9,294.4,295.66,1395575
25,3-Mar-17,293.12,298.0,293.12,297.85,1170895
26,2-Mar-17,293.64,296.93,291.0,293.59,1282367
27,1-Mar-17,290.07,294.17,289.14,293.26,1319662
28,28-Feb-17,290.13,291.42,287.19,288.6,1251341
29,27-Feb-17,285.39,291.25,284.27,291.13,1295089
30,24-Feb-17,285.01,285.81,266.0,285.13,1768544
31,23-Feb-17,287.75,288.11,283.36,284.75,1418866
32,22-Feb-17,287.75,289.43,285.22,287.63,1045957
33,21-Feb-17,289.16,289.91,286.22,286.9,1471212
34,17-Feb-17,290.0,291.9,287.76,288.94,2022911
35,16-Feb-17,292.5,293.98,287.76,290.13,1834892
36,15-Feb-17,284.57,292.89,284.24,292.64,2601209
37,14-Feb-17,279.86,286.06,279.01,285.14,2404545
38,13-Feb-17,276.28,279.76,275.16,278.91,1795505
39,10-Feb-17,270.68,276.41,269.98,274.76,1648854
40,9-Feb-17,268.24,271.16,267.74,270.44,1399655
41,8-Feb-17,265.43,269.01,265.43,268.74,1922644
42,7-Feb-17,269.47,269.67,264.56,266.11,1546866
43,6-Feb-17,264.46,265.73,263.18,264.91,1619058
44,3-Feb-17,264.98,266.0,261.76,264.67,1537510
45,2-Feb-17,263.76,264.52,260.5,264.23,2733879
46,1-Feb-17,278.98,282.07,277.51,281.69,1699544
47,31-Jan-17,275.01,278.0,271.9,277.24,1856355
48,30-Jan-17,278.27,278.9,274.22,276.06,1300320
49,27-Jan-17,280.46,281.98,277.29,278.21,1353362
50,26-Jan-17,278.0,285.78,277.0,278.89,2419015
51,25-Jan-17,274.54,277.78,271.43,273.24,2788425
52,24-Jan-17,275.74,278.4,271.47,273.82,1975246
53,23-Jan-17,280.35,282.72,275.49,276.02,1858013
54,20-Jan-17,282.07,282.56,279.41,280.66,1979109
55,19-Jan-17,282.74,284.84,279.23,280.35,1421500
56,18-Jan-17,284.79,286.16,282.87,283.61,1079736
57,17-Jan-17,284.28,286.35,281.08,283.01,1971069
58,13-Jan-17,288.07,289.86,284.25,284.75,1711466
59,12-Jan-17,286.61,288.99,285.04,287.77,1354719
60,11-Jan-17,296.95,297.9,285.0,287.11,2450513
61,10-Jan-17,300.42,301.42,296.43,297.79,1408419
62,9-Jan-17,295.39,300.0,294.41,299.02,1430479
63,6-Jan-17,294.59,296.41,292.39,295.0,1082512
64,5-Jan-17,294.81,296.32,292.22,293.57,1318575
65,4-Jan-17,291.59,296.83,290.04,294.05,1273467
66,3-Jan-17,285.82,293.2,284.86,291.71,1763443
67,30-Dec-16,287.79,288.56,282.64,283.58,1327153
68,29-Dec-16,288.96,290.41,285.23,287.03,1120879
69,28-Dec-16,291.99,292.11,288.5,289.25,1036170
70,27-Dec-16,295.17,296.38,290.75,291.12,1453100
71,23-Dec-16,283.05,288.38,281.81,287.53,1118144
72,22-Dec-16,281.83,283.17,280.02,283.07,1061841
73,21-Dec-16,285.06,285.65,281.0,283.11,1377843
74,20-Dec-16,280.98,286.67,279.13,285.59,2219556
75,19-Dec-16,286.59,290.51,272.96,278.77,2553470
76,16-Dec-16,287.62,289.09,286.0,286.4,2273191
77,15-Dec-16,287.16,288.53,285.02,286.97,1706514
78,14-Dec-16,288.21,289.96,285.24,286.25,1299333
79,13-Dec-16,286.75,289.5,284.81,287.38,1596156
80,12-Dec-16,289.2,290.95,284.07,286.49,1776185
81,9-Dec-16,305.24,306.98,281.79,287.77,6257682
82,8-Dec-16,285.8,292.97,278.58,289.54,4771276
83,7-Dec-16,285.5,288.97,280.5,285.3,1967395
84,6-Dec-16,291.75,294.45,290.0,291.16,1572611
85,5-Dec-16,298.94,299.89,289.48,290.22,1870741
86,2-Dec-16,296.53,299.95,293.04,297.19,1429360
87,1-Dec-16,296.32,296.65,293.11,295.78,1684754
88,30-Nov-16,303.34,304.3,293.95,294.07,2164882
89,29-Nov-16,304.73,307.42,302.53,302.77,1389545
90,28-Nov-16,304.36,305.84,301.3,303.78,1247877
91,25-Nov-16,306.46,307.15,302.39,305.2,741587
92,23-Nov-16,293.82,308.88,293.8,305.93,5378165
93,22-Nov-16,320.79,321.0,314.02,318.11,1522222
94,21-Nov-16,318.36,320.31,316.52,318.32,1331116
95,18-Nov-16,318.86,321.0,313.31,317.0,1298399
96,17-Nov-16,318.23,320.24,315.35,319.3,1447006
97,16-Nov-16,323.15,325.3,317.39,317.65,1218135
98,15-Nov-16,321.55,323.15,314.61,322.58,1685065
99,14-Nov-16,319.73,324.83,317.54,321.49,1567854
100,11-Nov-16,320.29,322.64,314.47,319.18,1619528
101,10-Nov-16,321.95,329.83,319.49,324.4,2665842
102,9-Nov-16,312.0,328.98,309.68,319.86,4271743
103,8-Nov-16,295.2,299.07,292.55,295.6,1031009
104,7-Nov-16,290.64,297.27,289.23,295.62,2189951
105,4-Nov-16,269.39,279.93,268.0,277.0,1307599
106,3-Nov-16,277.65,278.57,272.98,273.49,1407914
107,2-Nov-16,282.31,282.31,277.09,277.26,1081865
108,1-Nov-16,280.03,285.18,279.53,282.56,1371542
109,31-Oct-16,284.91,285.0,279.23,280.18,1448893
110,28-Oct-16,290.29,290.47,280.34,283.64,1884480
111,27-Oct-16,298.0,300.78,290.51,290.89,1554338
112,26-Oct-16,294.98,301.34,291.3,296.46,2660104
113,25-Oct-16,290.84,291.08,285.27,286.0,1838332
114,24-Oct-16,292.3,293.4,290.0,290.78,1088183
115,21-Oct-16,299.07,299.07,289.78,290.65,1567526
116,20-Oct-16,293.85,300.32,293.77,299.66,1323709
117,19-Oct-16,296.26,296.54,292.49,295.14,988160
118,18-Oct-16,292.87,298.57,292.63,295.05,1153112
119,17-Oct-16,289.89,293.42,288.25,291.67,1209675
120,14-Oct-16,295.63,297.34,290.13,290.5,1149803
121,13-Oct-16,289.19,296.62,288.91,294.41,1571633
122,12-Oct-16,298.29,299.12,291.49,291.88,1823719
123,11-Oct-16,304.13,304.52,296.32,298.3,1494581
124,10-Oct-16,308.0,308.7,304.27,304.59,987242
125,7-Oct-16,307.31,308.0,302.22,305.59,1525994
126,6-Oct-16,308.3,309.89,303.92,305.99,865092
127,5-Oct-16,313.27,313.32,308.6,309.7,977263
128,4-Oct-16,311.94,314.0,309.88,311.48,914048
129,3-Oct-16,313.0,313.0,308.85,311.59,1001181
130,30-Sep-16,306.59,314.38,306.04,313.03,2124784
131,29-Sep-16,310.17,312.47,304.04,305.78,1133926
132,28-Sep-16,315.99,315.99,308.74,310.55,1020123
133,27-Sep-16,309.78,315.0,307.5,314.53,1104517
134,26-Sep-16,311.7,312.02,308.68,309.82,924232
135,23-Sep-16,312.58,317.32,312.11,312.58,881641
136,22-Sep-16,313.07,315.98,311.37,314.81,1378024
137,21-Sep-16,309.0,312.39,304.11,312.0,1527608
138,20-Sep-16,306.06,308.86,304.0,307.05,1100149
139,19-Sep-16,304.83,308.0,303.17,303.5,1108344
140,16-Sep-16,303.15,306.29,300.17,304.51,1874532
141,15-Sep-16,300.0,304.46,298.01,302.82,1276546
142,14-Sep-16,298.34,304.11,298.21,299.79,1538707
143,13-Sep-16,300.25,300.76,294.74,297.41,1829334
144,12-Sep-16,294.14,303.85,293.84,302.66,1810964
145,9-Sep-16,304.62,305.48,296.07,296.1,1976236
146,8-Sep-16,311.35,312.44,307.42,307.73,1482300
147,7-Sep-16,309.96,313.72,309.96,312.3,1155574
148,6-Sep-16,310.43,316.47,309.12,310.67,1705393
149,2-Sep-16,311.83,318.88,308.66,313.59,2230390
150,1-Sep-16,307.96,309.25,305.02,306.03,1068034
151,31-Aug-16,307.68,308.68,304.22,305.63,1044983
152,30-Aug-16,305.24,309.0,305.0,307.86,1070960
153,29-Aug-16,307.87,309.14,304.79,306.13,1044953
154,26-Aug-16,307.21,310.74,304.56,308.17,1124177
155,25-Aug-16,309.03,311.97,301.02,306.85,1669761
156,24-Aug-16,318.18,321.74,306.73,309.33,1646520
157,23-Aug-16,316.81,322.99,315.28,318.17,1429298
158,22-Aug-16,316.15,320.82,315.13,316.81,1317755
159,19-Aug-16,313.69,319.89,312.38,316.81,1393517
160,18-Aug-16,313.57,313.76,312.0,313.38,878954
161,17-Aug-16,314.17,314.71,311.29,313.82,852640
162,16-Aug-16,313.27,316.67,312.64,313.42,946103
163,15-Aug-16,313.4,315.08,310.01,313.39,929774
164,12-Aug-16,311.99,315.23,311.65,313.94,993791
165,11-Aug-16,309.47,316.25,309.42,314.49,1771130
166,10-Aug-16,315.0,315.0,307.14,308.87,1236312
167,9-Aug-16,313.72,316.24,311.8,314.42,1132233
168,8-Aug-16,316.02,316.35,309.16,313.65,2136783
169,5-Aug-16,316.16,318.91,313.69,315.96,1358794
170,4-Aug-16,320.15,320.45,314.01,314.56,2002341
171,3-Aug-16,321.77,324.3,310.06,321.34,6040515
172,2-Aug-16,302.88,333.65,297.66,330.11,7799985
173,1-Aug-16,300.0,307.5,299.06,301.83,3565617
174,29-Jul-16,288.85,290.46,286.8,289.93,1338487
175,28-Jul-16,288.61,289.98,285.07,289.03,1454493
176,27-Jul-16,286.83,288.77,286.08,288.35,1458156
177,26-Jul-16,286.0,289.95,285.47,287.04,1987081
178,25-Jul-16,287.84,290.58,285.02,287.35,1977714
