,Date,Open,High,Low,Close,Volume
0,7-Apr-17,46.94,47.47,46.85,47.15,3084043
1,6-Apr-17,46.96,47.49,46.67,47.31,3242340
2,5-Apr-17,47.31,47.95,46.96,47.0,4125049
3,4-Apr-17,46.98,47.32,46.79,46.97,3686451
4,3-Apr-17,47.23,47.39,46.3,47.13,5268322
5,31-Mar-17,47.32,47.61,47.2,47.23,2854172
6,30-Mar-17,46.8,47.65,46.63,47.53,3100927
7,29-Mar-17,47.0,47.04,46.68,46.72,2901550
8,28-Mar-17,46.09,47.33,46.06,47.0,3133419
9,27-Mar-17,45.29,46.3,45.12,46.25,4730774
10,24-Mar-17,46.41,46.6,45.93,46.25,3545156
11,23-Mar-17,46.12,46.68,45.93,46.28,4963197
12,22-Mar-17,46.19,46.32,45.72,46.16,6039835
13,21-Mar-17,47.48,47.49,46.11,46.42,8262901
14,20-Mar-17,47.68,47.76,47.2,47.21,4274711
15,17-Mar-17,48.64,48.65,47.82,47.91,7792730
16,16-Mar-17,48.45,48.74,48.34,48.47,3668994
17,15-Mar-17,48.5,48.75,48.21,48.33,4420247
18,14-Mar-17,48.2,48.38,47.81,48.26,3704375
19,13-Mar-17,48.27,48.53,48.13,48.35,3991715
20,10-Mar-17,48.28,48.36,47.76,48.17,3632079
21,9-Mar-17,48.26,48.47,47.8,47.93,4497934
22,8-Mar-17,48.24,48.45,47.96,48.19,5157624
23,7-Mar-17,47.9,47.99,47.59,47.67,3791247
24,6-Mar-17,47.74,47.93,47.53,47.9,4192258
25,3-Mar-17,47.83,48.22,47.75,47.95,6140887
26,2-Mar-17,48.51,48.51,47.67,47.99,6263303
27,1-Mar-17,47.98,48.78,47.88,48.5,8605706
28,28-Feb-17,46.97,47.19,46.68,47.14,6080837
29,27-Feb-17,47.03,47.36,47.02,47.11,3799654
30,24-Feb-17,46.91,47.1,46.71,47.09,3896977
31,23-Feb-17,47.31,47.39,47.02,47.34,3637919
32,22-Feb-17,47.27,47.55,47.08,47.29,3935684
33,21-Feb-17,47.25,47.64,47.23,47.5,4484110
34,17-Feb-17,46.71,47.15,46.46,47.14,3669893
35,16-Feb-17,47.36,47.47,46.91,47.07,3501676
36,15-Feb-17,47.02,47.53,46.8,47.43,4833059
37,14-Feb-17,46.13,46.86,46.1,46.82,4710850
38,13-Feb-17,45.9,46.27,45.88,46.12,4297189
39,10-Feb-17,45.55,45.72,45.42,45.56,3975182
40,9-Feb-17,45.31,45.64,45.19,45.5,4378455
41,8-Feb-17,45.2,45.33,44.91,45.14,4602018
42,7-Feb-17,45.87,45.93,45.34,45.45,3584753
43,6-Feb-17,45.34,45.95,45.3,45.66,3915011
44,3-Feb-17,45.43,45.92,45.18,45.67,6939150
45,2-Feb-17,44.65,45.08,44.5,44.8,5359963
46,1-Feb-17,45.07,45.38,44.9,45.02,9078493
47,31-Jan-17,44.53,44.86,44.4,44.73,6420601
48,30-Jan-17,44.51,44.68,44.23,44.67,6221527
49,27-Jan-17,44.83,44.96,44.48,44.78,5863733
50,26-Jan-17,45.05,45.18,44.74,44.97,6699954
51,25-Jan-17,45.05,45.22,44.4,44.91,7333789
52,24-Jan-17,44.07,44.83,43.89,44.63,6029919
53,23-Jan-17,44.41,44.76,43.85,43.87,8209191
