,Date,Open,High,Low,Close,Volume
0,7-Apr-17,381.72,389.3,381.72,386.02,550688
1,6-Apr-17,381.25,385.44,380.24,384.1,330738
2,5-Apr-17,383.48,386.79,380.2,380.91,467344
3,4-Apr-17,381.23,381.88,379.07,380.8,407515
4,3-Apr-17,383.83,385.2,378.16,382.09,502221
5,31-Mar-17,382.58,386.24,381.57,383.51,435102
6,30-Mar-17,378.1,384.13,378.1,383.04,483874
7,29-Mar-17,378.52,380.92,377.58,379.41,461607
8,28-Mar-17,373.78,381.88,373.61,380.63,593799
9,27-Mar-17,369.26,375.05,368.0,375.0,614093
10,24-Mar-17,376.77,377.96,372.23,374.41,318372
11,23-Mar-17,374.5,379.32,374.5,375.4,418130
12,22-Mar-17,373.58,376.21,372.0,375.47,343821
13,21-Mar-17,383.0,383.12,374.09,375.16,610452
14,20-Mar-17,382.12,382.44,378.87,380.45,436096
15,17-Mar-17,391.23,391.23,382.62,382.85,672191
16,16-Mar-17,389.11,392.12,387.25,390.0,535613
17,15-Mar-17,385.4,388.97,384.1,388.22,433502
18,14-Mar-17,383.19,386.09,381.34,383.29,353423
19,13-Mar-17,385.62,386.13,383.11,384.89,404290
20,10-Mar-17,387.33,387.99,383.89,384.58,483357
21,9-Mar-17,385.32,386.96,381.93,384.27,393669
22,8-Mar-17,387.98,389.03,384.37,384.55,416108
23,7-Mar-17,387.06,387.65,384.2,385.35,360683
24,6-Mar-17,387.72,388.94,385.76,387.66,366371
25,3-Mar-17,392.03,392.93,389.42,390.17,340929
26,2-Mar-17,395.15,395.38,391.42,391.65,475213
27,1-Mar-17,394.25,399.17,392.79,397.81,791512
28,28-Feb-17,389.04,391.08,386.92,387.46,781830
29,27-Feb-17,389.55,391.37,388.22,391.0,368616
30,24-Feb-17,388.03,389.16,385.72,389.16,483465
31,23-Feb-17,391.47,391.76,388.0,390.61,387262
32,22-Feb-17,389.04,390.95,387.79,390.71,422219
33,21-Feb-17,390.94,392.83,388.98,390.1,434326
34,17-Feb-17,389.76,390.69,388.01,388.76,607444
35,16-Feb-17,392.63,393.7,389.93,391.97,503653
36,15-Feb-17,385.29,393.72,385.29,393.04,640034
37,14-Feb-17,385.8,386.51,383.26,384.98,772293
38,13-Feb-17,384.74,387.28,383.34,385.83,453260
39,10-Feb-17,380.19,383.94,379.85,382.89,578687
40,9-Feb-17,376.48,379.91,375.68,378.57,493692
41,8-Feb-17,375.08,376.26,373.8,374.56,433765
42,7-Feb-17,377.63,379.0,376.52,376.89,547663
43,6-Feb-17,374.55,378.83,374.55,377.42,546494
44,3-Feb-17,372.0,378.64,371.57,378.0,953646
45,2-Feb-17,366.45,372.45,365.83,371.64,832437
46,1-Feb-17,375.21,378.11,370.87,373.0,619442
47,31-Jan-17,374.69,375.27,372.2,373.98,714556
48,30-Jan-17,374.81,375.53,370.7,375.18,591815
49,27-Jan-17,380.45,381.37,372.9,375.06,686848
50,26-Jan-17,382.55,388.28,378.41,379.42,837096
51,25-Jan-17,384.98,388.82,383.89,388.33,596960
52,24-Jan-17,380.1,383.39,378.54,381.38,615129
53,23-Jan-17,381.34,381.34,376.03,378.06,503297
54,20-Jan-17,379.28,381.63,378.83,381.4,660866
55,19-Jan-17,377.67,379.7,376.1,377.35,456077
56,18-Jan-17,376.16,378.04,373.39,378.0,508507
57,17-Jan-17,377.1,377.1,373.34,374.8,647529
58,13-Jan-17,378.69,386.95,375.95,379.35,620408
59,12-Jan-17,379.62,379.87,372.21,378.29,777350
60,11-Jan-17,379.67,382.47,377.1,380.95,948840
61,10-Jan-17,381.78,382.28,378.55,380.31,452775
62,9-Jan-17,384.35,385.43,380.01,380.42,505259
63,6-Jan-17,383.57,385.47,381.43,384.3,453419
64,5-Jan-17,384.98,386.7,380.08,382.54,468371
65,4-Jan-17,384.65,386.97,383.16,386.66,680837
66,3-Jan-17,384.62,387.95,382.28,386.43,743947
67,30-Dec-16,381.56,382.35,378.64,380.54,515629
68,29-Dec-16,381.34,384.19,378.92,379.0,485336
69,28-Dec-16,388.38,388.74,380.71,381.03,506110
70,27-Dec-16,388.01,388.58,385.62,387.49,285646
71,23-Dec-16,387.12,388.84,384.35,385.74,579765
72,22-Dec-16,390.26,390.26,385.33,387.12,863153
73,21-Dec-16,398.82,399.09,392.21,393.53,672197
74,20-Dec-16,392.41,399.46,392.22,398.45,716418
75,19-Dec-16,392.25,393.55,389.0,389.77,812185
76,16-Dec-16,395.23,396.4,391.0,392.62,1023375
77,15-Dec-16,391.52,394.7,388.81,393.75,630221
78,14-Dec-16,391.22,396.91,388.81,390.0,942688
79,13-Dec-16,391.28,395.04,389.13,392.64,906956
80,12-Dec-16,394.28,396.64,385.26,390.28,1460881
81,9-Dec-16,391.9,391.95,386.2,388.54,934898
82,8-Dec-16,380.02,392.05,377.64,390.33,1115159
83,7-Dec-16,374.42,380.44,373.77,379.81,503808
84,6-Dec-16,375.34,375.38,371.4,373.97,644176
85,5-Dec-16,374.33,376.72,371.54,374.35,589242
86,2-Dec-16,377.21,377.46,369.4,371.36,569010
87,1-Dec-16,373.81,381.24,371.65,377.2,930236
88,30-Nov-16,372.57,372.93,368.61,370.79,621879
89,29-Nov-16,369.13,370.97,366.22,368.55,694626
90,28-Nov-16,370.98,372.8,368.21,368.65,501797
91,25-Nov-16,373.03,374.12,371.11,373.67,227062
92,23-Nov-16,372.38,373.77,370.5,372.99,517837
93,22-Nov-16,375.12,376.05,371.4,373.06,529095
94,21-Nov-16,374.44,375.08,372.1,374.57,375640
95,18-Nov-16,371.22,375.2,370.55,372.78,468931
96,17-Nov-16,368.45,372.15,367.07,371.37,567167
97,16-Nov-16,369.48,372.3,367.39,367.45,658965
98,15-Nov-16,373.82,374.22,367.51,372.15,1096757
99,14-Nov-16,373.78,375.44,369.79,373.81,772904
100,11-Nov-16,371.85,373.95,367.79,371.19,660012
101,10-Nov-16,368.84,380.3,367.11,375.01,1442262
102,9-Nov-16,352.92,365.94,349.04,364.42,1107351
103,8-Nov-16,356.04,356.84,351.95,353.49,777336
104,7-Nov-16,352.04,358.93,351.97,357.64,1080253
105,4-Nov-16,341.36,348.72,339.9,345.8,1034794
106,3-Nov-16,339.47,343.11,338.71,341.14,714039
107,2-Nov-16,340.86,341.72,337.43,338.61,668001
108,1-Nov-16,343.36,343.42,338.53,340.96,796002
109,31-Oct-16,341.49,343.14,339.02,341.24,809108
110,28-Oct-16,341.75,342.45,337.77,339.69,614011
111,27-Oct-16,341.63,342.57,337.15,340.28,703485
