,Date,Open,High,Low,Close,Volume
0,7-Apr-17,124.46,126.32,124.0,125.58,2675200
1,6-Apr-17,124.1,124.74,123.65,124.3,2883292
2,5-Apr-17,125.28,126.66,123.91,124.18,3406185
3,4-Apr-17,123.64,124.85,123.54,124.77,2293700
4,3-Apr-17,124.92,125.69,123.7,124.05,3728614
5,31-Mar-17,124.03,124.85,123.63,124.43,2866309
6,30-Mar-17,123.93,124.49,123.37,124.34,1908686
7,29-Mar-17,124.28,125.06,123.96,124.09,2055284
8,28-Mar-17,124.61,125.45,123.76,124.43,3059647
9,27-Mar-17,122.25,125.99,122.15,124.86,4370158
10,24-Mar-17,123.72,124.13,122.95,123.38,2845493
11,23-Mar-17,123.19,124.13,122.47,123.22,2785755
12,22-Mar-17,124.05,124.6,122.17,123.37,3991773
13,21-Mar-17,126.67,127.04,123.44,123.82,4435918
14,20-Mar-17,125.57,127.15,125.34,126.51,2878400
15,17-Mar-17,126.73,127.64,125.51,125.77,6142409
16,16-Mar-17,127.05,127.25,124.82,126.62,4110071
17,15-Mar-17,124.95,127.44,124.65,126.88,4879019
18,14-Mar-17,124.4,125.33,124.03,124.68,2955071
19,13-Mar-17,124.18,124.57,123.01,124.43,2833523
20,10-Mar-17,126.5,126.5,123.24,124.0,5096906
21,9-Mar-17,123.3,126.16,123.1,125.13,5599524
22,8-Mar-17,122.01,123.3,121.56,123.04,3529555
23,7-Mar-17,122.17,122.72,121.21,122.08,3590991
24,6-Mar-17,123.45,124.02,122.5,123.52,2809430
25,3-Mar-17,122.08,123.89,121.31,123.66,3229181
26,2-Mar-17,123.64,124.2,121.72,122.24,3782542
27,1-Mar-17,124.79,124.79,122.7,123.7,4528950
28,28-Feb-17,121.86,124.56,121.7,123.51,6513617
29,27-Feb-17,118.3,122.0,118.01,121.78,4220447
30,24-Feb-17,118.5,119.31,117.28,118.23,4485995
31,23-Feb-17,119.86,119.95,117.7,119.46,4410062
32,22-Feb-17,119.48,120.5,118.84,119.27,3834874
33,21-Feb-17,121.39,122.22,119.12,119.44,4641754
34,17-Feb-17,119.13,121.19,118.8,121.16,4858957
35,16-Feb-17,120.16,120.77,118.25,118.66,3384330
36,15-Feb-17,117.13,120.63,117.03,120.47,5229593
37,14-Feb-17,116.13,117.21,115.09,117.02,3536621
38,13-Feb-17,116.02,116.85,115.7,116.42,2350847
39,10-Feb-17,116.7,117.0,115.25,115.61,3102837
40,9-Feb-17,116.48,116.92,115.02,116.74,3409345
41,8-Feb-17,115.71,116.19,114.74,115.35,3285859
42,7-Feb-17,116.34,117.36,115.85,116.26,2605288
43,6-Feb-17,115.69,116.53,115.04,116.09,3526910
44,3-Feb-17,116.03,116.32,114.51,115.64,2571146
45,2-Feb-17,116.34,117.0,114.68,115.54,4244553
46,1-Feb-17,116.11,117.68,115.26,117.41,4674361
47,31-Jan-17,112.03,116.32,111.9,116.15,5976809
48,30-Jan-17,113.48,114.0,111.9,113.18,4290322
49,27-Jan-17,112.01,113.84,111.46,113.62,4069884
50,26-Jan-17,114.58,115.0,111.06,111.53,7107318
51,25-Jan-17,113.36,114.27,112.86,113.98,5333010
52,24-Jan-17,112.75,113.0,111.26,112.45,3251341
53,23-Jan-17,112.73,113.36,111.63,112.31,3577137
54,20-Jan-17,114.28,114.75,112.42,112.66,5288587
55,19-Jan-17,115.07,115.29,113.15,113.62,4701297
56,18-Jan-17,115.1,115.26,114.29,115.22,4041063
57,17-Jan-17,116.36,116.42,113.15,114.95,5371436
58,13-Jan-17,117.15,118.7,116.82,117.48,3548478
59,12-Jan-17,117.11,117.65,115.31,117.08,3977966
60,11-Jan-17,120.0,120.81,115.26,117.24,7612374
61,10-Jan-17,120.41,121.59,119.58,119.98,4688116
62,9-Jan-17,120.05,122.39,117.6,120.21,7734824
63,6-Jan-17,119.56,121.0,118.77,119.64,5301916
64,5-Jan-17,118.49,119.07,117.56,118.76,3913088
65,4-Jan-17,119.24,119.28,117.45,118.55,4014479
66,3-Jan-17,116.5,118.76,116.31,118.75,4051809
67,30-Dec-16,117.2,117.55,115.12,115.75,2988222
68,29-Dec-16,117.17,117.66,116.17,116.93,1665253
69,28-Dec-16,117.86,118.47,116.94,117.29,1889158
70,27-Dec-16,119.11,119.95,117.83,117.92,2176239
71,23-Dec-16,117.95,119.35,117.54,118.93,2577735
72,22-Dec-16,116.14,117.95,114.91,117.87,3453548
73,21-Dec-16,118.03,118.42,115.39,115.85,4451826
74,20-Dec-16,117.3,118.6,117.0,118.52,3560644
75,19-Dec-16,116.7,118.44,115.41,115.73,2971241
76,16-Dec-16,117.33,118.75,116.32,116.62,7040540
77,15-Dec-16,116.39,118.47,115.7,117.18,4581284
78,14-Dec-16,115.0,116.51,114.79,115.83,3380960
79,13-Dec-16,113.4,115.87,112.95,115.09,3969328
80,12-Dec-16,112.9,113.6,111.52,113.22,3701876
81,9-Dec-16,113.68,115.14,112.74,113.47,3587123
82,8-Dec-16,112.58,113.31,110.91,113.06,5101587
83,7-Dec-16,114.88,114.91,110.05,112.66,10177928
84,6-Dec-16,117.34,118.53,116.09,117.39,4459478
85,5-Dec-16,118.2,118.3,115.92,116.56,5112500
86,2-Dec-16,118.62,119.39,117.23,117.63,3866633
87,1-Dec-16,119.74,119.94,118.0,118.87,4297427
88,30-Nov-16,122.96,122.96,118.33,118.51,5514032
89,29-Nov-16,120.91,123.2,120.5,122.13,4450672
90,28-Nov-16,120.31,121.22,119.11,120.3,3357961
91,25-Nov-16,121.0,121.32,119.83,121.06,1792549
92,23-Nov-16,118.43,121.02,117.75,120.85,4840886
93,22-Nov-16,124.79,124.79,120.01,120.97,6606086
94,21-Nov-16,122.18,124.84,121.84,124.16,6876528
95,18-Nov-16,121.87,122.5,121.06,121.97,5048365
96,17-Nov-16,119.64,122.34,119.25,122.08,3990315
97,16-Nov-16,120.08,121.22,119.16,119.69,2626848
98,15-Nov-16,120.08,121.19,118.42,120.91,3508337
99,14-Nov-16,119.34,121.65,118.17,120.68,4695178
100,11-Nov-16,119.3,120.6,116.85,119.45,5731512
101,10-Nov-16,119.97,122.34,118.09,121.06,12026664
102,9-Nov-16,115.75,127.0,114.7,120.07,22699805
103,8-Nov-16,106.58,109.3,106.49,108.45,4289002
104,7-Nov-16,104.86,108.0,104.72,107.49,6445842
105,4-Nov-16,100.97,104.29,100.92,103.44,3733229
106,3-Nov-16,102.61,103.53,102.15,102.35,4476487
107,2-Nov-16,103.9,104.89,102.8,102.85,3428042
108,1-Nov-16,102.0,104.11,101.3,104.09,4473848
109,31-Oct-16,103.96,104.56,102.08,102.18,4787494
110,28-Oct-16,104.02,105.19,102.61,103.9,6962527
111,27-Oct-16,101.81,106.13,101.67,104.72,11213821
112,26-Oct-16,97.77,99.22,97.33,98.41,5016849
113,25-Oct-16,98.1,98.43,96.93,97.63,4768930
114,24-Oct-16,99.65,99.69,97.97,98.07,4154623
115,21-Oct-16,99.53,99.75,98.12,98.91,4660808
116,20-Oct-16,100.13,101.0,99.67,100.02,3628814
117,19-Oct-16,99.86,101.1,99.86,100.02,2934111
118,18-Oct-16,100.35,101.27,100.02,100.06,2878140
119,17-Oct-16,98.99,100.51,97.85,99.64,4505285
120,14-Oct-16,101.25,101.39,98.48,98.5,4317515
121,13-Oct-16,99.55,101.38,99.5,100.63,3779786
122,12-Oct-16,101.78,102.4,99.89,100.1,3215886
123,11-Oct-16,103.6,103.88,101.02,101.64,3428438
124,10-Oct-16,104.43,105.06,104.15,104.27,2074445
125,7-Oct-16,104.46,104.73,103.14,104.07,1871956
126,6-Oct-16,104.84,105.35,103.58,104.03,3189995
127,5-Oct-16,104.82,106.36,104.7,105.29,2600009
128,4-Oct-16,104.38,105.46,104.27,104.67,2681343
129,3-Oct-16,104.15,104.48,103.01,104.27,2592304
130,30-Sep-16,103.42,105.24,102.7,104.53,4666676
131,29-Sep-16,105.83,106.3,102.28,102.77,5545237
132,28-Sep-16,107.62,107.62,105.45,105.83,4713821
133,27-Sep-16,106.38,107.5,105.69,107.4,3273022
134,26-Sep-16,109.0,109.42,105.97,106.31,4134051
135,23-Sep-16,110.87,111.14,109.29,109.43,3071064
136,22-Sep-16,110.0,110.85,108.54,110.57,4458373
137,21-Sep-16,109.0,109.91,107.57,109.58,3122472
138,20-Sep-16,108.42,109.2,108.1,108.42,2615950
139,19-Sep-16,108.67,109.16,107.59,107.73,2705194
140,16-Sep-16,107.13,108.88,106.7,108.54,5923959
141,15-Sep-16,106.13,107.71,105.44,107.35,3487408
142,14-Sep-16,104.77,106.56,104.65,106.06,3998008
143,13-Sep-16,105.68,106.35,103.5,104.53,3632060
144,12-Sep-16,104.49,107.15,104.18,106.85,5557016
145,9-Sep-16,106.8,106.97,104.42,104.47,4339122
146,8-Sep-16,106.5,107.89,106.29,107.65,2819391
147,7-Sep-16,106.73,107.91,106.3,106.96,3095699
148,6-Sep-16,105.78,107.2,105.3,106.71,3544722
149,2-Sep-16,107.0,107.0,105.26,105.49,3274753
150,1-Sep-16,107.04,107.3,105.38,106.37,3487171
151,31-Aug-16,107.17,107.79,106.3,106.74,3087710
152,30-Aug-16,107.89,108.51,106.74,107.02,3196596
153,29-Aug-16,109.08,109.44,107.68,107.95,2607239
154,26-Aug-16,107.93,110.13,107.5,108.79,4728358
155,25-Aug-16,110.77,111.0,106.65,107.91,5627823
156,24-Aug-16,113.86,115.5,110.07,110.6,4764025
157,23-Aug-16,114.49,115.52,113.92,114.01,2303075
158,22-Aug-16,112.82,114.47,112.53,114.2,2672799
159,19-Aug-16,111.83,112.93,111.6,112.16,2916819
160,18-Aug-16,112.47,112.95,111.95,112.13,2158276
161,17-Aug-16,112.17,112.84,111.67,112.55,3733670
162,16-Aug-16,114.08,114.65,112.1,112.17,4254094
163,15-Aug-16,113.84,114.8,113.31,114.62,2978509
164,12-Aug-16,113.17,113.86,112.51,113.39,3374086
165,11-Aug-16,112.81,113.94,112.27,113.81,2766176
166,10-Aug-16,113.75,114.2,111.94,112.53,2695130
167,9-Aug-16,114.02,114.56,113.45,113.8,2436647
168,8-Aug-16,115.49,115.53,112.75,113.63,5853745
169,5-Aug-16,116.77,117.9,115.36,115.53,4972905
170,4-Aug-16,116.61,117.45,115.54,116.27,7376899
171,3-Aug-16,114.16,117.61,113.86,116.14,6370194
172,2-Aug-16,114.64,115.4,112.83,114.29,5055779
173,1-Aug-16,111.69,115.02,111.61,114.69,6629510
174,29-Jul-16,110.66,112.43,110.5,112.19,5486248
175,28-Jul-16,109.91,112.25,109.8,111.26,8339155
176,27-Jul-16,106.02,108.84,105.56,108.11,6045856
177,26-Jul-16,105.99,108.03,105.49,106.18,6512818
178,25-Jul-16,107.44,108.14,106.73,107.93,3424515
179,22-Jul-16,107.98,108.4,106.75,107.52,3480242
180,21-Jul-16,105.6,107.48,105.46,107.45,5231573
181,20-Jul-16,102.93,105.6,102.5,104.62,5657943
182,19-Jul-16,102.41,103.14,101.83,102.26,2713762
183,18-Jul-16,102.85,103.38,102.01,102.7,2530186
184,15-Jul-16,102.37,104.56,102.17,102.85,5423844
185,14-Jul-16,102.95,103.14,100.86,101.42,5392013
186,13-Jul-16,104.07,104.23,101.63,101.76,4163585
187,12-Jul-16,104.05,104.91,103.26,103.41,3851896
188,11-Jul-16,105.67,105.79,103.41,103.41,3596789
189,8-Jul-16,103.79,105.67,103.33,105.03,3369942
190,7-Jul-16,104.3,104.95,103.05,104.41,4136820
191,6-Jul-16,100.25,104.94,100.13,104.6,7347983
192,5-Jul-16,100.94,100.98,99.45,100.25,2901168
193,1-Jul-16,98.53,101.39,98.25,100.7,3410807
194,30-Jun-16,98.81,98.99,97.19,98.63,4843295
195,29-Jun-16,97.8,99.42,97.12,98.81,5295411
196,28-Jun-16,96.26,97.75,96.06,97.28,5482299
197,27-Jun-16,95.56,96.78,94.42,94.85,6589851
198,24-Jun-16,97.2,98.65,96.26,96.29,7136674
199,23-Jun-16,100.26,100.76,99.25,100.66,3831469
200,22-Jun-16,97.43,100.7,96.33,99.23,9035333
201,21-Jun-16,99.54,99.8,96.31,96.86,8436974
202,20-Jun-16,100.24,101.1,99.14,99.29,4892848
203,17-Jun-16,100.43,100.43,98.22,98.74,5976683
204,16-Jun-16,99.53,100.47,98.73,100.23,3164470
205,15-Jun-16,101.43,102.19,99.83,99.98,3811334
206,14-Jun-16,100.8,101.69,99.49,101.03,4747544
207,13-Jun-16,102.84,104.37,101.54,101.61,3194453
208,10-Jun-16,104.9,105.47,102.51,102.91,4953696
209,9-Jun-16,106.07,107.74,105.75,106.13,3436392
