,Date,Open,High,Low,Close,Volume
0,7-Apr-17,73.18,73.89,72.93,73.45,3250916
1,6-Apr-17,73.4,73.7,72.96,73.13,4064742
2,5-Apr-17,73.55,74.05,73.31,73.46,3882325
3,4-Apr-17,73.5,73.77,73.18,73.62,4044444
4,3-Apr-17,73.1,73.65,72.99,73.37,3396990
5,31-Mar-17,72.98,73.51,72.78,73.19,2849548
6,30-Mar-17,73.32,73.55,73.11,73.23,2345979
7,29-Mar-17,73.59,73.83,73.44,73.56,2450192
8,28-Mar-17,73.22,74.03,73.09,73.77,3605163
9,27-Mar-17,73.41,73.74,73.03,73.43,3052415
10,24-Mar-17,73.92,74.0,73.35,73.67,2621928
11,23-Mar-17,73.61,74.44,73.52,73.92,2843650
12,22-Mar-17,74.01,74.25,73.46,73.68,2810876
13,21-Mar-17,73.96,74.01,73.5,73.7,3694744
14,20-Mar-17,73.8,73.99,73.58,73.8,2796135
15,17-Mar-17,74.02,74.27,73.71,73.96,5099041
16,16-Mar-17,73.83,74.02,73.57,73.9,3182191
17,15-Mar-17,73.59,74.1,73.33,73.94,4176113
18,14-Mar-17,73.56,74.06,73.48,73.65,3502293
19,13-Mar-17,73.92,74.27,73.75,73.9,3024519
20,10-Mar-17,73.74,74.34,73.45,74.26,3375638
21,9-Mar-17,73.41,73.65,73.11,73.37,4050155
22,8-Mar-17,73.32,73.78,73.14,73.16,4141675
23,7-Mar-17,73.6,73.89,73.54,73.72,3216210
24,6-Mar-17,73.24,73.85,73.15,73.79,3994691
25,3-Mar-17,73.47,73.7,72.58,73.59,3808120
26,2-Mar-17,72.99,73.8,72.7,73.74,4442350
27,1-Mar-17,73.05,73.57,72.7,73.46,4093010
28,28-Feb-17,72.67,73.57,72.41,72.98,4497894
29,27-Feb-17,72.69,73.02,72.18,72.65,5201398
30,24-Feb-17,73.57,74.11,72.81,73.35,6461620
31,23-Feb-17,73.88,75.09,73.79,74.44,7203760
32,22-Feb-17,73.3,73.58,72.85,73.49,5811809
33,21-Feb-17,72.76,73.9,72.64,73.18,10553834
34,17-Feb-17,70.95,72.87,70.58,71.98,15036943
35,16-Feb-17,68.61,69.04,68.03,69.0,5172732
36,15-Feb-17,67.53,68.74,67.52,68.61,4576205
37,14-Feb-17,67.5,68.12,67.19,67.74,5137843
38,13-Feb-17,67.86,67.86,67.29,67.71,4798266
39,10-Feb-17,66.66,67.85,66.47,67.72,5568145
40,9-Feb-17,66.54,66.81,66.26,66.6,3223758
41,8-Feb-17,66.67,66.99,66.4,66.59,3575093
42,7-Feb-17,65.73,66.79,65.72,66.56,3255624
43,6-Feb-17,66.08,66.08,65.45,65.49,2897538
44,3-Feb-17,66.34,66.34,65.75,65.97,4478849
45,2-Feb-17,65.09,66.02,64.82,65.68,7063574
46,1-Feb-17,64.5,65.0,64.43,64.72,4916431
47,31-Jan-17,64.53,65.09,64.34,64.58,6983206
48,30-Jan-17,64.29,64.85,63.95,64.53,7992445
49,27-Jan-17,65.0,65.05,63.43,64.68,14874862
50,26-Jan-17,68.35,68.5,67.78,68.24,4656429
51,25-Jan-17,68.2,68.45,68.02,68.43,3034832
52,24-Jan-17,67.67,68.35,67.64,68.26,2786264
53,23-Jan-17,67.7,67.88,67.52,67.55,2872904
54,20-Jan-17,67.43,68.34,67.31,67.95,3940595
55,19-Jan-17,67.49,67.55,66.91,67.04,2767856
56,18-Jan-17,67.2,68.18,67.18,67.86,5127322
57,17-Jan-17,65.92,67.18,65.87,67.1,5136568
58,13-Jan-17,65.9,66.03,65.61,65.88,1888149
59,12-Jan-17,65.37,65.94,65.26,65.85,2992739
60,11-Jan-17,65.3,65.41,65.0,65.31,3808963
61,10-Jan-17,66.42,66.43,65.35,65.39,3492394
62,9-Jan-17,67.02,67.1,66.23,66.42,3183952
63,6-Jan-17,66.81,67.48,66.6,67.36,2994996
64,5-Jan-17,66.31,66.99,66.13,66.85,2857871
65,4-Jan-17,65.81,66.37,65.8,66.26,4047854
66,3-Jan-17,65.56,65.65,65.1,65.54,3039523
