,Date,Open,High,Low,Close,Volume
0,7-Apr-17,38.26,38.27,37.92,38.02,14346179
1,6-Apr-17,37.28,38.36,37.27,38.13,23316466
2,5-Apr-17,37.83,37.98,37.24,37.34,18128588
3,4-Apr-17,37.56,37.93,37.56,37.79,13177025
4,3-Apr-17,37.47,37.89,37.38,37.56,16497712
5,31-Mar-17,37.42,37.69,37.26,37.59,15556514
6,30-Mar-17,37.13,37.55,37.13,37.51,10232291
7,29-Mar-17,36.9,37.31,36.85,37.22,10407821
8,28-Mar-17,36.95,37.28,36.69,37.09,14389630
9,27-Mar-17,37.19,37.31,36.9,37.11,13473664
10,24-Mar-17,37.24,37.57,37.08,37.38,17814764
11,23-Mar-17,37.01,37.48,36.85,37.22,11690930
12,22-Mar-17,37.18,37.26,36.81,37.04,11088919
13,21-Mar-17,37.49,37.61,37.0,37.07,18806735
14,20-Mar-17,37.53,37.75,37.41,37.48,11040960
15,17-Mar-17,37.87,37.96,37.37,37.46,32703073
16,16-Mar-17,37.7,37.99,37.58,37.68,13028309
17,15-Mar-17,37.52,37.83,37.41,37.75,11142551
18,14-Mar-17,37.21,37.61,37.16,37.41,9592094
19,13-Mar-17,37.32,37.49,37.14,37.3,10991800
20,10-Mar-17,37.6,37.61,37.13,37.32,12435027
21,9-Mar-17,37.18,37.45,37.12,37.38,11213343
22,8-Mar-17,37.16,37.34,37.09,37.11,12934265
23,7-Mar-17,37.42,37.64,37.27,37.42,14812434
24,6-Mar-17,37.07,37.5,36.9,37.44,13181617
25,3-Mar-17,37.46,37.5,37.18,37.22,11069227
26,2-Mar-17,37.52,37.55,37.19,37.45,11116071
27,1-Mar-17,37.72,37.83,37.52,37.59,16486480
28,28-Feb-17,37.62,37.62,37.18,37.42,16872258
29,27-Feb-17,37.76,37.8,37.5,37.53,9563628
30,24-Feb-17,37.72,37.9,37.47,37.89,11557826
31,23-Feb-17,38.12,38.16,37.56,37.65,13258356
32,22-Feb-17,37.87,38.22,37.82,37.94,13126051
33,21-Feb-17,38.03,38.03,37.41,37.89,13556274
34,17-Feb-17,37.97,38.02,37.51,37.66,19599952
35,16-Feb-17,38.22,38.22,37.84,38.0,16599476
36,15-Feb-17,37.88,38.33,37.84,38.3,13849182
37,14-Feb-17,37.8,38.12,37.72,38.04,15477494
38,13-Feb-17,37.6,37.86,37.55,37.86,20421818
39,10-Feb-17,37.5,37.64,37.4,37.58,12684104
40,9-Feb-17,37.5,37.62,37.28,37.52,14329328
41,8-Feb-17,37.43,37.46,37.29,37.34,14212182
42,7-Feb-17,37.33,37.6,37.26,37.43,15812560
43,6-Feb-17,37.6,37.6,37.22,37.27,16223032
44,3-Feb-17,37.65,37.72,37.47,37.63,13852078
45,2-Feb-17,37.72,37.82,37.5,37.54,15387864
46,1-Feb-17,37.64,38.1,37.62,37.8,18004222
47,31-Jan-17,37.52,37.74,37.24,37.71,26926210
48,30-Jan-17,37.92,37.96,37.25,37.67,26341780
49,27-Jan-17,37.74,38.0,37.3,37.98,23326780
50,26-Jan-17,36.56,38.44,36.5,37.75,52161460
51,25-Jan-17,36.8,36.94,36.55,36.72,26648446
52,24-Jan-17,36.6,36.9,36.5,36.8,17553090
53,23-Jan-17,36.78,36.87,36.44,36.63,16937116
54,20-Jan-17,36.54,36.8,36.37,36.78,25014552
55,19-Jan-17,36.09,36.48,36.06,36.3,14470912
56,18-Jan-17,36.34,36.38,36.1,36.14,18013804
57,17-Jan-17,36.1,36.37,35.91,36.28,21143488
58,13-Jan-17,36.0,36.47,35.88,36.38,23293556
59,12-Jan-17,35.8,35.83,35.42,35.71,14599618
60,11-Jan-17,35.86,35.87,35.35,35.86,23324904
61,10-Jan-17,35.31,35.88,35.22,35.46,24547224
62,9-Jan-17,35.07,35.48,35.02,35.42,18135982
