,Date,Open,High,Low,Close,Volume
0,7-Apr-17,83.25,84.33,82.79,83.54,2767335
1,6-Apr-17,83.93,84.75,82.55,84.23,4378949
2,5-Apr-17,86.58,86.62,83.98,84.13,2483680
3,4-Apr-17,85.38,85.9,85.12,85.26,1840287
4,3-Apr-17,86.88,86.91,84.67,85.8,3158771
5,31-Mar-17,86.67,87.24,86.28,86.66,2661912
6,30-Mar-17,84.82,87.26,84.52,87.14,4081656
7,29-Mar-17,84.89,85.19,84.03,84.68,2488421
8,28-Mar-17,82.01,84.63,81.9,84.17,3789256
9,27-Mar-17,81.93,82.87,81.32,82.13,4282097
10,24-Mar-17,83.99,84.52,83.18,83.8,1966056
11,23-Mar-17,83.6,85.06,83.23,83.78,2671234
12,22-Mar-17,83.08,84.44,82.15,83.68,3133651
13,21-Mar-17,87.1,87.1,83.34,83.65,4559025
14,20-Mar-17,88.11,88.23,86.58,86.78,2801965
15,17-Mar-17,90.43,90.7,88.01,88.23,3388267
16,16-Mar-17,90.38,91.09,89.96,90.21,1781858
17,15-Mar-17,91.01,91.96,89.13,89.92,3178963
18,14-Mar-17,91.36,91.78,90.78,91.75,1730819
19,13-Mar-17,92.2,92.41,91.65,91.79,1830233
20,10-Mar-17,92.82,93.0,91.57,92.19,1644275
21,9-Mar-17,92.77,93.35,91.85,92.11,1653535
22,8-Mar-17,94.02,94.43,92.28,92.4,2028560
23,7-Mar-17,93.07,93.34,92.48,92.82,1641333
24,6-Mar-17,93.5,93.68,92.85,93.0,1936761
25,3-Mar-17,94.19,94.64,93.33,93.94,2541665
26,2-Mar-17,96.21,96.32,94.28,94.33,1625881
27,1-Mar-17,95.0,96.92,94.81,96.12,3387946
28,28-Feb-17,93.04,93.93,92.99,93.86,3122357
29,27-Feb-17,92.39,93.72,92.06,93.66,1730363
30,24-Feb-17,92.53,92.8,91.77,92.61,2252300
31,23-Feb-17,93.25,93.52,92.89,93.41,2142975
32,22-Feb-17,92.42,93.24,92.09,92.89,1821376
33,21-Feb-17,91.7,93.57,91.61,92.85,3825225
34,17-Feb-17,90.34,92.04,90.08,91.81,4044661
35,16-Feb-17,90.98,91.25,89.82,90.51,1801044
36,15-Feb-17,90.49,91.36,89.6,90.93,2297708
37,14-Feb-17,89.01,90.5,88.7,90.18,2148217
38,13-Feb-17,88.77,89.58,88.71,89.03,1791275
