,Date,Open,High,Low,Close,Volume
0,7-Apr-17,49.85,50.0,49.38,49.54,5857440
1,6-Apr-17,49.39,49.97,49.16,49.81,6823848
2,5-Apr-17,50.01,50.4,48.95,49.11,7490852
3,4-Apr-17,49.43,49.79,49.04,49.73,6175883
4,3-Apr-17,49.9,49.93,48.8,49.45,7711956
5,31-Mar-17,49.64,50.05,49.02,49.87,13410488
6,30-Mar-17,49.33,50.41,48.61,50.0,40059849
7,29-Mar-17,45.33,46.06,45.0,45.95,6040817
8,28-Mar-17,44.41,45.49,44.2,45.38,7034758
9,27-Mar-17,43.49,44.44,43.26,44.29,6231896
10,24-Mar-17,44.64,44.88,43.97,44.1,8797147
11,23-Mar-17,44.65,45.0,44.35,44.48,9149363
12,22-Mar-17,45.03,45.32,44.63,44.65,7852167
13,21-Mar-17,46.04,46.17,44.88,45.18,6504187
14,20-Mar-17,45.4,45.98,45.05,45.86,5754178
15,17-Mar-17,45.97,46.36,45.64,45.69,8359693
16,16-Mar-17,45.95,46.13,45.51,45.84,6393734
17,15-Mar-17,45.47,46.12,44.85,45.84,7573389
18,14-Mar-17,45.15,45.2,44.19,44.94,10538326
19,13-Mar-17,45.68,46.16,45.54,45.84,6333786
20,10-Mar-17,46.88,46.88,45.48,45.67,8455360
21,9-Mar-17,45.61,46.63,45.48,46.48,7235876
22,8-Mar-17,47.41,47.66,45.8,45.91,9435487
23,7-Mar-17,48.45,48.51,47.6,47.72,5652837
24,6-Mar-17,47.78,48.47,47.34,48.32,6078519
25,3-Mar-17,48.19,48.44,47.64,47.82,5316706
26,2-Mar-17,48.62,48.82,47.91,48.21,5955304
27,1-Mar-17,48.0,49.23,47.86,49.05,9194533
28,28-Feb-17,47.17,47.67,47.0,47.57,6710562
29,27-Feb-17,47.23,47.64,46.96,47.36,6208296
30,24-Feb-17,47.01,47.49,46.71,47.04,6749541
31,23-Feb-17,47.79,47.86,47.03,47.3,7846378
32,22-Feb-17,47.8,47.94,47.03,47.1,8007744
33,21-Feb-17,48.13,48.52,47.82,48.13,9577221
34,17-Feb-17,48.22,48.24,47.1,47.51,10694026
35,16-Feb-17,49.59,49.65,48.27,48.34,9689101
36,15-Feb-17,49.83,50.29,49.31,49.36,7461768
37,14-Feb-17,50.0,50.18,49.33,50.14,6063387
38,13-Feb-17,50.04,50.04,49.22,49.7,6164249
39,10-Feb-17,50.03,50.54,49.82,50.14,5996045
40,9-Feb-17,50.04,50.33,49.48,49.81,6356981
41,8-Feb-17,49.05,50.16,48.51,49.6,8588624
42,7-Feb-17,49.55,50.23,49.08,49.42,7591584
43,6-Feb-17,50.5,50.98,49.35,50.09,8127533
44,3-Feb-17,48.85,50.49,48.82,50.43,8414350
45,2-Feb-17,48.75,49.34,47.28,48.69,8625117
46,1-Feb-17,49.0,49.15,47.44,48.5,10040876
47,31-Jan-17,47.81,48.79,47.37,48.76,7464489
48,30-Jan-17,49.01,49.18,47.19,47.48,10483193
49,27-Jan-17,50.33,50.46,49.2,49.43,5408068
50,26-Jan-17,50.63,51.02,50.34,50.63,4164084
51,25-Jan-17,50.41,51.23,50.32,50.69,5991240
52,24-Jan-17,50.14,51.4,50.01,50.27,5919240
53,23-Jan-17,50.26,50.57,49.58,49.94,5969486
54,20-Jan-17,50.39,51.09,50.32,50.73,5888520
55,19-Jan-17,50.2,50.45,49.78,49.86,4915320
56,18-Jan-17,49.8,50.58,49.79,50.27,4969975
57,17-Jan-17,50.56,50.71,50.0,50.15,4995058
58,13-Jan-17,49.9,50.87,49.84,50.59,4413304
59,12-Jan-17,51.5,51.53,50.09,50.15,6963344
60,11-Jan-17,49.96,51.49,49.46,51.22,8689372
61,10-Jan-17,49.88,50.04,49.37,49.66,5447921
62,9-Jan-17,50.27,50.53,49.63,49.66,5765597
63,6-Jan-17,51.02,51.08,50.29,50.74,3472502
64,5-Jan-17,51.21,51.68,50.72,50.93,4727057
65,4-Jan-17,50.7,51.1,50.32,51.08,4989987
66,3-Jan-17,50.82,51.61,49.92,50.61,7032586
67,30-Dec-16,50.41,50.84,49.93,50.14,4806309
68,29-Dec-16,50.66,50.82,50.24,50.54,3634540
69,28-Dec-16,51.47,51.74,50.62,50.77,4275478
70,27-Dec-16,51.45,51.94,51.35,51.6,2995384
71,23-Dec-16,51.34,51.64,51.22,51.37,2859969
72,22-Dec-16,51.55,51.78,51.38,51.54,4595290
73,21-Dec-16,51.84,52.16,51.44,51.48,4187152
74,20-Dec-16,52.22,52.58,51.36,51.55,4659507
75,19-Dec-16,52.0,52.09,51.56,51.98,4748025
76,16-Dec-16,51.98,52.14,51.56,51.94,10313087
77,15-Dec-16,51.12,52.13,50.58,51.74,7934852
78,14-Dec-16,52.24,52.62,51.38,51.49,8596516
79,13-Dec-16,52.26,53.17,51.63,52.64,7962201
80,12-Dec-16,52.16,53.1,51.27,51.38,10748320
81,9-Dec-16,49.97,50.82,49.82,50.77,6126055
82,8-Dec-16,50.09,50.18,48.92,49.78,5904609
83,7-Dec-16,49.46,50.04,49.24,49.9,9074291
84,6-Dec-16,48.47,50.04,48.13,49.9,7168258
85,5-Dec-16,48.83,50.1,48.63,48.88,8860738
86,2-Dec-16,48.05,48.48,47.73,48.12,5804976
87,1-Dec-16,50.14,50.15,48.04,48.22,11105863
88,30-Nov-16,46.3,49.32,46.23,48.52,20897840
89,29-Nov-16,44.47,44.55,43.83,44.23,9376679
90,28-Nov-16,46.72,46.85,45.39,45.5,9429488
91,25-Nov-16,45.8,46.04,45.17,45.75,3494389
92,23-Nov-16,45.72,46.45,45.53,46.3,5199668
93,22-Nov-16,46.29,46.69,45.28,46.07,7255544
