,Date,Open,High,Low,Close,Volume
0,7-Apr-17,169.7,171.0,169.43,170.62,1510009
1,6-Apr-17,169.68,172.11,169.31,170.02,3313816
2,5-Apr-17,167.29,168.4,166.72,167.0,1715970
3,4-Apr-17,166.6,167.32,166.11,167.25,1322382
4,3-Apr-17,167.74,168.3,166.4,166.7,1547889
5,31-Mar-17,167.59,168.16,167.13,167.69,1720611
6,30-Mar-17,167.3,168.18,166.76,167.89,1034268
7,29-Mar-17,166.28,167.48,166.15,167.43,1216734
8,28-Mar-17,166.11,167.05,165.15,166.77,1446649
9,27-Mar-17,165.53,166.32,165.32,166.15,1212535
10,24-Mar-17,167.37,167.46,165.66,166.02,1410390
11,23-Mar-17,168.0,168.42,166.43,166.9,1430521
12,22-Mar-17,167.32,167.97,167.04,167.68,1534161
13,21-Mar-17,167.51,168.8,166.65,166.78,2241868
14,20-Mar-17,167.76,168.29,166.8,167.44,1603258
15,17-Mar-17,168.06,168.35,167.07,167.81,3975994
16,16-Mar-17,166.78,167.67,166.26,167.06,2726624
17,15-Mar-17,165.57,166.54,164.83,166.54,2079730
18,14-Mar-17,164.21,165.32,164.1,165.24,1974401
19,13-Mar-17,164.85,165.11,164.3,164.55,2127879
20,10-Mar-17,166.49,166.5,164.98,165.37,2164241
21,9-Mar-17,166.4,166.79,165.12,165.77,1993723
22,8-Mar-17,167.0,167.41,166.16,166.24,2375904
23,7-Mar-17,166.54,168.62,166.54,167.0,2811856
24,6-Mar-17,169.41,170.33,166.11,166.73,5793596
25,3-Mar-17,170.7,171.89,169.9,170.26,10399047
26,2-Mar-17,177.5,178.25,176.51,177.98,3190310
27,1-Mar-17,177.37,178.71,177.22,177.86,2352299
28,28-Feb-17,176.95,177.87,175.48,177.18,2992097
29,27-Feb-17,177.33,177.85,176.55,177.62,2340564
30,24-Feb-17,175.22,177.71,175.12,177.56,1684258
31,23-Feb-17,176.52,177.04,175.21,175.85,2600432
32,22-Feb-17,177.07,177.09,175.07,176.51,1815426
33,21-Feb-17,176.55,177.0,176.0,176.94,2317024
34,17-Feb-17,175.47,176.5,174.48,175.86,2425236
35,16-Feb-17,175.1,175.83,174.5,175.75,2206751
36,15-Feb-17,173.18,175.0,173.06,175.0,2346540
37,14-Feb-17,171.66,173.64,171.55,173.63,2245114
38,13-Feb-17,172.49,172.49,170.78,171.96,2272213
39,10-Feb-17,171.65,172.27,170.27,172.0,2070000
40,9-Feb-17,168.45,171.42,168.17,170.96,2606898
41,8-Feb-17,167.5,168.57,167.5,168.42,2089921
42,7-Feb-17,167.53,168.08,166.53,167.52,2732596
43,6-Feb-17,168.18,168.18,166.71,167.03,2172824
44,3-Feb-17,167.72,168.84,167.15,168.32,3227690
45,2-Feb-17,166.84,168.88,166.16,168.15,5816346
46,1-Feb-17,163.84,163.95,161.81,161.86,2219682
47,31-Jan-17,162.49,164.0,162.35,163.95,1796595
48,30-Jan-17,162.03,163.29,160.6,163.25,2149765
