,Date,Open,High,Low,Close,Volume
0,7-Apr-17,33.1,33.15,32.92,32.96,13942848
1,6-Apr-17,33.0,33.28,32.89,33.08,15316812
2,5-Apr-17,33.49,33.53,32.97,33.0,17572539
3,4-Apr-17,33.25,33.42,32.93,33.41,18602627
4,3-Apr-17,33.7,33.94,33.46,33.58,19367794
5,31-Mar-17,33.72,33.88,33.66,33.8,14038491
6,30-Mar-17,33.8,33.93,33.72,33.74,12801588
7,29-Mar-17,34.0,34.05,33.65,33.74,16504103
8,28-Mar-17,33.9,34.21,33.82,34.02,21179311
9,27-Mar-17,33.82,34.03,33.75,33.99,17740630
10,24-Mar-17,34.07,34.3,33.95,34.08,18125090
11,23-Mar-17,34.08,34.26,33.91,33.96,16709307
12,22-Mar-17,33.78,34.2,33.78,34.1,16646087
13,21-Mar-17,34.45,34.47,33.78,33.88,21405952
14,20-Mar-17,34.2,34.38,34.2,34.28,14974096
15,17-Mar-17,34.35,34.38,34.19,34.23,26787248
16,16-Mar-17,34.25,34.48,34.1,34.23,14521636
17,15-Mar-17,34.07,34.35,34.05,34.24,14961684
18,14-Mar-17,33.94,34.14,33.84,34.12,14578391
19,13-Mar-17,34.22,34.33,34.0,34.1,16164809
20,10-Mar-17,34.24,34.3,34.08,34.26,19038351
21,9-Mar-17,34.04,34.11,33.87,34.07,17490190
22,8-Mar-17,34.18,34.23,33.93,34.02,18686747
23,7-Mar-17,34.0,34.25,33.99,34.2,21033740
24,6-Mar-17,34.04,34.28,33.96,34.19,17605072
25,3-Mar-17,34.42,34.44,34.23,34.29,14206428
26,2-Mar-17,34.41,34.53,34.21,34.39,16137699
27,1-Mar-17,34.28,34.51,34.18,34.44,22754181
28,28-Feb-17,34.16,34.29,34.04,34.18,23093057
29,27-Feb-17,34.21,34.32,34.12,34.26,15625416
30,24-Feb-17,33.98,34.32,33.8,34.32,21137311
31,23-Feb-17,34.28,34.28,33.95,34.04,17450074
32,22-Feb-17,34.04,34.15,33.66,34.09,26632725
33,21-Feb-17,33.69,34.21,33.66,34.13,26992666
34,17-Feb-17,33.52,33.77,33.43,33.74,31841239
35,16-Feb-17,33.26,33.97,33.25,33.6,50143661
36,15-Feb-17,32.35,32.84,32.29,32.82,41169445
37,14-Feb-17,31.9,32.31,31.77,32.31,31463500
38,13-Feb-17,31.67,32.0,31.55,31.97,26518836
39,10-Feb-17,31.48,31.63,31.24,31.51,21557725
40,9-Feb-17,31.35,31.69,31.3,31.5,18706857
41,8-Feb-17,31.46,31.55,31.25,31.27,20434263
42,7-Feb-17,31.38,31.64,31.33,31.45,18420153
43,6-Feb-17,31.29,31.3,31.12,31.3,16774244
44,3-Feb-17,31.27,31.35,31.12,31.32,21288832
45,2-Feb-17,30.69,31.26,30.52,31.18,27456740
46,1-Feb-17,30.85,30.85,30.42,30.5,19504565
47,31-Jan-17,30.68,30.89,30.58,30.72,16603050
48,30-Jan-17,30.94,31.0,30.63,30.83,15481798
49,27-Jan-17,30.76,30.98,30.63,30.98,18461937
50,26-Jan-17,30.76,30.84,30.56,30.74,20116824
51,25-Jan-17,31.04,31.05,30.65,30.7,25095890
52,24-Jan-17,30.34,30.75,30.29,30.6,24934210
53,23-Jan-17,30.14,30.3,30.08,30.27,17155297
54,20-Jan-17,30.12,30.25,30.0,30.1,22754366
55,19-Jan-17,30.01,30.19,29.92,29.98,16866005
56,18-Jan-17,30.12,30.18,29.95,30.03,15724040
57,17-Jan-17,30.0,30.25,29.84,29.99,21983537
58,13-Jan-17,30.1,30.22,30.01,30.07,17136585
59,12-Jan-17,30.15,30.16,29.8,30.04,18611107
