,Date,Open,High,Low,Close,Volume
0,7-Apr-17,77.05,77.22,76.56,77.08,5208024
1,6-Apr-17,77.18,77.22,76.6,77.01,6330966
2,5-Apr-17,77.82,77.87,76.75,77.03,13351924
3,4-Apr-17,78.01,78.22,77.63,77.87,5641016
4,3-Apr-17,78.38,78.55,77.72,78.05,7374110
5,31-Mar-17,77.6,78.61,77.57,78.5,7996113
6,30-Mar-17,78.65,79.11,78.44,78.85,3834598
7,29-Mar-17,78.5,78.86,78.36,78.76,3138168
8,28-Mar-17,78.39,78.95,78.28,78.61,5470045
9,27-Mar-17,78.13,78.95,78.02,78.51,4983516
10,24-Mar-17,78.25,78.66,78.01,78.49,3878592
11,23-Mar-17,78.46,78.73,77.98,78.3,9320878
12,22-Mar-17,78.75,78.87,77.92,78.46,5640697
13,21-Mar-17,78.89,79.01,78.28,78.61,6201263
14,20-Mar-17,78.87,79.11,78.55,78.82,5075846
15,17-Mar-17,79.63,79.65,78.58,78.88,19734810
16,16-Mar-17,79.65,79.98,79.23,79.56,6241096
17,15-Mar-17,79.77,80.22,78.68,79.73,7925519
18,14-Mar-17,80.44,80.59,79.42,79.89,5546221
19,13-Mar-17,80.4,80.59,79.97,80.44,6276825
20,10-Mar-17,81.0,81.07,80.23,80.4,6004401
21,9-Mar-17,81.06,81.41,80.43,80.7,5394387
22,8-Mar-17,80.74,81.52,80.53,81.04,5810391
23,7-Mar-17,80.49,81.0,80.38,80.81,6314203
24,6-Mar-17,80.85,81.29,80.61,80.85,4463938
25,3-Mar-17,81.52,81.69,80.54,81.02,5701325
26,2-Mar-17,80.5,81.56,80.41,81.35,5781248
27,1-Mar-17,81.1,81.38,80.64,80.7,4977455
28,28-Feb-17,80.8,81.13,80.18,80.58,7274939
29,27-Feb-17,81.55,81.86,81.31,81.41,4696152
30,24-Feb-17,80.83,81.75,80.64,81.48,5189175
31,23-Feb-17,80.22,81.43,80.01,80.86,6403537
32,22-Feb-17,79.75,80.47,79.45,80.16,5003351
33,21-Feb-17,79.61,80.39,79.13,79.76,6280996
34,17-Feb-17,79.45,79.99,79.32,79.69,6215697
35,16-Feb-17,79.5,80.2,79.26,79.45,4957509
36,15-Feb-17,78.88,79.52,78.83,79.41,5626296
37,14-Feb-17,78.76,78.95,78.06,78.67,5507644
38,13-Feb-17,78.98,79.23,78.35,78.7,5645832
39,10-Feb-17,77.44,79.12,76.95,78.53,9366970
40,9-Feb-17,77.8,77.8,75.21,77.31,13943993
41,8-Feb-17,76.21,77.14,76.13,77.03,6788496
42,7-Feb-17,76.12,76.73,75.5,76.36,5739937
43,6-Feb-17,75.6,76.82,75.53,76.07,9559537
44,3-Feb-17,75.34,76.42,75.28,75.46,11937043
45,2-Feb-17,76.35,76.35,74.05,74.8,18840243
46,1-Feb-17,78.65,79.1,77.69,77.97,6463085
47,31-Jan-17,78.55,79.3,78.51,78.81,6435182
48,30-Jan-17,77.46,79.02,77.32,78.68,7488549
49,27-Jan-17,79.83,79.89,77.03,77.75,10924374
50,26-Jan-17,79.08,80.42,78.44,79.33,7627541
51,25-Jan-17,81.92,82.2,79.42,79.49,10652194
52,24-Jan-17,81.35,82.15,81.12,81.78,4743742
53,23-Jan-17,81.5,81.93,81.02,81.25,6305901
54,20-Jan-17,83.29,83.43,81.31,81.56,8004129
55,19-Jan-17,83.17,83.86,82.32,83.2,5220710
56,18-Jan-17,84.49,84.72,83.2,83.54,5263133
57,17-Jan-17,81.96,83.98,81.91,83.92,7292726
58,13-Jan-17,82.7,82.91,81.75,81.98,4809230
59,12-Jan-17,82.92,83.21,82.38,82.6,5774701
60,11-Jan-17,82.22,83.11,81.73,82.77,6404156
61,10-Jan-17,81.72,82.89,81.51,82.67,7053260
62,9-Jan-17,82.2,82.38,81.16,81.7,6847689
63,6-Jan-17,81.41,82.46,80.94,82.2,7087061
64,5-Jan-17,79.85,81.52,78.8,81.42,8805421
65,4-Jan-17,80.34,80.42,79.44,79.75,7101759
66,3-Jan-17,79.58,80.45,78.97,80.35,5922807
67,30-Dec-16,78.96,79.31,78.46,78.91,4326899
