,Date,Open,High,Low,Close,Volume
0,7-Apr-17,109.38,109.58,108.66,108.86,4889422
1,6-Apr-17,109.12,109.65,108.75,109.29,3934462
2,5-Apr-17,109.65,110.67,108.56,108.64,6398830
3,4-Apr-17,107.88,108.72,107.01,108.66,4687432
4,3-Apr-17,107.22,107.97,106.38,107.8,5800883
5,31-Mar-17,107.7,108.14,107.05,107.37,6158992
6,30-Mar-17,108.15,108.68,107.2,107.78,6797658
7,29-Mar-17,106.95,108.08,106.88,108.07,4919884
8,28-Mar-17,106.28,107.74,106.12,107.17,6331533
9,27-Mar-17,107.0,107.35,105.82,106.28,6479407
10,24-Mar-17,107.93,108.42,107.7,107.99,6339900
11,23-Mar-17,108.29,108.86,107.75,107.87,5451228
12,22-Mar-17,107.65,108.85,107.52,108.39,8106844
13,21-Mar-17,108.06,108.23,107.4,108.04,7406294
14,20-Mar-17,107.27,107.85,107.02,107.66,5301890
15,17-Mar-17,108.0,108.42,107.68,107.68,14353407
16,16-Mar-17,108.81,108.88,107.44,107.86,8894699
17,15-Mar-17,108.08,108.98,107.54,108.88,9472102
18,14-Mar-17,108.47,108.57,107.12,107.36,9935732
19,13-Mar-17,110.51,110.81,109.31,109.35,6369288
20,10-Mar-17,111.4,111.41,109.44,110.61,6560329
21,9-Mar-17,109.31,110.17,108.51,110.04,7247427
22,8-Mar-17,111.68,111.92,109.4,109.61,9071579
23,7-Mar-17,113.54,113.88,111.69,111.81,6660335
24,6-Mar-17,113.25,113.5,112.67,113.17,4731940
25,3-Mar-17,113.76,113.89,113.21,113.55,4909979
26,2-Mar-17,113.67,114.27,113.31,113.36,5892485
27,1-Mar-17,112.92,114.39,112.88,113.88,7353829
28,28-Feb-17,111.66,112.76,111.49,112.5,7030223
29,27-Feb-17,110.65,112.27,110.37,111.75,7276445
30,24-Feb-17,110.9,111.02,109.47,110.12,6189419
31,23-Feb-17,111.34,111.83,110.75,111.02,8659712
32,22-Feb-17,111.19,111.78,110.31,110.38,5732048
33,21-Feb-17,110.73,112.31,110.6,111.72,6619107
34,17-Feb-17,110.42,110.57,109.27,110.33,8111023
35,16-Feb-17,112.99,112.99,110.43,110.68,9478223
36,15-Feb-17,112.21,113.24,112.21,112.57,7048099
37,14-Feb-17,112.68,113.07,111.78,112.52,5811158
38,13-Feb-17,113.36,113.99,113.05,113.91,4858511
39,10-Feb-17,112.75,113.45,112.37,113.05,6194334
40,9-Feb-17,111.91,112.63,111.69,112.26,4607757
41,8-Feb-17,111.13,111.79,110.32,111.58,5188785
42,7-Feb-17,112.98,113.1,111.11,111.39,6038351
43,6-Feb-17,113.28,113.5,112.45,112.98,5637260
44,3-Feb-17,112.41,114.28,112.14,113.57,6623532
45,2-Feb-17,111.17,112.24,110.71,112.21,6289020
46,1-Feb-17,111.2,111.78,110.84,111.0,5889321
47,31-Jan-17,111.89,112.2,110.76,111.35,7950987
48,30-Jan-17,113.15,113.8,110.72,111.82,8252901
49,27-Jan-17,113.53,114.7,112.85,113.79,11698850
50,26-Jan-17,117.5,117.82,116.5,116.55,6937290
51,25-Jan-17,116.9,117.43,116.34,117.24,5276756
52,24-Jan-17,115.85,117.11,115.61,116.37,5024409
53,23-Jan-17,115.12,115.96,114.99,115.39,5104133
54,20-Jan-17,116.32,116.75,115.34,115.6,6730924
55,19-Jan-17,115.89,115.96,115.29,115.58,3427849
56,18-Jan-17,115.68,116.04,115.4,115.94,4855334
57,17-Jan-17,116.4,116.77,116.11,116.28,4669684
58,13-Jan-17,115.86,116.88,115.61,116.38,4952967
59,12-Jan-17,116.5,116.99,115.41,116.16,4940021
60,11-Jan-17,115.15,116.45,114.86,115.93,6158217
61,10-Jan-17,115.56,116.39,114.89,114.96,6184401
