,Date,Open,High,Low,Close,Volume
0,7-Apr-17,80.25,80.5,79.92,80.05,1917838
1,6-Apr-17,80.59,81.14,80.22,80.64,1935111
2,5-Apr-17,80.02,81.52,79.95,80.47,4883313
3,4-Apr-17,79.59,79.86,79.11,79.8,3601118
4,3-Apr-17,80.44,80.67,78.83,79.67,2670064
5,31-Mar-17,81.4,81.5,80.32,80.33,3554323
6,30-Mar-17,81.9,82.08,81.35,81.64,2098932
7,29-Mar-17,81.6,82.04,81.32,81.87,3064567
8,28-Mar-17,80.39,82.37,80.15,81.84,3530410
9,27-Mar-17,79.35,80.78,78.83,80.58,3570040
10,24-Mar-17,80.4,81.07,79.27,79.6,2438961
11,23-Mar-17,78.94,80.68,78.77,80.56,3900612
12,22-Mar-17,79.68,79.68,78.32,79.18,3170349
13,21-Mar-17,81.6,81.83,79.56,79.76,3823300
14,20-Mar-17,81.14,81.86,80.63,81.5,3010826
15,17-Mar-17,81.42,81.54,80.64,81.25,6459842
16,16-Mar-17,81.07,81.3,80.28,80.61,1946629
17,15-Mar-17,81.02,81.51,80.51,81.49,2889141
18,14-Mar-17,80.78,80.97,80.11,80.42,2372183
19,13-Mar-17,81.0,81.35,80.72,81.23,2153980
20,10-Mar-17,80.73,80.99,80.23,80.86,2906665
21,9-Mar-17,79.87,80.53,79.06,80.48,3807170
22,8-Mar-17,79.6,80.55,79.11,79.77,3365976
23,7-Mar-17,79.81,79.81,79.31,79.39,4562937
24,6-Mar-17,79.68,80.5,79.13,79.81,3829027
25,3-Mar-17,79.9,80.12,79.34,79.6,1845195
26,2-Mar-17,80.0,80.14,79.43,79.73,2965584
27,1-Mar-17,79.51,80.0,79.01,79.71,5096944
28,28-Feb-17,79.3,79.3,78.3,78.54,2309002
29,27-Feb-17,79.72,79.99,78.92,79.23,2634198
30,24-Feb-17,79.5,79.85,79.18,79.81,2369617
31,23-Feb-17,79.96,80.08,79.27,79.59,4412314
32,22-Feb-17,77.02,80.66,77.0,79.8,9193073
33,21-Feb-17,77.31,78.2,76.9,77.18,2054080
34,17-Feb-17,77.7,77.8,76.81,77.49,1716674
35,16-Feb-17,78.0,78.4,77.49,77.79,1455766
36,15-Feb-17,78.03,78.09,77.53,77.94,1674299
37,14-Feb-17,77.7,78.34,76.83,78.05,4200144
38,13-Feb-17,77.2,77.9,76.99,77.82,2192556
39,10-Feb-17,76.66,77.3,76.56,77.21,1556394
40,9-Feb-17,76.0,76.86,75.77,76.37,1869816
41,8-Feb-17,75.62,76.26,75.5,75.96,1412091
42,7-Feb-17,76.21,76.55,75.82,76.07,1387204
43,6-Feb-17,75.92,76.48,75.88,76.29,1335851
44,3-Feb-17,76.22,76.57,75.63,76.43,1296113
45,2-Feb-17,76.09,76.9,75.86,76.17,1769943
46,1-Feb-17,75.3,76.39,75.17,76.34,2211438
47,31-Jan-17,75.84,75.87,75.04,75.5,1970588
48,30-Jan-17,77.1,77.28,75.81,76.0,2016668
49,27-Jan-17,77.95,78.34,77.68,77.7,2109132
50,26-Jan-17,76.54,78.36,76.39,77.99,3521059
51,25-Jan-17,76.0,76.86,75.68,76.67,4016019
52,24-Jan-17,73.71,76.47,73.0,76.05,5715708
53,23-Jan-17,72.97,73.34,72.23,72.78,2373024
54,20-Jan-17,73.21,73.69,72.66,73.03,3231085
55,19-Jan-17,73.64,73.84,72.59,72.95,1461806
56,18-Jan-17,73.16,73.6,72.62,73.45,1986455
57,17-Jan-17,73.1,73.15,72.44,72.97,2726666
58,13-Jan-17,73.84,74.05,73.24,73.6,1942343
59,12-Jan-17,74.01,74.55,73.65,74.11,2386598
60,11-Jan-17,73.56,74.08,73.28,74.03,2152220
61,10-Jan-17,73.6,73.93,73.15,73.56,2520260
62,9-Jan-17,73.03,75.25,73.03,73.72,3504624
63,6-Jan-17,73.75,73.75,72.94,73.38,2364941
64,5-Jan-17,73.87,74.2,73.28,73.81,1963894
65,4-Jan-17,73.75,74.53,73.75,74.17,2684097
66,3-Jan-17,73.47,74.1,72.68,73.61,2631310
67,30-Dec-16,73.91,74.0,72.75,73.4,2533023
68,29-Dec-16,74.22,74.68,73.76,73.81,1626720
69,28-Dec-16,75.25,75.3,74.22,74.38,1625196
70,27-Dec-16,75.11,75.34,74.89,74.96,1328252
71,23-Dec-16,75.06,75.06,74.58,74.93,1080887
72,22-Dec-16,75.14,75.41,74.8,75.07,1612803
73,21-Dec-16,75.26,75.86,75.15,75.46,1861102
74,20-Dec-16,75.1,75.38,74.81,75.26,2128907
75,19-Dec-16,74.96,75.15,74.63,75.03,2351480
76,16-Dec-16,75.04,75.2,74.28,74.86,4997228
77,15-Dec-16,73.81,75.0,73.5,74.89,3767989
78,14-Dec-16,74.77,74.88,73.38,73.71,5128963
79,13-Dec-16,75.33,75.38,74.5,74.75,2425339
80,12-Dec-16,75.04,75.67,74.72,75.09,3652751
81,9-Dec-16,74.9,74.98,74.2,74.85,2358921
82,8-Dec-16,74.0,74.97,73.52,74.68,2861705
83,7-Dec-16,72.58,74.02,72.5,73.82,3136881
84,6-Dec-16,72.59,72.8,72.02,72.73,1981385
85,5-Dec-16,73.48,74.04,72.65,72.89,3432101
86,2-Dec-16,73.73,73.79,72.9,73.13,3233772
87,1-Dec-16,73.75,74.6,73.47,73.62,4813769
88,30-Nov-16,71.58,73.69,71.11,73.61,5184790
89,29-Nov-16,70.77,71.33,70.35,71.2,2473001
90,28-Nov-16,70.89,71.06,70.29,70.89,2835013
91,25-Nov-16,70.69,71.0,70.3,71.0,1591899
92,23-Nov-16,70.68,70.86,70.26,70.32,3139201
93,22-Nov-16,70.06,71.2,69.81,70.91,3726657
94,21-Nov-16,69.18,70.15,69.1,70.07,3007480
95,18-Nov-16,69.02,69.07,68.46,68.84,1842077
96,17-Nov-16,69.2,69.25,68.26,69.17,1876517
