,Date,Open,High,Low,Close,Volume
0,7-Apr-17,63.43,63.57,63.1,63.19,2704150
1,6-Apr-17,63.5,64.0,63.36,63.61,3813406
2,5-Apr-17,63.48,64.43,63.36,63.52,6312747
3,4-Apr-17,63.06,63.25,62.58,63.2,5086591
4,3-Apr-17,63.57,63.78,62.3,63.06,5602037
5,31-Mar-17,63.97,64.06,63.52,63.54,6638072
6,30-Mar-17,64.38,64.56,63.99,64.18,4630989
7,29-Mar-17,64.28,64.7,64.06,64.42,3868257
8,28-Mar-17,63.87,65.42,63.52,65.0,8495231
9,27-Mar-17,62.62,64.66,62.32,64.02,8311060
10,24-Mar-17,63.67,64.26,62.81,63.08,5934568
11,23-Mar-17,62.65,63.93,62.5,63.83,7646908
12,22-Mar-17,62.86,62.93,61.97,62.79,9265492
13,21-Mar-17,64.54,64.73,62.91,63.08,9919683
14,20-Mar-17,63.95,64.66,63.72,64.5,6576606
15,17-Mar-17,64.15,64.38,63.82,64.03,10942058
16,16-Mar-17,64.41,64.48,63.66,63.86,4803435
17,15-Mar-17,63.92,64.5,63.77,64.44,4429089
18,14-Mar-17,63.99,64.12,63.46,63.68,3527731
19,13-Mar-17,63.88,64.24,63.77,64.11,4388005
20,10-Mar-17,63.83,64.05,63.43,63.84,5499071
21,9-Mar-17,63.27,63.68,62.81,63.54,5970917
22,8-Mar-17,63.22,64.05,63.0,63.28,6925674
23,7-Mar-17,63.32,63.5,63.11,63.15,7631157
24,6-Mar-17,63.21,63.97,62.86,63.51,7298634
25,3-Mar-17,63.45,63.61,63.05,63.26,3572149
26,2-Mar-17,63.42,63.67,63.23,63.35,5656295
27,1-Mar-17,62.87,63.64,62.72,63.46,8871656
28,28-Feb-17,62.6,62.88,61.97,62.26,7298156
29,27-Feb-17,63.2,63.61,62.71,62.91,7260673
30,24-Feb-17,62.96,63.58,62.82,63.55,5268501
31,23-Feb-17,63.63,63.88,63.03,63.37,6246329
32,22-Feb-17,61.19,64.36,61.08,63.67,18783097
33,21-Feb-17,61.23,61.86,61.04,61.22,5001658
34,17-Feb-17,61.2,61.32,60.5,61.26,4063317
35,16-Feb-17,60.82,61.44,60.8,61.41,4611075
36,15-Feb-17,61.48,61.54,61.06,61.1,7800299
37,14-Feb-17,61.05,61.74,60.63,61.72,4518575
38,13-Feb-17,61.22,61.85,61.2,61.56,4013471
39,10-Feb-17,60.54,61.3,60.42,61.19,4766540
40,9-Feb-17,59.86,60.35,59.63,60.26,3840127
41,8-Feb-17,59.85,60.0,59.5,59.73,4725220
42,7-Feb-17,59.91,60.21,59.66,59.79,3138622
43,6-Feb-17,60.03,60.15,59.8,60.02,3968574
44,3-Feb-17,59.97,60.28,59.51,60.21,4546953
45,2-Feb-17,60.28,60.59,59.74,59.86,4207229
46,1-Feb-17,59.61,60.34,59.33,60.3,5602749
47,31-Jan-17,59.84,59.95,59.21,59.63,5747697
48,30-Jan-17,60.84,60.92,59.81,60.15,5445557
49,27-Jan-17,61.41,61.73,61.22,61.31,5262057
50,26-Jan-17,60.47,61.65,60.21,61.42,10431600
51,25-Jan-17,59.42,60.34,59.35,60.21,8712736
52,24-Jan-17,57.58,59.77,57.35,59.64,9204797
53,23-Jan-17,57.38,57.67,56.85,57.14,4909346
54,20-Jan-17,57.22,57.63,56.98,57.38,7062198
55,19-Jan-17,57.88,58.0,56.76,57.09,4085986
56,18-Jan-17,57.54,57.71,57.09,57.71,3890840
57,17-Jan-17,57.52,57.52,56.97,57.33,5274370
58,13-Jan-17,58.27,58.33,57.73,57.8,5769805
59,12-Jan-17,58.27,58.61,58.06,58.29,6056702
60,11-Jan-17,57.9,58.3,57.43,58.26,6492475
61,10-Jan-17,57.71,57.83,57.16,57.67,5909071
62,9-Jan-17,57.4,59.08,57.39,57.79,11100657
63,6-Jan-17,57.8,57.89,57.11,57.44,5094504
64,5-Jan-17,58.09,58.19,57.42,57.8,4135583
65,4-Jan-17,57.88,58.26,57.7,58.06,5246706
66,3-Jan-17,57.2,57.93,56.52,57.6,7084669
67,30-Dec-16,57.56,57.58,56.9,57.22,4951569
68,29-Dec-16,58.0,58.14,57.37,57.42,3268965
69,28-Dec-16,58.59,58.73,57.88,57.9,3342016
70,27-Dec-16,58.46,58.9,58.38,58.42,2106402
71,23-Dec-16,58.18,58.45,58.04,58.43,3074498
72,22-Dec-16,59.02,59.15,58.41,58.75,5539593
73,21-Dec-16,58.94,59.33,58.65,59.08,5320166
74,20-Dec-16,58.9,59.0,58.64,58.8,4975357
75,19-Dec-16,58.94,58.94,58.35,58.78,5839765
76,16-Dec-16,58.94,59.0,57.93,58.41,9880790
77,15-Dec-16,57.42,58.48,57.42,58.35,5872162
78,14-Dec-16,57.97,58.23,57.42,57.66,9798255
79,13-Dec-16,58.17,58.54,57.68,58.15,7257503
80,12-Dec-16,57.91,58.57,57.78,58.27,10315795
81,9-Dec-16,57.47,57.75,57.13,57.71,6611572
82,8-Dec-16,56.98,57.73,56.5,57.43,8095896
83,7-Dec-16,56.06,56.99,55.94,56.9,8195637
84,6-Dec-16,55.89,56.24,55.24,56.22,9929186
85,5-Dec-16,55.74,56.53,55.72,56.06,11330367
86,2-Dec-16,55.99,56.03,55.37,55.42,7624749
87,1-Dec-16,56.01,56.48,55.79,56.11,10986185
88,30-Nov-16,54.28,56.08,54.13,55.72,18316997
89,29-Nov-16,54.05,54.29,53.68,53.99,5551107
90,28-Nov-16,54.13,54.44,53.9,54.32,6668540
91,25-Nov-16,54.05,54.3,53.84,54.18,2494390
92,23-Nov-16,54.08,54.36,53.89,54.07,4871876
93,22-Nov-16,53.91,54.56,53.65,54.33,11139004
94,21-Nov-16,53.55,54.12,53.51,54.0,7454496
95,18-Nov-16,53.19,53.48,53.01,53.23,6339720
96,17-Nov-16,53.32,53.43,52.72,53.36,4255612
97,16-Nov-16,53.16,53.71,53.02,53.18,4679970
98,15-Nov-16,53.44,53.52,52.32,53.17,8464713
99,14-Nov-16,53.76,54.07,53.07,53.46,7944244
100,11-Nov-16,53.89,54.07,52.88,53.65,12371954
101,10-Nov-16,53.81,54.33,53.6,54.15,11035640
102,9-Nov-16,52.06,54.05,51.6,53.87,11172924
103,8-Nov-16,53.64,53.73,53.28,53.43,8177638
104,7-Nov-16,53.74,53.94,53.22,53.65,7507164
105,4-Nov-16,53.24,53.38,52.94,53.13,6209763
106,3-Nov-16,53.71,53.73,53.24,53.26,4849894
107,2-Nov-16,53.66,53.75,53.41,53.6,6204014
108,1-Nov-16,54.03,54.03,53.29,53.78,7114357
109,31-Oct-16,54.15,54.15,53.6,53.81,5953595
110,28-Oct-16,54.52,54.94,53.86,53.92,8136670
111,27-Oct-16,54.23,55.19,53.93,54.56,11119282
112,26-Oct-16,53.85,54.01,53.5,53.76,6491653
113,25-Oct-16,54.27,54.3,53.75,54.11,7506146
114,24-Oct-16,54.33,54.37,53.98,54.24,5339324
115,21-Oct-16,53.5,54.2,53.33,54.1,6572211
116,20-Oct-16,53.72,53.97,53.51,53.82,3743556
117,19-Oct-16,53.88,54.17,53.6,53.93,6427511
118,18-Oct-16,53.55,53.9,53.37,53.69,4262012
119,17-Oct-16,53.23,53.75,52.78,53.0,4769490
120,14-Oct-16,53.02,53.76,53.02,53.38,4653809
121,13-Oct-16,52.6,53.06,52.18,52.91,4521451
122,12-Oct-16,53.51,53.69,52.89,53.21,3056176
123,11-Oct-16,53.44,53.53,52.92,53.52,4963840
124,10-Oct-16,53.53,53.9,53.37,53.54,5215416
125,7-Oct-16,53.59,53.73,52.79,52.99,6810064
126,6-Oct-16,52.65,53.61,52.38,53.59,8120744
127,5-Oct-16,52.03,53.0,51.98,52.7,6365723
128,4-Oct-16,52.47,52.75,51.74,51.86,6884016
129,3-Oct-16,52.34,52.9,52.14,52.42,7016640
130,30-Sep-16,52.04,52.28,51.79,51.83,6649584
131,29-Sep-16,52.33,52.62,51.65,51.73,5078753
132,28-Sep-16,52.42,52.48,51.66,52.33,5920948
133,27-Sep-16,52.15,52.61,52.02,52.57,4002333
134,26-Sep-16,52.21,52.27,52.02,52.13,5041064
