,Date,Open,High,Low,Close,Volume
0,7-Apr-17,82.8,82.99,82.21,82.26,2453141
1,6-Apr-17,82.66,82.87,82.37,82.59,2499238
2,5-Apr-17,82.27,82.97,82.11,82.87,2063954
3,4-Apr-17,82.24,82.69,81.98,82.37,1761394
4,3-Apr-17,81.9,82.29,81.27,82.25,2756209
5,31-Mar-17,81.91,82.47,81.73,82.01,2251821
6,30-Mar-17,82.11,82.12,81.66,82.04,2467343
7,29-Mar-17,82.74,82.74,82.19,82.42,2087586
8,28-Mar-17,82.54,82.98,82.35,82.93,2458530
9,27-Mar-17,83.32,83.58,82.41,82.79,2125771
10,24-Mar-17,82.61,83.27,82.45,82.99,2078812
11,23-Mar-17,82.49,83.29,82.35,82.68,2409985
12,22-Mar-17,82.99,83.59,82.58,82.76,2881795
13,21-Mar-17,81.15,83.01,81.12,82.68,5092488
14,20-Mar-17,81.93,82.1,80.86,81.18,3270978
15,17-Mar-17,81.85,82.25,81.52,81.84,7276875
16,16-Mar-17,82.2,82.33,81.24,81.62,4352257
17,15-Mar-17,81.08,82.36,80.84,82.0,3727684
18,14-Mar-17,80.85,81.11,80.61,80.87,2151186
19,13-Mar-17,80.8,80.98,80.46,80.87,3423476
20,10-Mar-17,80.41,80.95,80.17,80.64,3334445
21,9-Mar-17,80.52,80.79,80.02,80.05,3074490
22,8-Mar-17,81.11,81.12,80.25,80.32,3342612
23,7-Mar-17,81.59,82.07,81.46,81.69,3732571
24,6-Mar-17,81.96,82.08,81.53,81.87,2785102
25,3-Mar-17,82.14,82.16,81.28,81.91,2856184
26,2-Mar-17,81.6,82.78,81.39,82.36,4176131
27,1-Mar-17,81.6,82.52,81.2,81.93,4832281
28,28-Feb-17,81.59,82.82,81.59,82.55,3529876
29,27-Feb-17,81.93,82.2,81.5,81.86,2505846
30,24-Feb-17,81.2,82.21,81.17,81.96,3846758
31,23-Feb-17,79.98,81.07,79.9,80.91,2801227
32,22-Feb-17,79.21,79.99,78.96,79.87,2895026
33,21-Feb-17,78.3,79.22,77.93,79.09,2734984
34,17-Feb-17,78.7,78.99,77.98,78.36,4104558
35,16-Feb-17,77.17,79.21,76.77,78.9,6795552
36,15-Feb-17,76.79,77.17,76.28,76.78,3802909
37,14-Feb-17,78.56,78.68,77.59,78.04,3715806
38,13-Feb-17,78.26,78.69,77.9,78.69,2925882
39,10-Feb-17,77.59,78.16,77.59,78.1,2549973
40,9-Feb-17,78.53,78.84,77.57,77.75,3351432
41,8-Feb-17,77.82,78.71,77.74,78.64,2973576
42,7-Feb-17,77.65,77.86,77.41,77.75,1629926
43,6-Feb-17,77.89,78.04,77.45,77.57,2017146
44,3-Feb-17,77.89,78.04,77.48,77.65,2478070
45,2-Feb-17,77.57,77.94,77.16,77.79,2997371
46,1-Feb-17,78.14,78.26,77.08,77.36,3455080
47,31-Jan-17,77.12,78.56,77.12,78.54,3753652
48,30-Jan-17,76.98,77.52,76.7,77.12,2379117
49,27-Jan-17,77.32,77.63,76.73,76.94,2562052
50,26-Jan-17,76.99,77.23,76.64,77.12,3085410
51,25-Jan-17,76.93,77.12,76.56,77.08,2346970
52,24-Jan-17,77.2,77.33,76.86,77.18,2751383
53,23-Jan-17,77.43,77.68,76.89,77.03,2166778
54,20-Jan-17,77.32,77.58,76.95,77.33,2662840
55,19-Jan-17,77.27,77.57,76.88,77.12,2575474
56,18-Jan-17,77.38,77.91,77.28,77.5,2235709
57,17-Jan-17,77.47,77.83,77.26,77.46,3754997
58,13-Jan-17,77.34,77.48,76.77,77.21,1954531
59,12-Jan-17,76.97,77.61,76.77,77.54,2476286
60,11-Jan-17,76.28,77.2,76.25,77.1,2726221
61,10-Jan-17,76.49,76.83,76.14,76.5,2839994
62,9-Jan-17,77.61,77.73,76.4,76.64,4585676
63,6-Jan-17,77.5,77.87,77.26,77.49,3132399
64,5-Jan-17,77.9,77.96,77.04,77.75,3284643
65,4-Jan-17,77.65,78.35,77.63,77.65,2531056
66,3-Jan-17,77.65,78.02,77.02,77.73,2905885
67,30-Dec-16,78.05,78.24,77.35,77.62,2465556
68,29-Dec-16,77.11,78.17,77.0,78.02,2976489
69,28-Dec-16,77.54,77.62,76.9,77.03,1897615
70,27-Dec-16,77.49,77.73,77.13,77.48,1554468
71,23-Dec-16,77.77,77.83,77.25,77.62,1421414
72,22-Dec-16,76.96,78.05,76.91,77.77,3339006
73,21-Dec-16,77.23,77.66,76.98,77.0,2013330
74,20-Dec-16,76.71,77.58,76.62,77.35,2639185
75,19-Dec-16,77.1,77.24,76.37,77.13,2774996
76,16-Dec-16,76.2,76.8,75.78,76.59,7037998
77,15-Dec-16,75.34,76.11,74.95,76.03,3127737
78,14-Dec-16,77.6,77.94,75.35,75.53,4756011
79,13-Dec-16,76.67,77.45,76.52,77.32,3968706
80,12-Dec-16,75.65,76.59,75.58,76.48,3963608
