,Date,Open,High,Low,Close,Volume
0,7-Apr-17,59.63,59.72,59.15,59.36,2162145
1,6-Apr-17,59.53,59.95,59.27,59.69,3005225
2,5-Apr-17,60.13,60.9,59.38,59.56,3237011
3,4-Apr-17,59.65,59.9,59.35,59.71,1967542
4,3-Apr-17,59.8,60.3,59.16,59.82,4280500
5,31-Mar-17,59.45,60.28,59.45,59.86,3420096
6,30-Mar-17,59.45,59.83,59.35,59.61,2393074
7,29-Mar-17,59.17,59.74,59.07,59.55,2447395
8,28-Mar-17,58.42,59.68,58.24,59.44,2799042
9,27-Mar-17,58.03,58.56,57.45,58.43,2587727
10,24-Mar-17,58.98,59.36,58.38,58.57,3160240
11,23-Mar-17,59.12,59.43,58.82,58.99,2569889
12,22-Mar-17,58.97,59.18,58.6,59.12,3264312
13,21-Mar-17,60.14,60.51,58.85,58.96,4011683
14,20-Mar-17,60.56,60.6,59.95,60.1,2270091
15,17-Mar-17,60.44,60.78,59.9,60.6,4896113
16,16-Mar-17,60.33,60.59,60.16,60.23,3108399
17,15-Mar-17,59.21,60.55,59.21,60.27,4197864
18,14-Mar-17,59.55,59.55,58.41,58.97,3162592
19,13-Mar-17,59.6,60.14,59.42,60.13,4333420
20,10-Mar-17,59.59,59.93,59.28,59.52,3478330
21,9-Mar-17,59.8,59.97,58.86,59.28,3580059
22,8-Mar-17,60.46,60.49,59.69,59.79,2809600
23,7-Mar-17,60.24,60.56,60.05,60.22,3749898
24,6-Mar-17,60.2,60.51,59.8,60.33,3278744
25,3-Mar-17,60.92,60.92,60.08,60.37,2335536
26,2-Mar-17,60.88,61.08,60.09,60.31,3559793
27,1-Mar-17,60.75,61.39,60.65,60.88,6216434
28,28-Feb-17,60.26,60.51,59.88,60.1,4204867
29,27-Feb-17,60.5,60.76,60.12,60.43,3501228
30,24-Feb-17,60.22,60.51,59.79,60.48,7139458
31,23-Feb-17,61.77,61.97,60.39,60.61,4824736
32,22-Feb-17,61.75,62.17,61.72,61.82,3411219
33,21-Feb-17,62.05,62.21,61.7,62.17,4569114
34,17-Feb-17,62.52,62.55,61.7,61.89,5091075
35,16-Feb-17,63.58,63.59,62.38,62.9,6228880
36,15-Feb-17,63.61,63.87,63.13,63.73,5215621
37,14-Feb-17,63.69,64.36,63.55,64.14,3949199
38,13-Feb-17,63.46,64.27,63.45,64.15,4056958
39,10-Feb-17,62.69,63.4,62.69,63.26,4619032
40,9-Feb-17,62.59,63.48,62.46,62.71,3457275
41,8-Feb-17,62.0,62.51,61.67,62.41,5735491
42,7-Feb-17,61.3,63.5,61.02,62.54,10588333
43,6-Feb-17,59.3,59.96,59.28,59.86,6248054
44,3-Feb-17,59.12,59.56,58.84,59.54,3523090
45,2-Feb-17,58.61,59.12,58.42,58.88,6198965
46,1-Feb-17,58.5,59.1,58.37,58.78,2954532
47,31-Jan-17,59.08,59.1,58.24,58.66,5894458
48,30-Jan-17,60.1,60.11,58.73,59.14,5213912
49,27-Jan-17,60.56,60.56,60.01,60.14,3260633
50,26-Jan-17,60.19,60.93,59.81,60.08,3469556
51,25-Jan-17,59.59,60.38,59.42,60.26,4133113
52,24-Jan-17,58.51,59.44,58.3,59.11,3202092
53,23-Jan-17,58.69,58.93,58.0,58.29,3174517
54,20-Jan-17,58.5,58.9,58.39,58.83,4193906
55,19-Jan-17,58.5,59.32,58.28,58.43,5955059
56,18-Jan-17,56.43,57.35,56.26,57.22,2575446
57,17-Jan-17,56.8,57.08,56.0,56.31,3152560
58,13-Jan-17,57.55,57.7,56.93,57.12,2964516
59,12-Jan-17,57.39,57.5,56.77,57.47,2551152
60,11-Jan-17,56.7,57.58,56.52,57.57,2685833
61,10-Jan-17,56.48,57.12,56.39,56.69,2535001
62,9-Jan-17,56.8,56.81,56.16,56.19,2130881
63,6-Jan-17,56.19,56.63,56.0,56.4,1786481
64,5-Jan-17,56.52,56.91,55.4,56.14,2657112
65,4-Jan-17,57.05,57.44,56.34,56.61,4155422
66,3-Jan-17,56.25,57.2,56.17,56.95,3383005
67,30-Dec-16,56.19,56.36,55.56,55.75,1957014
68,29-Dec-16,56.37,56.5,56.0,56.2,1173188
69,28-Dec-16,57.15,57.3,56.29,56.3,1680769
70,27-Dec-16,56.79,57.2,56.75,57.17,1251183
71,23-Dec-16,56.78,57.07,56.69,56.8,1157846
72,22-Dec-16,56.93,56.95,56.45,56.69,2013669
73,21-Dec-16,57.15,57.25,56.58,56.92,2716727
74,20-Dec-16,56.66,57.63,56.5,57.31,3471294
75,19-Dec-16,55.92,56.6,55.82,56.31,2779734
76,16-Dec-16,56.31,56.63,55.66,55.73,6332540
77,15-Dec-16,55.98,56.62,55.67,56.18,3962073
78,14-Dec-16,56.7,57.22,56.17,56.27,3015234
79,13-Dec-16,57.28,57.63,56.64,56.77,3784264
80,12-Dec-16,57.51,57.68,56.74,57.09,3162263
81,9-Dec-16,57.42,57.7,57.29,57.49,3028941
82,8-Dec-16,58.06,58.07,57.24,57.6,3727248
83,7-Dec-16,56.72,58.28,56.57,58.26,4372789
84,6-Dec-16,56.76,56.89,56.46,56.57,3040131
85,5-Dec-16,56.81,56.99,56.42,56.93,3132737
86,2-Dec-16,56.58,56.9,56.02,56.35,2932668
87,1-Dec-16,56.73,57.48,56.42,56.77,5500693
88,30-Nov-16,54.8,57.43,54.8,56.44,8784880
89,29-Nov-16,54.29,54.59,53.92,54.4,3408230
