,Date,Open,High,Low,Close,Volume
0,7-Apr-17,36.31,36.47,35.93,35.97,6055370
1,6-Apr-17,36.0,36.34,35.74,36.27,5709665
2,5-Apr-17,35.88,36.16,35.76,36.06,4620945
3,4-Apr-17,35.8,36.38,35.72,36.14,5037817
4,3-Apr-17,35.95,35.98,35.53,35.82,4660366
5,31-Mar-17,35.75,36.43,35.65,35.98,7149268
6,30-Mar-17,35.79,35.91,35.49,35.7,4002134
7,29-Mar-17,35.7,36.12,35.3,35.93,4624209
8,28-Mar-17,35.52,35.69,35.37,35.67,5913161
9,27-Mar-17,36.26,36.32,35.66,35.84,2349314
10,24-Mar-17,35.88,36.4,35.87,36.12,3605565
11,23-Mar-17,36.2,36.44,35.92,35.96,6282744
12,22-Mar-17,36.1,36.42,36.1,36.3,5441651
13,21-Mar-17,35.49,36.14,35.38,35.96,5446071
14,20-Mar-17,36.11,36.11,35.44,35.57,3690296
15,17-Mar-17,36.06,36.22,35.93,36.01,8375920
16,16-Mar-17,36.06,36.23,35.89,35.98,3584464
17,15-Mar-17,35.79,36.53,35.7,36.28,5205215
18,14-Mar-17,35.87,35.87,35.56,35.64,2925972
19,13-Mar-17,35.97,36.07,35.8,35.94,2899338
20,10-Mar-17,35.95,36.15,35.72,35.97,3525877
21,9-Mar-17,35.7,35.98,35.65,35.78,3319207
22,8-Mar-17,35.81,35.91,35.51,35.72,3954861
23,7-Mar-17,36.19,36.36,36.02,36.13,4397779
24,6-Mar-17,36.2,36.3,35.98,36.07,3668195
25,3-Mar-17,36.41,36.41,35.91,36.32,3186531
26,2-Mar-17,35.99,36.63,35.86,36.42,4467944
27,1-Mar-17,36.32,36.47,36.01,36.07,4748836
28,28-Feb-17,36.47,36.87,36.45,36.71,6048348
29,27-Feb-17,37.09,37.1,36.4,36.57,4554701
30,24-Feb-17,36.15,37.19,35.95,37.18,8184779
31,23-Feb-17,35.85,36.18,35.73,35.98,5224872
32,22-Feb-17,35.85,35.92,35.39,35.69,4302347
33,21-Feb-17,35.39,36.02,35.25,35.92,4476728
34,17-Feb-17,35.46,35.62,35.09,35.58,4962991
35,16-Feb-17,35.22,35.44,35.13,35.42,3519095
36,15-Feb-17,35.05,35.24,34.85,35.22,4043727
37,14-Feb-17,35.44,35.51,34.91,35.36,5540773
38,13-Feb-17,34.77,35.22,34.77,35.1,4848784
39,10-Feb-17,34.75,35.07,34.7,35.02,7374140
40,9-Feb-17,35.15,35.18,34.47,34.85,7608778
41,8-Feb-17,35.27,36.3,34.97,35.23,9603845
42,7-Feb-17,35.84,36.07,35.76,36.01,3843896
43,6-Feb-17,35.89,36.0,35.66,35.81,4029880
44,3-Feb-17,35.78,35.91,35.66,35.78,4284494
45,2-Feb-17,35.44,35.9,35.36,35.82,3924715
46,1-Feb-17,35.66,35.81,35.04,35.45,6461018
47,31-Jan-17,35.04,35.88,34.99,35.88,8093719
48,30-Jan-17,35.14,35.15,34.8,35.04,6187282
49,27-Jan-17,35.44,35.53,35.02,35.08,3247216
50,26-Jan-17,35.4,35.67,35.15,35.29,4521791
51,25-Jan-17,35.34,35.45,35.18,35.35,3905913
52,24-Jan-17,35.27,35.4,35.1,35.13,5209127
53,23-Jan-17,35.85,35.88,35.24,35.3,3636885
54,20-Jan-17,35.78,35.89,35.55,35.8,5318136
55,19-Jan-17,35.61,36.05,35.42,35.74,5024610
56,18-Jan-17,35.8,35.99,35.6,35.71,3016309
57,17-Jan-17,35.55,36.05,35.52,35.88,3931725
58,13-Jan-17,35.39,35.64,35.24,35.44,5052922
59,12-Jan-17,35.42,35.49,35.22,35.44,3591749
60,11-Jan-17,35.2,35.46,35.12,35.39,7248196
61,10-Jan-17,35.42,35.49,35.01,35.06,5340534
62,9-Jan-17,36.09,36.17,35.25,35.27,4680781
63,6-Jan-17,35.39,36.21,35.32,36.08,6322944
64,5-Jan-17,35.5,35.65,35.26,35.5,5148930
65,4-Jan-17,35.34,35.78,35.26,35.49,6651754
66,3-Jan-17,35.67,35.69,34.91,35.19,7296274
67,30-Dec-16,35.75,35.81,35.37,35.49,3487420
68,29-Dec-16,35.33,35.88,35.28,35.72,4074184
69,28-Dec-16,35.46,35.52,35.12,35.2,3460021
70,27-Dec-16,35.24,35.57,35.12,35.4,5649734
71,23-Dec-16,35.4,35.49,35.09,35.3,4878424
72,22-Dec-16,35.3,35.69,35.19,35.31,11759613
