,Date,Open,High,Low,Close,Volume
0,7-Apr-17,11.26,11.31,11.21,11.23,28874909
1,6-Apr-17,11.27,11.36,11.22,11.27,36165281
2,5-Apr-17,11.48,11.5,11.25,11.26,43316140
3,4-Apr-17,11.38,11.48,11.28,11.37,40068175
4,3-Apr-17,11.64,11.64,11.28,11.44,65671114
5,31-Mar-17,11.66,11.68,11.6,11.64,26717520
6,30-Mar-17,11.67,11.74,11.61,11.68,28008241
7,29-Mar-17,11.73,11.76,11.64,11.68,35795737
8,28-Mar-17,11.51,11.8,11.48,11.65,57662806
9,27-Mar-17,11.51,11.55,11.41,11.46,57713419
10,24-Mar-17,11.66,11.76,11.55,11.62,43772442
11,23-Mar-17,11.57,11.75,11.5,11.67,71209260
12,22-Mar-17,11.78,11.83,11.62,11.77,71107861
13,21-Mar-17,12.3,12.32,11.7,11.72,101559879
14,20-Mar-17,12.48,12.49,12.25,12.28,45329650
15,17-Mar-17,12.74,12.74,12.45,12.48,54929115
16,16-Mar-17,12.65,12.72,12.59,12.7,28954694
17,15-Mar-17,12.56,12.65,12.52,12.65,34296197
18,14-Mar-17,12.51,12.56,12.45,12.55,26956658
19,13-Mar-17,12.56,12.63,12.5,12.54,22625831
20,10-Mar-17,12.55,12.63,12.47,12.53,34866054
21,9-Mar-17,12.54,12.54,12.4,12.5,29149095
22,8-Mar-17,12.5,12.64,12.46,12.53,27327834
23,7-Mar-17,12.51,12.52,12.42,12.46,25906933
24,6-Mar-17,12.58,12.6,12.5,12.52,28753623
25,3-Mar-17,12.66,12.71,12.53,12.65,30493532
26,2-Mar-17,12.72,12.74,12.58,12.66,33245050
27,1-Mar-17,12.66,12.75,12.65,12.69,36178588
28,28-Feb-17,12.63,12.66,12.45,12.53,36089848
29,27-Feb-17,12.49,12.68,12.43,12.66,41713096
30,24-Feb-17,12.51,12.51,12.38,12.47,40817305
31,23-Feb-17,12.7,12.72,12.55,12.56,22520597
32,22-Feb-17,12.66,12.76,12.65,12.67,24787512
33,21-Feb-17,12.61,12.72,12.61,12.69,29156181
34,17-Feb-17,12.5,12.58,12.42,12.58,26407405
35,16-Feb-17,12.61,12.64,12.48,12.54,22896525
36,15-Feb-17,12.62,12.64,12.55,12.63,25114438
37,14-Feb-17,12.64,12.7,12.59,12.65,28355725
38,13-Feb-17,12.54,12.62,12.48,12.56,24473996
39,10-Feb-17,12.44,12.51,12.37,12.51,32996465
40,9-Feb-17,12.4,12.47,12.35,12.38,32924624
41,8-Feb-17,12.34,12.45,12.27,12.38,26411417
42,7-Feb-17,12.5,12.52,12.31,12.34,32914413
43,6-Feb-17,12.55,12.62,12.46,12.52,26916768
44,3-Feb-17,12.42,12.62,12.39,12.56,38245251
45,2-Feb-17,12.3,12.37,12.23,12.28,29035383
46,1-Feb-17,12.45,12.58,12.22,12.32,44396812
47,31-Jan-17,12.31,12.39,12.19,12.36,46974479
48,30-Jan-17,12.46,12.46,12.28,12.37,39254173
49,27-Jan-17,12.48,12.54,12.38,12.49,34613868
50,26-Jan-17,12.65,12.68,12.35,12.37,55672778
51,25-Jan-17,12.71,12.8,12.64,12.79,46747840
52,24-Jan-17,12.35,12.61,12.34,12.61,34625204
53,23-Jan-17,12.35,12.38,12.22,12.31,31670705
54,20-Jan-17,12.45,12.48,12.31,12.36,29269964
55,19-Jan-17,12.4,12.56,12.34,12.43,30135566
56,18-Jan-17,12.43,12.45,12.3,12.41,33830795
57,17-Jan-17,12.65,12.73,12.54,12.61,49069459
58,13-Jan-17,12.62,12.67,12.5,12.63,29197105
59,12-Jan-17,12.66,12.68,12.35,12.59,36493266
60,11-Jan-17,12.71,12.72,12.51,12.67,49718725
61,10-Jan-17,12.7,13.02,12.66,12.85,58703537
62,9-Jan-17,12.79,12.86,12.63,12.63,39438393
63,6-Jan-17,12.8,12.84,12.64,12.76,40315887
64,5-Jan-17,13.21,13.22,12.63,12.77,75628443
65,4-Jan-17,12.77,13.27,12.74,13.17,77638075
66,3-Jan-17,12.2,12.6,12.13,12.59,40510821
67,30-Dec-16,12.24,12.28,12.08,12.13,27405736
68,29-Dec-16,12.25,12.31,12.22,12.23,19819081
69,28-Dec-16,12.37,12.45,12.22,12.25,26875381
70,27-Dec-16,12.43,12.51,12.36,12.39,19467440
71,23-Dec-16,12.43,12.46,12.36,12.46,15621178
72,22-Dec-16,12.63,12.64,12.4,12.4,27821071
73,21-Dec-16,12.73,12.77,12.64,12.64,18117060
74,20-Dec-16,12.7,12.82,12.68,12.78,17834041
75,19-Dec-16,12.59,12.8,12.59,12.66,22830013
76,16-Dec-16,12.66,12.7,12.56,12.63,28354939
77,15-Dec-16,12.54,12.72,12.52,12.58,23774842
78,14-Dec-16,12.65,12.79,12.5,12.53,42820123
79,13-Dec-16,12.84,12.88,12.75,12.77,39570500
80,12-Dec-16,13.08,13.1,12.81,12.82,39596765
81,9-Dec-16,13.0,13.2,12.91,13.17,45256112
82,8-Dec-16,13.07,13.15,12.97,13.03,41459537
83,7-Dec-16,12.59,13.15,12.54,13.06,58600423
84,6-Dec-16,12.4,12.59,12.37,12.56,23923916
85,5-Dec-16,12.31,12.5,12.29,12.44,36219973
86,2-Dec-16,12.58,12.58,12.15,12.24,38689842
87,1-Dec-16,12.23,12.8,12.18,12.43,95143559
88,30-Nov-16,11.97,12.14,11.92,11.96,47646220
89,29-Nov-16,11.93,12.0,11.87,11.92,23690847
90,28-Nov-16,12.02,12.05,11.89,11.92,24407192
91,25-Nov-16,11.95,12.06,11.93,12.04,11439553
92,23-Nov-16,11.9,12.0,11.85,11.9,22418351
93,22-Nov-16,11.76,11.91,11.73,11.89,24274734
94,21-Nov-16,11.77,11.9,11.77,11.79,19508608
95,18-Nov-16,11.87,11.9,11.73,11.76,30662036
96,17-Nov-16,11.9,11.96,11.78,11.87,38462341
97,16-Nov-16,12.0,12.05,11.92,12.0,25195460
98,15-Nov-16,12.06,12.14,11.95,12.04,31498503
99,14-Nov-16,12.27,12.5,12.02,12.06,56109928
100,11-Nov-16,11.88,12.4,11.84,12.28,79259270
101,10-Nov-16,11.58,11.98,11.58,11.94,52756533
102,9-Nov-16,11.15,11.63,11.07,11.58,60625748
103,8-Nov-16,11.5,11.51,11.35,11.48,28497894
104,7-Nov-16,11.52,11.62,11.39,11.58,25120693
105,4-Nov-16,11.31,11.5,11.3,11.34,24752417
106,3-Nov-16,11.39,11.46,11.27,11.35,38651451
107,2-Nov-16,11.51,11.56,11.36,11.4,36229377
108,1-Nov-16,11.78,11.84,11.5,11.61,35613573
109,31-Oct-16,11.75,11.81,11.69,11.74,31898380
110,28-Oct-16,11.74,11.85,11.62,11.72,37142375
111,27-Oct-16,11.81,11.83,11.6,11.74,48402031
112,26-Oct-16,11.8,11.93,11.76,11.88,36219863
113,25-Oct-16,12.05,12.1,11.76,11.85,42485988
114,24-Oct-16,12.06,12.2,12.06,12.19,33733614
115,21-Oct-16,11.93,12.04,11.85,12.02,24364204
116,20-Oct-16,12.02,12.03,11.9,11.97,18115983
117,19-Oct-16,11.89,12.05,11.88,12.01,26094001
118,18-Oct-16,11.92,11.93,11.71,11.89,39911254
119,17-Oct-16,11.91,12.0,11.88,11.88,19874994
120,14-Oct-16,11.96,12.0,11.89,11.91,25775674
121,13-Oct-16,11.91,11.91,11.69,11.91,39904190
122,12-Oct-16,12.0,12.01,11.94,11.96,20626954
