,Date,Open,High,Low,Close,Volume
0,7-Apr-17,141.2,141.55,140.24,140.78,11818341
1,6-Apr-17,142.11,142.22,140.91,141.17,15103426
2,5-Apr-17,142.26,143.44,141.29,141.85,17158059
3,4-Apr-17,141.86,142.09,141.27,141.73,12948599
4,3-Apr-17,141.93,142.47,140.82,142.28,13563960
5,31-Mar-17,142.31,142.63,141.89,142.05,11478265
6,30-Mar-17,142.4,142.95,141.85,142.41,12403997
7,29-Mar-17,141.99,142.86,141.43,142.65,16527574
8,28-Mar-17,140.36,141.95,140.01,141.76,14679436
9,27-Mar-17,139.05,140.65,138.77,140.32,12800544
10,24-Mar-17,140.08,141.02,139.76,140.34,16664683
11,23-Mar-17,139.48,140.39,139.09,139.53,13022801
12,22-Mar-17,137.93,139.79,137.6,139.59,17055449
13,21-Mar-17,141.15,142.31,138.4,138.51,29894784
14,20-Mar-17,139.71,140.19,139.25,139.94,12099471
15,17-Mar-17,140.34,140.34,139.7,139.84,20592818
16,16-Mar-17,140.2,140.25,139.73,139.99,13612942
17,15-Mar-17,139.29,140.1,138.49,139.72,19344826
18,14-Mar-17,139.46,139.46,138.52,139.32,12944018
19,13-Mar-17,138.71,139.68,138.67,139.6,10955450
20,10-Mar-17,138.91,139.49,138.22,138.79,16314113
21,9-Mar-17,137.72,138.57,137.4,138.24,15535259
22,8-Mar-17,137.15,137.99,137.05,137.72,10184514
23,7-Mar-17,137.03,138.37,136.99,137.3,13527132
24,6-Mar-17,136.88,137.83,136.51,137.42,12748179
25,3-Mar-17,136.63,137.33,136.08,137.17,11160563
26,2-Mar-17,137.09,137.82,136.31,136.76,12294804
27,1-Mar-17,136.47,137.48,136.3,137.42,16257010
28,28-Feb-17,136.79,136.8,134.75,135.54,16112092
29,27-Feb-17,135.26,137.18,135.02,136.41,14306668
30,24-Feb-17,134.16,135.62,134.16,135.44,12625742
31,23-Feb-17,135.89,136.12,134.33,135.36,18422549
32,22-Feb-17,133.6,136.79,133.46,136.12,27360092
33,21-Feb-17,133.5,133.91,132.9,133.72,14759109
34,17-Feb-17,133.5,134.09,133.17,133.53,12276490
35,16-Feb-17,133.07,133.87,133.02,133.84,12831092
36,15-Feb-17,133.45,133.7,132.66,133.44,13226534
37,14-Feb-17,134.1,134.23,132.55,133.85,14364877
38,13-Feb-17,134.7,134.7,133.7,134.05,13526221
39,10-Feb-17,134.1,134.94,133.68,134.19,15061939
40,9-Feb-17,134.49,134.5,133.31,134.14,16470609
41,8-Feb-17,132.6,134.44,132.44,134.2,22390556
42,7-Feb-17,132.24,133.0,131.66,131.84,14596449
43,6-Feb-17,130.98,132.06,130.3,132.06,17058494
44,3-Feb-17,131.24,132.85,130.76,130.98,24804890
45,2-Feb-17,133.22,135.49,130.4,130.84,54366447
46,1-Feb-17,132.25,133.49,130.68,133.23,50139775
47,31-Jan-17,130.17,130.66,129.52,130.32,19790484
48,30-Jan-17,131.58,131.58,129.6,130.98,18956095
49,27-Jan-17,132.68,132.95,131.08,132.18,19539514
50,26-Jan-17,131.63,133.14,131.44,132.78,20020141
51,25-Jan-17,130.0,131.74,129.77,131.48,18777314
52,24-Jan-17,129.38,129.9,128.38,129.37,15162724
53,23-Jan-17,127.31,129.25,126.95,128.93,16593563
54,20-Jan-17,128.1,128.48,126.78,127.04,19097223
55,19-Jan-17,128.23,128.35,127.45,127.55,12195465
56,18-Jan-17,128.41,128.43,126.84,127.92,13145852
57,17-Jan-17,128.04,128.34,127.4,127.87,15294460
58,13-Jan-17,127.49,129.27,127.37,128.34,24884325
59,12-Jan-17,125.61,126.73,124.8,126.62,18653914
60,11-Jan-17,124.35,126.12,124.06,126.09,18356523
61,10-Jan-17,124.82,125.5,124.28,124.35,17324590
62,9-Jan-17,123.55,125.43,123.04,124.9,22880360
63,6-Jan-17,120.98,123.88,120.03,123.41,28545263
64,5-Jan-17,118.86,120.95,118.32,120.67,19492150
65,4-Jan-17,117.55,119.66,117.29,118.69,19630932
66,3-Jan-17,116.03,117.84,115.51,116.86,20663912
67,30-Dec-16,116.6,116.83,114.77,115.05,18684106
68,29-Dec-16,117.0,117.53,116.06,116.35,9934873
69,28-Dec-16,118.19,118.25,116.65,116.92,12087377
70,27-Dec-16,116.96,118.68,116.86,118.01,12051481
71,23-Dec-16,117.0,117.56,116.3,117.27,10889985
72,22-Dec-16,118.86,118.99,116.93,117.4,16258587
73,21-Dec-16,118.92,119.2,118.48,119.04,10767646
74,20-Dec-16,119.5,119.77,118.8,119.09,13684402
