,Date,Open,High,Low,Close,Volume
0,7-Apr-17,195.54,196.88,195.37,195.65,1612006
1,6-Apr-17,196.0,197.26,195.64,195.99,1410529
2,5-Apr-17,197.0,199.17,195.5,195.85,1651268
3,4-Apr-17,195.06,196.58,194.65,196.27,1866668
4,3-Apr-17,195.86,197.2,194.4,195.36,1796513
5,31-Mar-17,193.95,196.23,193.22,195.15,2175490
6,30-Mar-17,192.5,194.34,191.68,194.17,1890764
7,29-Mar-17,189.44,191.66,189.15,190.92,1648270
8,28-Mar-17,187.0,190.49,187.0,189.89,1675570
9,27-Mar-17,186.79,187.62,184.3,187.04,2405919
10,24-Mar-17,189.34,190.31,187.23,188.12,2862327
11,23-Mar-17,195.0,195.14,189.1,189.19,3489778
12,22-Mar-17,195.67,197.48,192.5,195.92,6132660
13,21-Mar-17,193.09,193.86,191.68,191.84,3352327
14,20-Mar-17,195.05,195.51,192.18,192.27,2189255
15,17-Mar-17,193.89,196.09,192.38,194.59,2390742
16,16-Mar-17,193.39,194.0,192.44,193.11,1244011
17,15-Mar-17,191.95,194.26,191.5,193.26,1412054
18,14-Mar-17,192.9,193.03,190.98,191.38,1352201
19,13-Mar-17,191.87,193.24,191.39,193.12,1283013
20,10-Mar-17,192.45,193.36,190.39,192.15,1226562
21,9-Mar-17,192.7,192.9,189.9,191.31,1406193
22,8-Mar-17,193.11,193.84,192.04,192.92,1206802
23,7-Mar-17,193.85,194.6,192.37,192.91,1217585
24,6-Mar-17,194.0,195.43,193.34,193.95,925133
25,3-Mar-17,194.54,195.29,193.96,194.35,822774
26,2-Mar-17,196.98,196.99,194.23,194.71,1786420
27,1-Mar-17,194.89,198.6,194.89,197.42,2212688
28,28-Feb-17,194.47,195.4,192.91,192.98,1788244
29,27-Feb-17,192.97,194.43,191.77,194.37,1777043
30,24-Feb-17,190.74,193.11,190.12,193.11,2209925
31,23-Feb-17,194.0,194.5,190.71,191.18,1806466
32,22-Feb-17,194.42,194.5,192.61,193.83,2126083
33,21-Feb-17,194.37,195.57,193.76,195.36,1269635
34,17-Feb-17,192.8,193.7,192.3,193.7,808101
35,16-Feb-17,194.38,194.72,192.16,193.35,1143753
36,15-Feb-17,192.77,194.79,192.22,194.67,1308709
37,14-Feb-17,192.09,193.07,191.33,192.46,945344
38,13-Feb-17,191.05,193.15,190.63,192.57,1068266
39,10-Feb-17,188.78,191.0,188.31,190.86,1188336
40,9-Feb-17,188.2,190.12,187.83,188.57,1347816
41,8-Feb-17,187.75,188.28,186.81,187.96,955647
42,7-Feb-17,188.2,188.67,187.19,188.02,1158524
43,6-Feb-17,190.43,190.75,187.73,188.2,1352466
44,3-Feb-17,186.09,188.94,185.39,188.21,1356345
45,2-Feb-17,186.12,186.92,183.87,184.61,1461851
46,1-Feb-17,189.28,189.3,184.71,186.27,2076140
47,31-Jan-17,190.28,190.48,186.16,189.11,2952325
48,30-Jan-17,195.48,195.48,191.18,193.25,2304075
49,27-Jan-17,192.77,196.42,191.8,195.92,1991368
50,26-Jan-17,192.31,192.94,191.14,192.58,1067550
51,25-Jan-17,191.6,194.02,190.61,192.95,1807030
52,24-Jan-17,185.51,191.99,185.51,191.61,2138495
53,23-Jan-17,185.81,186.71,184.3,185.46,1070520
54,20-Jan-17,186.02,187.0,184.37,185.73,2192856
55,19-Jan-17,187.27,188.1,185.68,186.17,1061296
56,18-Jan-17,186.44,187.98,185.75,187.23,902954
57,17-Jan-17,186.12,186.74,184.44,186.05,1343809
58,13-Jan-17,187.79,188.7,186.68,187.01,1140632
59,12-Jan-17,188.66,188.87,186.34,187.38,1177894
60,11-Jan-17,188.25,189.44,188.0,189.24,1045295
61,10-Jan-17,189.06,189.9,188.35,188.42,1358098
62,9-Jan-17,189.58,190.53,189.01,189.69,1279154
63,6-Jan-17,188.11,191.74,187.9,190.25,1658437
64,5-Jan-17,188.71,190.37,187.95,188.41,1207787
65,4-Jan-17,188.5,189.4,187.36,188.71,1290348
66,3-Jan-17,186.57,189.67,186.57,187.7,1708350
67,30-Dec-16,187.8,187.96,185.68,186.2,1323201
68,29-Dec-16,188.85,189.64,186.42,186.95,1293105
69,28-Dec-16,190.83,191.57,188.02,188.45,1555398
70,27-Dec-16,191.97,192.53,190.51,190.55,966457
71,23-Dec-16,191.48,193.02,190.81,191.86,1677369
72,22-Dec-16,192.24,192.46,190.78,190.89,2030077
