,Date,Open,High,Low,Close,Volume
0,7-Apr-17,31.14,31.25,30.83,31.07,4968497
1,6-Apr-17,31.27,31.36,30.65,31.12,9208274
2,5-Apr-17,31.78,31.84,31.26,31.38,8602257
3,4-Apr-17,32.01,32.17,31.61,31.75,9084920
4,3-Apr-17,32.48,32.54,32.03,32.15,5842386
5,31-Mar-17,32.22,32.6,32.2,32.39,6709777
6,30-Mar-17,32.04,32.39,32.01,32.36,4124697
7,29-Mar-17,32.31,32.48,32.07,32.11,7239136
8,28-Mar-17,31.76,32.58,31.75,32.44,11092308
9,27-Mar-17,31.4,32.05,31.31,31.9,11019121
10,24-Mar-17,31.38,31.84,31.26,31.52,10347802
11,23-Mar-17,30.97,31.55,30.88,31.33,11218625
12,22-Mar-17,30.63,31.09,30.49,30.97,6602471
13,21-Mar-17,30.77,30.86,30.52,30.56,9621313
14,20-Mar-17,30.85,31.01,30.58,30.63,4134043
15,17-Mar-17,30.97,31.03,30.65,30.82,9432188
16,16-Mar-17,30.68,30.78,30.42,30.76,8728050
17,15-Mar-17,30.67,30.92,30.44,30.74,4065243
18,14-Mar-17,30.49,30.61,30.32,30.52,4307010
19,13-Mar-17,30.4,30.55,30.35,30.5,5352321
20,10-Mar-17,30.83,30.92,30.4,30.55,7785827
21,9-Mar-17,30.36,30.83,30.36,30.7,6664232
22,8-Mar-17,30.59,30.6,30.32,30.35,4993331
23,7-Mar-17,30.61,30.77,30.23,30.52,6845864
24,6-Mar-17,30.41,31.03,30.29,30.69,10712346
25,3-Mar-17,30.2,30.52,30.03,30.46,4421880
26,2-Mar-17,30.33,30.48,30.09,30.2,6699193
27,1-Mar-17,30.2,30.73,30.15,30.41,8348620
28,28-Feb-17,30.33,30.42,29.9,29.92,8553473
29,27-Feb-17,30.51,30.7,30.29,30.43,6475846
30,24-Feb-17,30.44,30.62,30.26,30.61,4930196
31,23-Feb-17,30.29,30.68,30.17,30.34,4368924
32,22-Feb-17,30.39,30.6,30.39,30.47,4596911
33,21-Feb-17,30.24,30.8,30.23,30.55,9231386
34,17-Feb-17,30.42,30.51,30.16,30.35,5004146
35,16-Feb-17,30.58,30.75,30.41,30.51,4313938
36,15-Feb-17,30.08,30.7,30.07,30.7,7597440
37,14-Feb-17,29.74,30.4,29.57,30.3,9255701
38,13-Feb-17,30.09,30.12,29.51,29.72,6974038
