,Date,Open,High,Low,Close,Volume
0,7-Apr-17,188.8,189.42,186.6,188.04,1189368
1,6-Apr-17,185.87,187.13,185.85,186.3,746083
2,5-Apr-17,187.62,189.32,185.73,185.85,931983
3,4-Apr-17,187.74,188.33,186.34,187.72,1073632
4,3-Apr-17,187.48,188.2,186.26,187.74,1259488
5,31-Mar-17,188.39,188.56,186.42,187.2,2063841
6,30-Mar-17,188.44,189.3,188.2,188.78,926293
7,29-Mar-17,188.0,188.92,187.2,188.29,869704
8,28-Mar-17,185.0,189.45,184.88,188.44,1231043
9,27-Mar-17,184.89,186.18,183.72,185.49,1930621
10,24-Mar-17,189.54,189.9,186.35,187.52,1498560
11,23-Mar-17,189.54,190.6,189.01,189.56,794531
12,22-Mar-17,188.88,190.13,187.95,189.6,835908
13,21-Mar-17,192.35,193.16,188.25,188.69,1266500
14,20-Mar-17,193.2,193.65,191.77,191.98,930482
15,17-Mar-17,191.31,194.0,190.9,193.27,1824484
16,16-Mar-17,191.97,192.18,189.92,190.65,1082767
17,15-Mar-17,190.08,192.0,189.75,191.66,985938
18,14-Mar-17,190.83,191.0,189.33,189.75,1055234
19,13-Mar-17,190.83,191.68,190.62,191.56,852973
20,10-Mar-17,191.85,191.85,189.62,190.84,835755
21,9-Mar-17,190.53,191.33,189.83,190.34,843173
22,8-Mar-17,191.32,191.39,190.08,190.38,926557
23,7-Mar-17,190.9,192.2,190.43,191.47,926699
24,6-Mar-17,189.28,191.3,189.01,190.94,1126918
25,3-Mar-17,190.99,191.05,188.74,189.65,1502617
26,2-Mar-17,192.2,192.65,190.67,191.05,1064889
27,1-Mar-17,190.5,193.17,190.24,192.41,2088612
28,28-Feb-17,190.19,191.31,189.3,189.81,1874383
29,27-Feb-17,189.65,190.89,188.27,190.4,1605025
30,24-Feb-17,187.9,189.71,187.01,189.63,1147538
31,23-Feb-17,189.87,190.59,187.53,188.3,1157962
32,22-Feb-17,189.58,189.98,188.74,189.89,765703
33,21-Feb-17,189.02,189.94,188.6,189.59,1102773
34,17-Feb-17,188.6,189.1,187.4,189.06,1163416
35,16-Feb-17,188.05,188.76,186.43,188.74,1153610
36,15-Feb-17,186.76,188.3,186.24,187.99,998618
37,14-Feb-17,187.05,187.48,184.61,187.23,1391513
38,13-Feb-17,184.65,187.5,184.65,186.6,1272722
39,10-Feb-17,182.84,184.66,182.16,184.4,1414935
40,9-Feb-17,183.68,183.84,182.42,182.59,1310645
41,8-Feb-17,182.9,183.94,181.94,183.14,1249626
42,7-Feb-17,183.91,185.0,183.1,183.21,1532573
43,6-Feb-17,183.4,184.61,182.67,183.04,1106768
44,3-Feb-17,180.03,183.25,180.02,183.12,1544711
45,2-Feb-17,180.75,181.31,179.11,180.36,1130244
