,Date,Open,High,Low,Close,Volume
0,7-Apr-17,29.92,30.19,29.92,29.99,18975740
1,6-Apr-17,30.0,30.18,29.92,29.93,21549950
2,5-Apr-17,30.09,30.42,29.95,29.97,25837471
3,4-Apr-17,29.9,30.09,29.7,30.02,25057168
4,3-Apr-17,29.76,30.0,29.74,29.88,29912275
5,31-Mar-17,29.86,30.04,29.74,29.8,50796542
6,30-Mar-17,29.66,29.99,29.63,29.87,35961302
7,29-Mar-17,29.52,29.71,29.46,29.68,27558771
8,28-Mar-17,29.31,29.73,29.25,29.62,27847655
9,27-Mar-17,29.45,29.51,29.25,29.44,28986703
10,24-Mar-17,29.59,29.81,29.53,29.72,27880234
11,23-Mar-17,29.5,29.73,29.38,29.62,24674960
12,22-Mar-17,29.56,29.71,29.31,29.53,26000688
13,21-Mar-17,29.86,29.86,29.34,29.39,26834807
14,20-Mar-17,29.9,29.92,29.69,29.74,18877431
15,17-Mar-17,29.85,30.04,29.77,29.88,43638968
16,16-Mar-17,29.8,29.82,29.62,29.75,21207002
17,15-Mar-17,29.55,29.83,29.47,29.76,25142833
18,14-Mar-17,29.76,29.79,29.47,29.54,22801581
19,13-Mar-17,30.23,30.26,29.79,29.86,30187808
20,10-Mar-17,29.84,30.43,29.63,30.28,59211872
21,9-Mar-17,29.75,29.83,29.56,29.66,25940215
22,8-Mar-17,29.89,29.94,29.73,29.8,32308399
23,7-Mar-17,29.93,29.98,29.79,29.86,29982940
24,6-Mar-17,30.0,30.08,29.92,30.0,23420603
25,3-Mar-17,30.19,30.22,30.05,30.12,19994647
26,2-Mar-17,30.23,30.23,30.0,30.19,27640415
27,1-Mar-17,29.98,30.35,29.82,30.19,36882966
28,28-Feb-17,29.99,30.08,29.67,29.81,39111913
29,27-Feb-17,30.05,30.15,29.9,29.94,23571756
30,24-Feb-17,29.84,30.19,29.78,30.19,27323723
31,23-Feb-17,30.04,30.08,29.85,30.02,28947909
32,22-Feb-17,30.52,30.55,30.26,30.33,30124503
33,21-Feb-17,30.41,30.59,30.34,30.52,30241033
34,17-Feb-17,30.41,30.44,30.2,30.37,21849428
35,16-Feb-17,30.35,30.47,30.3,30.45,25932515
36,15-Feb-17,30.29,30.35,30.18,30.35,25472282
37,14-Feb-17,30.13,30.28,29.92,30.28,35028334
38,13-Feb-17,29.88,30.06,29.73,30.04,37020015
39,10-Feb-17,29.74,29.75,29.55,29.72,22787056
40,9-Feb-17,29.52,29.7,29.46,29.59,21665972
41,8-Feb-17,29.51,29.54,29.26,29.43,32181440
42,7-Feb-17,29.75,29.81,29.53,29.56,23778270
43,6-Feb-17,29.68,29.75,29.57,29.66,23725085
44,3-Feb-17,29.79,29.8,29.54,29.7,31104310
45,2-Feb-17,29.58,29.71,29.5,29.68,21709543
46,1-Feb-17,29.73,29.81,29.56,29.69,25682267
47,31-Jan-17,29.85,29.9,29.5,29.7,38703422
48,30-Jan-17,29.96,30.1,29.77,29.96,26211790
49,27-Jan-17,30.4,30.44,29.94,30.01,30005629
50,26-Jan-17,30.44,30.49,30.13,30.32,26767132
51,25-Jan-17,30.42,30.47,30.22,30.37,38131702
52,24-Jan-17,29.86,30.06,29.82,30.0,33686501
53,23-Jan-17,30.5,30.51,29.58,29.75,59093385
54,20-Jan-17,30.76,30.9,30.3,30.53,83552728
55,19-Jan-17,31.25,31.34,31.05,31.21,37697856
56,18-Jan-17,31.21,31.34,31.13,31.23,24701360
57,17-Jan-17,31.17,31.45,31.16,31.27,28827307
58,13-Jan-17,31.36,31.45,31.25,31.36,24323767
59,12-Jan-17,31.45,31.47,31.13,31.39,29916078
60,11-Jan-17,31.24,31.52,31.24,31.47,28385102
61,10-Jan-17,31.46,31.62,31.37,31.37,27202526
62,9-Jan-17,31.64,31.66,31.43,31.46,21262544
63,6-Jan-17,31.58,31.77,31.36,31.61,22120800
64,5-Jan-17,31.57,31.75,31.31,31.52,25856823
65,4-Jan-17,31.75,31.83,31.62,31.7,21442858
66,3-Jan-17,31.67,31.84,31.4,31.69,32149537
67,30-Dec-16,31.63,31.8,31.51,31.6,25455240
68,29-Dec-16,31.74,31.88,31.7,31.71,16092077
69,28-Dec-16,31.84,31.97,31.67,31.7,18885708
70,27-Dec-16,31.89,32.04,31.85,31.9,15655879
71,23-Dec-16,31.87,31.94,31.77,31.88,14988550
72,22-Dec-16,31.91,31.95,31.78,31.82,24193791
73,21-Dec-16,32.2,32.24,32.05,32.13,27964665
74,20-Dec-16,31.92,32.38,31.91,32.25,39818239
75,19-Dec-16,31.76,32.0,31.7,31.92,34951832
76,16-Dec-16,31.52,31.87,31.46,31.75,71976180
77,15-Dec-16,31.49,31.95,31.13,31.26,43377421
78,14-Dec-16,31.61,31.98,31.44,31.5,43675283
79,13-Dec-16,31.9,32.0,31.61,31.74,34500439
80,12-Dec-16,31.67,31.99,31.66,31.86,31040716
81,9-Dec-16,31.45,31.92,31.35,31.78,31227376
82,8-Dec-16,31.6,31.7,31.4,31.53,28145056
83,7-Dec-16,31.01,31.6,30.93,31.6,32896981
84,6-Dec-16,31.19,31.24,31.01,31.17,17573265
85,5-Dec-16,31.43,31.45,31.06,31.11,22138326
86,2-Dec-16,31.36,31.49,31.26,31.34,21401028
87,1-Dec-16,30.64,31.46,30.62,31.39,44701975
88,30-Nov-16,31.18,31.27,30.75,30.76,45636890
89,29-Nov-16,31.28,31.35,30.98,31.05,31423689
90,28-Nov-16,31.33,31.43,31.21,31.25,22092675
91,25-Nov-16,31.45,31.49,31.29,31.44,13162239
92,23-Nov-16,31.24,31.38,31.18,31.34,24624934
93,22-Nov-16,30.93,31.24,30.88,31.18,27721315
94,21-Nov-16,30.69,30.88,30.58,30.87,22136288
95,18-Nov-16,30.75,30.9,30.52,30.67,28583868
96,17-Nov-16,30.7,30.87,30.66,30.79,17834070
97,16-Nov-16,30.65,30.78,30.54,30.74,25265840
98,15-Nov-16,30.48,30.77,30.24,30.75,40185971
99,14-Nov-16,30.74,30.85,30.48,30.51,37740534
100,11-Nov-16,30.49,30.77,30.37,30.71,42712372
101,10-Nov-16,29.85,30.84,29.83,30.41,81324772
102,9-Nov-16,29.32,29.81,29.07,29.63,54046508
103,8-Nov-16,29.37,29.62,29.29,29.42,35829370
104,7-Nov-16,28.85,29.33,28.83,29.31,41254153
105,4-Nov-16,28.22,28.81,28.22,28.44,35864921
106,3-Nov-16,28.6,28.6,28.19,28.28,23000683
107,2-Nov-16,28.86,28.86,28.4,28.49,30873251
108,1-Nov-16,29.0,29.2,28.71,28.88,32010770
109,31-Oct-16,29.48,29.65,29.09,29.1,43563696
110,28-Oct-16,28.88,29.59,28.87,29.22,67870824
111,27-Oct-16,28.89,28.96,28.61,28.63,25432889
112,26-Oct-16,28.59,29.07,28.55,28.87,24357188
113,25-Oct-16,28.94,29.01,28.62,28.65,26480722
114,24-Oct-16,29.0,29.21,28.9,28.92,31139738
115,21-Oct-16,28.44,29.0,28.33,28.98,64153187
116,20-Oct-16,29.1,29.2,28.96,29.07,28433328
117,19-Oct-16,29.06,29.22,29.03,29.06,29187978
118,18-Oct-16,29.03,29.08,28.9,28.98,27562377
119,17-Oct-16,28.9,28.99,28.7,28.85,39732551
120,14-Oct-16,28.96,29.03,28.82,28.89,28181380
121,13-Oct-16,28.78,28.9,28.66,28.77,28392555
122,12-Oct-16,28.92,29.02,28.81,28.9,22754703
123,11-Oct-16,28.75,29.03,28.69,28.92,30942235
124,10-Oct-16,29.0,29.31,28.81,28.86,33981885
125,7-Oct-16,29.06,29.2,28.92,29.08,37840132
126,6-Oct-16,29.4,29.5,29.14,29.27,28087933
127,5-Oct-16,29.52,29.7,29.4,29.5,24936855
128,4-Oct-16,29.71,29.75,29.45,29.5,31127714
129,3-Oct-16,29.46,29.7,29.4,29.64,19794077
130,30-Sep-16,29.6,29.85,29.58,29.62,36120040
131,29-Sep-16,29.81,30.1,29.44,29.53,38873664
132,28-Sep-16,29.92,29.94,29.6,29.9,26750633
133,27-Sep-16,29.6,29.97,29.47,29.88,25491940
134,26-Sep-16,29.8,29.81,29.52,29.54,25905794
135,23-Sep-16,30.02,30.05,29.81,29.89,22821677
136,22-Sep-16,29.96,30.11,29.93,30.04,29379879
137,21-Sep-16,29.75,29.92,29.59,29.85,29031558
138,20-Sep-16,29.67,29.8,29.62,29.67,29646465
139,19-Sep-16,29.78,29.96,29.4,29.43,30501299
140,16-Sep-16,29.63,29.75,29.54,29.68,64934725
141,15-Sep-16,29.55,29.85,29.42,29.75,35262527
142,14-Sep-16,29.81,30.0,29.67,29.7,51077594
143,13-Sep-16,30.22,30.25,29.72,29.85,45066224
144,12-Sep-16,30.0,30.57,29.84,30.49,41407281
145,9-Sep-16,30.82,30.82,30.11,30.11,44619722
146,8-Sep-16,31.0,31.05,30.9,31.04,30256181
147,7-Sep-16,30.99,31.06,30.8,31.06,27266887
148,6-Sep-16,31.31,31.34,30.8,31.05,40955651
149,2-Sep-16,31.25,31.45,31.23,31.29,20224793
150,1-Sep-16,31.15,31.29,30.96,31.2,41255600
151,31-Aug-16,31.29,31.35,31.19,31.24,33416260
152,30-Aug-16,31.34,31.47,31.3,31.37,18137873
153,29-Aug-16,31.18,31.45,31.17,31.36,21248854
154,26-Aug-16,31.27,31.46,31.14,31.23,22265644
155,25-Aug-16,31.19,31.3,31.13,31.21,17027872
156,24-Aug-16,31.27,31.35,31.17,31.22,22045111
157,23-Aug-16,31.45,31.57,31.23,31.23,32116691
158,22-Aug-16,31.17,31.43,31.08,31.32,20460480
159,19-Aug-16,31.32,31.4,31.18,31.25,24742797
160,18-Aug-16,31.25,31.43,31.19,31.43,28041239
161,17-Aug-16,31.26,31.32,31.18,31.29,17598105
162,16-Aug-16,31.14,31.29,31.08,31.19,22383559
163,15-Aug-16,31.3,31.35,31.22,31.24,19553314
164,12-Aug-16,31.2,31.28,31.18,31.24,21327002
165,11-Aug-16,31.31,31.37,31.2,31.29,37986166
166,10-Aug-16,31.25,31.34,31.2,31.27,18538116
167,9-Aug-16,31.23,31.35,31.15,31.3,20108832
168,8-Aug-16,31.3,31.4,31.21,31.27,20434126
169,5-Aug-16,31.27,31.45,31.22,31.28,21577288
170,4-Aug-16,31.2,31.25,31.09,31.17,20293694
171,3-Aug-16,31.03,31.24,31.02,31.13,20006018
172,2-Aug-16,31.11,31.16,31.0,31.05,27000557
173,1-Aug-16,31.12,31.22,31.02,31.15,31154871
174,29-Jul-16,31.28,31.43,31.11,31.14,50052182
175,28-Jul-16,31.2,31.31,31.08,31.25,30297520
176,27-Jul-16,31.49,31.56,31.12,31.28,39256526
177,26-Jul-16,31.67,31.73,31.31,31.47,36903949
178,25-Jul-16,32.07,32.08,31.38,31.64,45728700
179,22-Jul-16,31.73,32.07,31.69,32.06,57763807
180,21-Jul-16,32.73,32.85,32.49,32.59,42869414
181,20-Jul-16,32.96,33.0,32.7,32.78,35557794
182,19-Jul-16,32.75,32.95,32.72,32.93,33557724
183,18-Jul-16,32.89,32.94,32.66,32.91,38265114
184,15-Jul-16,32.76,32.95,32.74,32.88,42308770
185,14-Jul-16,32.5,32.72,32.49,32.63,33877776
186,13-Jul-16,32.26,32.48,32.25,32.36,32464414
187,12-Jul-16,32.31,32.49,32.13,32.26,38090962
188,11-Jul-16,32.26,32.5,32.18,32.21,37979065
189,8-Jul-16,31.99,32.27,31.99,32.2,38531744
190,7-Jul-16,31.81,32.1,31.74,31.82,37517858
191,6-Jul-16,31.27,31.8,31.26,31.74,32105905
192,5-Jul-16,31.25,31.53,31.12,31.45,32360464
193,1-Jul-16,31.33,31.63,31.32,31.49,32700349
194,30-Jun-16,30.66,31.5,30.65,31.48,54514457
195,29-Jun-16,30.51,30.62,30.3,30.55,35868200
196,28-Jun-16,29.81,30.0,29.67,29.94,38208496
197,27-Jun-16,29.54,29.62,29.17,29.32,55173361
198,24-Jun-16,30.11,30.55,29.75,29.82,85669178
199,23-Jun-16,31.06,31.21,30.97,31.19,40228963
200,22-Jun-16,31.0,31.1,30.77,30.78,36011780
201,21-Jun-16,30.88,31.01,30.87,30.94,36034262
202,20-Jun-16,30.85,31.32,30.83,30.83,47891137
203,17-Jun-16,30.65,30.72,30.45,30.6,55635867
204,16-Jun-16,30.14,30.74,30.08,30.64,67618136
205,15-Jun-16,30.48,30.91,30.47,30.59,43765244
206,14-Jun-16,29.82,30.46,29.79,30.44,43700512
207,13-Jun-16,29.98,30.13,29.79,29.83,32959955
208,10-Jun-16,30.02,30.28,29.93,30.04,29429998
209,9-Jun-16,30.16,30.33,30.02,30.24,26527176
210,8-Jun-16,30.23,30.5,30.16,30.31,29141296
211,7-Jun-16,30.14,30.41,30.13,30.14,25650883
212,6-Jun-16,30.0,30.23,29.95,30.12,18662105
213,3-Jun-16,30.02,30.05,29.81,29.94,23802487
214,2-Jun-16,30.01,30.05,29.85,30.05,19031309
215,1-Jun-16,30.04,30.14,29.89,30.11,21126650
216,31-May-16,30.12,30.34,30.07,30.23,30296320
217,27-May-16,30.14,30.19,30.04,30.12,19478743
218,26-May-16,30.07,30.23,30.0,30.02,22642286
219,25-May-16,30.0,30.32,29.96,30.09,27644612
220,24-May-16,29.72,29.96,29.68,29.85,24142614
221,23-May-16,29.52,29.67,29.41,29.49,22098398
222,20-May-16,29.53,29.68,29.43,29.56,34241699
223,19-May-16,29.33,29.45,29.06,29.36,33794258
224,18-May-16,29.7,29.85,29.43,29.61,27507434
225,17-May-16,29.89,30.09,29.58,29.71,33130322
226,16-May-16,29.55,30.13,29.52,29.96,25678526
227,13-May-16,29.97,30.11,29.54,29.64,34639637
228,12-May-16,29.84,30.2,29.84,30.09,47258624
229,11-May-16,30.5,30.75,30.34,30.34,23307416
230,10-May-16,29.99,30.56,29.98,30.48,27112831
231,9-May-16,30.05,30.09,29.63,29.87,27149762
232,6-May-16,29.68,30.24,29.41,30.12,28295685
233,5-May-16,30.14,30.24,29.8,29.89,31690552
234,4-May-16,30.4,30.42,29.89,30.07,39550655
235,3-May-16,30.64,30.71,30.35,30.63,27589699
236,2-May-16,30.64,30.99,30.63,30.89,17137867
237,29-Apr-16,30.75,30.97,30.6,30.75,28874184
238,28-Apr-16,30.74,31.22,30.7,30.9,28808409
239,27-Apr-16,30.94,31.01,30.82,30.93,22810285
240,26-Apr-16,30.84,30.98,30.74,30.9,25216619
241,25-Apr-16,30.81,30.86,30.4,30.68,35447770
242,22-Apr-16,31.03,31.18,30.31,30.76,55791941
243,21-Apr-16,31.12,31.28,30.85,30.98,39482763
244,20-Apr-16,31.2,31.35,31.05,31.15,26535670
245,19-Apr-16,31.14,31.21,31.01,31.15,22634578
246,18-Apr-16,30.9,31.19,30.9,31.06,21072562
247,15-Apr-16,31.07,31.1,30.93,31.03,24379220
248,14-Apr-16,30.99,31.08,30.86,31.02,21473823
249,13-Apr-16,30.98,31.1,30.94,30.98,23317875
250,12-Apr-16,30.68,30.93,30.58,30.81,27394198
251,11-Apr-16,30.83,31.0,30.71,30.71,25060538
