,Date,Open,High,Low,Close,Volume
0,7-Apr-17,66.42,66.84,66.27,66.58,7618920
1,6-Apr-17,66.43,66.8,66.23,66.48,8716029
2,5-Apr-17,66.98,67.12,66.4,66.47,7113649
3,4-Apr-17,67.04,67.14,66.65,66.98,5895010
4,3-Apr-17,67.85,68.02,66.75,67.1,8446719
5,31-Mar-17,67.37,68.33,67.37,67.92,8876466
6,30-Mar-17,67.36,67.78,67.1,67.53,5198714
7,29-Mar-17,67.1,67.56,66.91,67.26,7224725
8,28-Mar-17,67.45,67.48,66.8,67.1,8509127
9,27-Mar-17,67.11,67.82,66.97,67.5,5455289
10,24-Mar-17,67.57,67.87,67.2,67.51,6037791
11,23-Mar-17,67.61,67.92,67.26,67.49,6174908
12,22-Mar-17,67.8,68.05,67.5,67.83,5402777
13,21-Mar-17,68.8,69.08,67.43,67.74,8691531
14,20-Mar-17,68.94,69.21,68.64,68.71,6287436
15,17-Mar-17,68.76,69.88,68.25,69.06,18240956
16,16-Mar-17,68.74,68.78,68.21,68.54,6854991
17,15-Mar-17,67.97,68.78,67.61,68.47,8312632
18,14-Mar-17,67.41,68.1,67.4,67.77,6109500
19,13-Mar-17,68.32,68.35,67.53,68.1,8493496
20,10-Mar-17,68.57,68.61,67.45,68.19,14480510
21,9-Mar-17,69.21,69.25,67.81,68.39,13597006
22,8-Mar-17,69.02,70.0,68.88,69.7,7379483
23,7-Mar-17,69.59,69.96,68.78,69.02,9044155
24,6-Mar-17,70.56,70.6,69.7,70.12,7335858
25,3-Mar-17,70.67,70.81,70.22,70.74,6626058
26,2-Mar-17,70.0,70.89,70.0,70.53,8672850
27,1-Mar-17,70.82,70.99,70.02,70.19,9629398
28,28-Feb-17,70.37,70.94,70.01,70.48,8828777
29,27-Feb-17,69.82,70.54,69.8,70.5,6354158
30,24-Feb-17,69.32,70.07,69.05,69.94,7382357
31,23-Feb-17,68.74,69.52,68.43,69.37,7529059
32,22-Feb-17,69.11,69.73,68.66,68.83,10073355
33,21-Feb-17,70.0,70.0,68.83,69.29,11190406
34,17-Feb-17,70.18,70.79,69.71,69.85,11186926
35,16-Feb-17,70.0,70.67,69.26,70.31,10965471
36,15-Feb-17,67.7,69.98,67.66,69.8,16656620
37,14-Feb-17,68.6,68.67,67.33,67.55,14972621
38,13-Feb-17,66.81,67.78,66.5,67.65,15885076
39,10-Feb-17,65.85,66.78,65.43,66.36,16208423
40,9-Feb-17,66.34,66.79,65.38,65.59,23070617
41,8-Feb-17,67.27,67.27,65.75,66.83,51547414
42,7-Feb-17,72.56,73.3,72.41,73.13,13325377
43,6-Feb-17,72.02,72.67,71.44,72.39,7634966
44,3-Feb-17,72.74,72.75,71.77,72.34,8034271
45,2-Feb-17,72.61,72.83,71.78,72.25,8814249
46,1-Feb-17,72.72,72.88,72.06,72.82,7441835
47,31-Jan-17,71.13,72.58,70.99,72.45,10365481
48,30-Jan-17,71.0,71.67,70.74,71.51,7242500
49,27-Jan-17,71.43,72.17,71.16,71.26,6939722
50,26-Jan-17,71.78,71.85,71.15,71.22,8580128
51,25-Jan-17,70.82,72.34,70.72,71.91,14026510
52,24-Jan-17,70.6,70.98,69.78,70.25,10912814
53,23-Jan-17,70.87,71.29,70.3,70.69,9657611
54,20-Jan-17,71.97,72.0,70.58,71.01,10270332
55,19-Jan-17,71.82,72.25,71.23,71.57,9810909
56,18-Jan-17,72.24,72.47,71.5,72.13,9910026
57,17-Jan-17,72.92,72.92,71.73,71.91,11706566
58,13-Jan-17,73.63,73.78,73.0,73.07,8269090
59,12-Jan-17,73.53,73.68,72.93,73.36,7057690
60,11-Jan-17,75.52,75.55,73.01,73.77,14165686
61,10-Jan-17,76.46,76.5,74.93,75.01,8869808
62,9-Jan-17,75.93,76.09,75.27,75.84,10165306
63,6-Jan-17,76.45,76.5,75.41,75.49,8979989
64,5-Jan-17,76.84,76.85,75.57,76.01,9413125
65,4-Jan-17,74.53,76.98,74.38,76.38,14914161
66,3-Jan-17,72.34,74.23,72.18,74.16,10953724
67,30-Dec-16,72.03,72.26,71.3,71.61,9220862
68,29-Dec-16,72.77,72.85,71.94,72.13,7533582
69,28-Dec-16,73.61,73.7,72.62,72.77,6387643
70,27-Dec-16,73.52,74.8,73.51,73.73,6632942
