,Date,Open,High,Low,Close,Volume
0,7-Apr-17,34.03,34.2,33.7,33.71,14548988
1,6-Apr-17,34.02,34.47,33.89,34.16,12171920
2,5-Apr-17,34.62,34.65,33.99,34.0,10664248
3,4-Apr-17,33.9,34.43,33.9,34.27,9500037
4,3-Apr-17,35.33,35.4,33.8,34.17,31894280
5,31-Mar-17,35.35,35.51,35.27,35.36,11772788
6,30-Mar-17,35.5,35.79,35.32,35.41,8760580
7,29-Mar-17,35.62,36.06,35.52,35.54,13884366
8,28-Mar-17,34.66,36.25,34.66,35.56,29829326
9,27-Mar-17,34.28,34.75,33.97,34.71,12941315
10,24-Mar-17,34.4,35.07,34.08,34.56,16256965
11,23-Mar-17,34.0,34.46,33.79,34.26,14536629
12,22-Mar-17,34.31,34.61,33.96,34.39,18940396
13,21-Mar-17,35.95,35.98,34.47,34.55,30898022
14,20-Mar-17,36.36,36.45,35.6,35.71,38504849
15,17-Mar-17,37.13,37.16,36.3,36.33,19603616
16,16-Mar-17,37.09,37.12,36.77,37.08,12598966
17,15-Mar-17,37.07,37.16,36.79,37.09,28089837
18,14-Mar-17,36.75,36.96,36.68,36.96,5924349
19,13-Mar-17,37.0,37.12,36.83,36.87,10120696
20,10-Mar-17,37.1,37.18,36.77,36.83,18653588
21,9-Mar-17,37.33,37.35,36.78,36.83,12703571
22,8-Mar-17,37.11,37.69,37.11,37.27,11377291
23,7-Mar-17,37.76,37.84,37.3,37.52,17247480
24,6-Mar-17,37.98,38.55,37.2,37.91,20199145
25,3-Mar-17,37.76,38.37,37.58,38.23,19515749
26,2-Mar-17,37.37,38.1,37.25,37.76,14935084
27,1-Mar-17,37.2,37.75,37.18,37.43,10702571
28,28-Feb-17,37.15,37.22,36.55,36.84,10497772
29,27-Feb-17,36.92,37.36,36.86,37.27,10091775
30,24-Feb-17,36.87,37.19,36.57,36.9,13060100
31,23-Feb-17,37.94,38.07,37.19,37.25,13179198
32,22-Feb-17,37.89,38.1,37.8,37.84,9102733
