,Date,Open,High,Low,Close,Volume
0,7-Apr-17,827.96,828.48,820.51,824.67,1057253
1,6-Apr-17,832.4,836.39,826.46,827.88,1254433
2,5-Apr-17,835.51,842.45,830.72,831.41,1555328
3,4-Apr-17,831.36,835.18,829.04,834.57,1045363
4,3-Apr-17,829.22,840.85,829.22,838.55,1671503
5,31-Mar-17,828.97,831.64,827.39,829.56,1401893
6,30-Mar-17,833.5,833.68,829.0,831.5,1055339
7,29-Mar-17,825.0,832.76,822.38,831.41,1786321
8,28-Mar-17,820.41,825.99,814.03,820.92,1620542
9,27-Mar-17,806.95,821.63,803.37,819.51,1894990
10,24-Mar-17,820.08,821.93,808.89,814.43,1981006
11,23-Mar-17,821.0,822.57,812.26,817.58,3487056
12,22-Mar-17,831.91,835.55,827.18,829.59,1401465
13,21-Mar-17,851.4,853.5,829.02,830.46,2463484
14,20-Mar-17,850.01,850.22,845.15,848.4,1231521
15,17-Mar-17,851.61,853.4,847.11,852.12,1716471
16,16-Mar-17,849.03,850.85,846.13,848.78,977560
17,15-Mar-17,847.59,848.63,840.77,847.2,1381474
18,14-Mar-17,843.64,847.24,840.8,845.62,780198
19,13-Mar-17,844.0,848.68,843.25,845.54,1223647
20,10-Mar-17,843.28,844.91,839.5,843.25,1704024
21,9-Mar-17,836.0,842.0,834.21,838.68,1261517
22,8-Mar-17,833.51,838.15,831.79,835.37,989773
23,7-Mar-17,827.4,833.41,826.52,831.91,1037630
24,6-Mar-17,826.95,828.88,822.4,827.78,1109037
25,3-Mar-17,830.56,831.36,825.75,829.08,896378
26,2-Mar-17,833.85,834.51,829.64,830.63,942476
27,1-Mar-17,828.85,836.26,827.26,835.24,1496540
28,28-Feb-17,825.61,828.54,820.2,823.21,2260769
29,27-Feb-17,824.55,830.5,824.0,829.28,1101466
30,24-Feb-17,827.73,829.0,824.2,828.64,1392202
31,23-Feb-17,830.12,832.46,822.88,831.33,1472771
32,22-Feb-17,828.66,833.25,828.64,830.76,987248
33,21-Feb-17,828.66,833.45,828.35,831.66,1262337
34,17-Feb-17,823.02,828.07,821.66,828.07,1611039
35,16-Feb-17,819.93,824.4,818.98,824.16,1287626
36,15-Feb-17,819.36,823.0,818.47,818.98,1313617
37,14-Feb-17,819.0,823.0,816.0,820.45,1054732
38,13-Feb-17,816.0,820.96,815.49,819.24,1213324
