,Date,Open,High,Low,Close,Volume
0,7-Apr-17,845.0,845.88,837.3,842.1,1111610
1,6-Apr-17,849.5,853.59,844.0,845.1,1533564
2,5-Apr-17,854.71,860.59,847.52,848.91,1855153
3,4-Apr-17,848.0,853.0,847.5,852.57,1348494
4,3-Apr-17,848.75,859.0,847.53,856.75,1969402
5,31-Mar-17,846.83,849.56,845.24,847.8,1440982
6,30-Mar-17,851.98,852.0,846.77,849.48,949398
7,29-Mar-17,842.75,851.58,841.38,849.87,1457347
8,28-Mar-17,839.69,845.4,832.26,840.63,1519202
9,27-Mar-17,828.09,841.38,824.3,838.51,1935211
10,24-Mar-17,842.0,844.0,829.1,835.14,2105682
11,23-Mar-17,841.39,841.69,833.0,839.65,3287669
12,22-Mar-17,849.48,855.35,847.0,849.8,1366749
13,21-Mar-17,870.06,873.47,847.69,850.14,2537978
14,20-Mar-17,869.48,870.34,864.66,867.91,1542199
15,17-Mar-17,873.68,874.42,868.37,872.37,1868252
16,16-Mar-17,870.53,872.71,867.52,870.0,1104452
17,15-Mar-17,867.94,869.88,861.3,868.39,1332885
18,14-Mar-17,863.75,867.58,860.13,865.91,1061692
19,13-Mar-17,860.83,867.13,860.82,864.58,1166605
20,10-Mar-17,862.7,864.23,857.61,861.4,1336585
21,9-Mar-17,853.69,860.71,852.67,857.84,1347697
22,8-Mar-17,853.12,856.93,851.25,853.64,1029834
23,7-Mar-17,847.26,853.33,845.52,851.15,1038696
24,6-Mar-17,846.86,848.94,841.17,847.27,1047872
25,3-Mar-17,848.94,850.82,844.7,849.08,1006612
26,2-Mar-17,856.31,856.49,848.72,849.85,1250938
27,1-Mar-17,851.38,858.0,849.02,856.75,1818671
28,28-Feb-17,847.35,848.83,841.44,844.93,1383119
29,27-Feb-17,844.95,850.67,843.01,849.67,1010333
30,24-Feb-17,847.65,848.36,842.96,847.81,1346189
31,23-Feb-17,851.08,852.62,842.5,851.0,1386681
32,22-Feb-17,848.0,853.79,846.71,851.36,1224889
33,21-Feb-17,847.99,852.2,846.55,849.27,1261062
34,17-Feb-17,841.31,846.94,839.78,846.55,1461210
35,16-Feb-17,838.5,842.69,837.26,842.17,1005084
36,15-Feb-17,838.81,841.77,836.22,837.32,1357185
37,14-Feb-17,839.77,842.0,835.83,840.03,1363345
38,13-Feb-17,837.7,841.74,836.25,838.96,1295708
39,10-Feb-17,832.95,837.15,830.51,834.85,1415128
40,9-Feb-17,831.73,831.98,826.5,830.06,1194238
41,8-Feb-17,830.53,834.25,825.11,829.88,1302225
42,7-Feb-17,825.5,831.92,823.29,829.23,1666605
43,6-Feb-17,820.92,822.39,814.29,821.62,1350875
44,3-Feb-17,823.13,826.13,819.35,820.13,1528095
45,2-Feb-17,815.0,824.56,812.05,818.26,1689179
46,1-Feb-17,824.0,824.0,812.25,815.24,2251047
47,31-Jan-17,819.5,823.07,813.4,820.19,2020180
48,30-Jan-17,837.06,837.23,821.03,823.83,3516933
49,27-Jan-17,859.0,867.0,841.9,845.03,3752497
50,26-Jan-17,859.05,861.0,850.52,856.98,3493251
51,25-Jan-17,853.55,858.79,849.74,858.45,1662148
52,24-Jan-17,846.98,851.52,842.28,849.53,1688375
53,23-Jan-17,831.61,845.54,828.7,844.43,2457377
54,20-Jan-17,829.09,829.24,824.6,828.17,1306183
55,19-Jan-17,829.0,833.0,823.96,824.37,1070454
56,18-Jan-17,829.8,829.81,824.08,829.02,1027698
57,17-Jan-17,830.0,830.18,823.2,827.46,1440905
58,13-Jan-17,831.0,834.65,829.52,830.94,1290182
59,12-Jan-17,828.38,830.38,821.01,829.53,1350308
60,11-Jan-17,826.62,829.9,821.47,829.86,1325394
61,10-Jan-17,827.07,829.41,823.14,826.01,1197442
62,9-Jan-17,826.37,830.43,821.62,827.18,1408924
63,6-Jan-17,814.99,828.96,811.5,825.21,2017097
64,5-Jan-17,807.5,813.74,805.92,813.02,1340535
65,4-Jan-17,809.89,813.43,804.11,807.77,1515339
66,3-Jan-17,800.62,811.44,796.89,808.01,1959033
67,30-Dec-16,803.21,803.28,789.62,792.45,1735879
68,29-Dec-16,802.33,805.75,798.14,802.88,1057392
69,28-Dec-16,813.33,813.33,802.44,804.57,1214756
70,27-Dec-16,808.68,816.0,805.8,809.93,975962
71,23-Dec-16,808.01,810.97,805.11,807.8,765537
72,22-Dec-16,809.1,811.07,806.03,809.68,1132119
73,21-Dec-16,815.72,815.72,805.1,812.2,1459628
74,20-Dec-16,813.37,816.49,811.0,815.2,1271883
75,19-Dec-16,809.28,816.22,804.5,812.5,1263581
76,16-Dec-16,818.31,819.2,808.12,809.84,2598866
77,15-Dec-16,817.36,823.0,812.0,815.65,1769719
78,14-Dec-16,815.92,824.26,812.78,817.89,1799654
79,13-Dec-16,812.39,824.3,811.94,815.34,2128210
80,12-Dec-16,804.82,811.35,804.53,807.9,1628602
81,9-Dec-16,799.3,809.95,798.05,809.45,1904463
82,8-Dec-16,792.95,799.0,787.9,795.17,1612531
83,7-Dec-16,779.95,792.0,773.53,791.47,2029415
84,6-Dec-16,780.19,785.28,773.32,776.18,1734099
85,5-Dec-16,770.0,780.0,766.97,778.22,1688473
86,2-Dec-16,761.9,770.5,759.0,764.46,1718846
87,1-Dec-16,778.55,778.6,753.36,764.33,2867074
88,30-Nov-16,789.1,791.51,773.14,775.88,2279054
89,29-Nov-16,788.38,796.44,785.34,789.44,1561981
90,28-Nov-16,778.35,799.74,778.1,785.79,2575432
91,25-Nov-16,782.61,782.9,778.19,780.23,613549
92,23-Nov-16,789.52,789.52,772.65,779.0,1312981
93,22-Nov-16,788.99,793.77,783.74,785.0,1394174
94,21-Nov-16,778.1,786.55,776.3,784.8,1630835
95,18-Nov-16,787.17,791.29,775.35,775.97,1806264
96,17-Nov-16,782.5,788.9,779.85,786.16,1533679
97,16-Nov-16,770.42,783.5,766.33,779.98,1798360
98,15-Nov-16,765.47,780.24,765.22,775.16,2943889
99,14-Nov-16,771.76,771.78,743.59,753.22,3688274
100,11-Nov-16,776.81,777.29,765.54,771.75,3592641
101,10-Nov-16,810.0,810.06,768.23,780.29,5909609
102,9-Nov-16,801.83,811.71,792.04,805.59,3098510
103,8-Nov-16,802.03,816.04,799.62,811.98,1769069
104,7-Nov-16,794.95,805.0,792.9,802.03,1992570
105,4-Nov-16,771.3,788.48,771.0,781.1,1970603
106,3-Nov-16,784.5,790.0,778.63,782.19,2175216
107,2-Nov-16,806.76,806.76,785.0,788.42,2350736
108,1-Nov-16,810.87,813.96,798.26,805.48,2355890
109,31-Oct-16,822.43,822.63,808.0,809.9,2242679
110,28-Oct-16,829.94,839.0,817.0,819.56,4354884
111,27-Oct-16,823.01,826.58,814.61,817.35,2973486
112,26-Oct-16,827.12,827.71,816.35,822.1,1794868
