,Date,Open,High,Low,Close,Volume
0,7-Apr-17,226.6,228.83,226.23,227.88,2853284
1,6-Apr-17,227.09,230.12,225.71,228.64,2927189
2,5-Apr-17,232.15,232.89,227.31,227.66,5286925
3,4-Apr-17,227.72,230.69,227.28,229.26,3042692
4,3-Apr-17,230.0,230.1,225.57,228.96,3735559
5,31-Mar-17,230.53,230.8,228.73,229.72,2858414
6,30-Mar-17,229.48,232.0,229.38,231.22,3156815
7,29-Mar-17,229.39,229.96,227.52,228.45,2635989
8,28-Mar-17,225.58,229.75,225.1,229.33,4471227
9,27-Mar-17,223.3,227.07,220.85,225.48,9194797
10,24-Mar-17,233.0,233.7,226.97,228.41,6387341
11,23-Mar-17,230.75,234.63,229.95,231.9,4770674
12,22-Mar-17,231.22,232.92,229.16,231.07,6291278
13,21-Mar-17,243.31,243.31,232.79,233.0,5660889
14,20-Mar-17,243.32,244.93,241.52,242.14,2759141
15,17-Mar-17,249.68,249.68,243.86,243.94,5438111
16,16-Mar-17,247.85,250.2,247.31,248.22,2940620
17,15-Mar-17,248.35,250.28,245.56,246.78,3427047
18,14-Mar-17,246.81,247.83,245.41,247.72,2144231
19,13-Mar-17,249.32,249.32,247.21,248.16,1801062
20,10-Mar-17,251.84,251.9,246.87,248.38,3365853
21,9-Mar-17,251.22,252.74,249.52,250.18,3061457
22,8-Mar-17,253.62,254.77,249.61,250.24,3584206
23,7-Mar-17,252.49,253.0,250.31,250.9,2497340
24,6-Mar-17,252.17,252.73,250.5,252.01,2467023
25,3-Mar-17,251.73,254.75,251.5,252.89,3169639
26,2-Mar-17,253.52,254.24,250.97,251.06,3020047
27,1-Mar-17,253.71,255.15,251.26,252.71,5218289
28,28-Feb-17,248.0,249.0,245.61,248.06,3627095
29,27-Feb-17,247.21,249.76,246.61,249.33,2373359
30,24-Feb-17,247.7,248.88,246.1,247.35,3565388
31,23-Feb-17,251.31,251.9,249.32,251.19,2594747
32,22-Feb-17,250.06,252.35,250.0,251.73,2378769
33,21-Feb-17,251.0,252.65,250.71,251.76,2794893
34,17-Feb-17,247.51,250.56,247.11,250.38,3262325
35,16-Feb-17,250.3,250.78,248.44,249.44,2286305
36,15-Feb-17,250.58,251.95,248.51,250.54,4296636
37,14-Feb-17,246.01,250.0,245.69,249.46,4141460
38,13-Feb-17,244.49,247.48,244.49,246.27,2998225
39,10-Feb-17,243.37,244.16,241.23,242.72,3072771
40,9-Feb-17,238.8,243.29,237.42,241.55,3550836
41,8-Feb-17,238.3,238.94,236.31,237.73,2744667
42,7-Feb-17,241.15,241.44,239.39,239.62,2660247
43,6-Feb-17,239.6,243.65,239.17,239.98,4639232
44,3-Feb-17,234.52,241.11,234.2,240.95,7381005
45,2-Feb-17,228.51,232.33,227.05,230.41,2775736
46,1-Feb-17,230.51,232.86,229.52,230.67,4024490
47,31-Jan-17,232.85,234.35,228.16,229.32,5156419
48,30-Jan-17,235.58,236.29,231.52,233.9,3803259
