,Date,Open,High,Low,Close,Volume
0,7-Apr-17,147.1,147.8,146.9,147.13,2869120
1,6-Apr-17,147.04,147.96,147.0,147.24,2699679
2,5-Apr-17,146.63,148.44,146.58,146.64,3390363
3,4-Apr-17,146.5,146.9,146.05,146.34,3124200
4,3-Apr-17,146.94,147.2,146.09,146.62,3775283
5,31-Mar-17,146.87,147.18,146.65,146.83,3248666
6,30-Mar-17,146.72,147.38,146.43,146.95,2450781
7,29-Mar-17,146.37,147.42,145.96,147.04,3729973
8,28-Mar-17,147.29,147.35,145.94,147.2,4635629
9,27-Mar-17,147.07,147.68,146.26,146.87,2943006
10,24-Mar-17,147.85,150.15,147.01,147.71,4735361
11,23-Mar-17,147.28,148.41,147.03,147.99,3219352
12,22-Mar-17,146.73,147.93,146.06,147.36,3169038
13,21-Mar-17,148.33,148.7,146.26,146.61,4530019
14,20-Mar-17,149.38,149.59,147.7,147.8,5906058
15,17-Mar-17,149.4,149.99,148.13,149.6,9001961
16,16-Mar-17,148.4,149.19,148.01,148.73,3544464
17,15-Mar-17,147.35,148.38,146.76,147.95,3670513
18,14-Mar-17,147.27,147.59,146.46,147.16,3272706
19,13-Mar-17,147.33,147.67,146.5,147.43,2933276
20,10-Mar-17,147.24,147.46,146.45,146.85,3123243
21,9-Mar-17,147.08,147.16,146.53,146.62,3594694
22,8-Mar-17,146.22,147.12,145.92,146.92,3614479
23,7-Mar-17,146.33,146.95,145.83,146.02,3996289
24,6-Mar-17,147.13,147.51,146.58,147.13,3998026
25,3-Mar-17,148.12,148.26,146.82,147.81,3413398
26,2-Mar-17,147.08,148.23,146.39,147.95,4053412
27,1-Mar-17,146.72,147.7,145.89,146.68,6213540
28,28-Feb-17,144.98,145.63,144.46,144.91,4211949
29,27-Feb-17,145.87,146.01,144.8,145.3,4388414
30,24-Feb-17,144.65,146.08,144.65,145.95,3516923
31,23-Feb-17,146.11,146.33,144.51,144.71,4184046
32,22-Feb-17,145.05,145.47,143.97,145.25,5037762
33,21-Feb-17,145.6,145.65,143.25,145.02,9275897
34,17-Feb-17,141.36,143.12,141.0,143.0,5108352
