,Date,Open,High,Low,Close,Volume
0,7-Apr-17,123.97,124.47,123.59,124.27,1863748
1,6-Apr-17,123.74,124.33,123.34,123.83,2076723
2,5-Apr-17,124.53,125.12,123.5,123.57,2585632
3,4-Apr-17,124.47,124.74,123.85,124.18,1769145
4,3-Apr-17,124.73,125.23,123.29,124.33,2905336
5,31-Mar-17,125.11,125.55,124.7,124.87,2668599
6,30-Mar-17,125.13,125.72,124.99,125.41,1781085
7,29-Mar-17,124.96,125.48,124.77,125.3,1541348
8,28-Mar-17,124.21,125.8,123.54,125.28,1973829
9,27-Mar-17,123.77,124.83,123.05,124.5,3328324
10,24-Mar-17,125.59,126.03,124.28,124.77,2222343
11,23-Mar-17,125.61,125.98,125.13,125.52,1770321
12,22-Mar-17,125.87,125.94,124.53,125.5,2101627
13,21-Mar-17,127.06,127.3,125.41,125.66,2364198
14,20-Mar-17,127.0,127.17,126.31,126.5,2030784
15,17-Mar-17,126.85,127.32,126.3,127.16,3839754
16,16-Mar-17,127.48,127.48,126.22,126.36,2742746
17,15-Mar-17,126.33,127.52,126.0,126.97,3601263
18,14-Mar-17,125.04,126.59,124.12,125.71,1978016
19,13-Mar-17,127.12,127.35,126.49,126.73,3118116
20,10-Mar-17,127.12,127.36,126.49,127.04,2686511
21,9-Mar-17,126.54,127.23,125.74,126.19,2479484
22,8-Mar-17,126.41,127.21,126.02,126.59,3120125
23,7-Mar-17,125.97,126.41,125.58,126.26,2052846
24,6-Mar-17,125.11,126.56,125.02,126.08,3023018
25,3-Mar-17,126.29,126.63,125.71,126.21,1953415
26,2-Mar-17,126.76,127.35,125.82,126.33,3015215
27,1-Mar-17,125.36,127.41,125.36,127.25,3969890
28,28-Feb-17,125.0,125.72,124.25,124.5,2902921
29,27-Feb-17,124.6,125.1,124.24,124.89,4086604
30,24-Feb-17,124.24,125.03,123.62,125.03,2524108
31,23-Feb-17,125.0,125.42,124.04,124.82,2992204
32,22-Feb-17,124.01,125.07,123.52,125.04,3201035
33,21-Feb-17,124.8,125.0,124.2,124.71,2369206
34,17-Feb-17,123.92,124.56,123.32,124.56,2718803
35,16-Feb-17,124.3,124.44,123.3,124.16,4309055
36,15-Feb-17,123.36,124.47,123.17,124.28,3220467
37,14-Feb-17,123.5,123.96,123.14,123.62,3111347
38,13-Feb-17,122.23,123.81,122.1,123.62,4425520
39,10-Feb-17,120.78,122.0,120.74,121.85,3590330
40,9-Feb-17,119.69,120.97,119.64,120.66,2184755
41,8-Feb-17,119.62,120.0,119.31,119.73,1824112
42,7-Feb-17,119.68,120.16,119.42,119.72,2548850
43,6-Feb-17,119.03,119.59,118.86,119.34,3006008
44,3-Feb-17,118.52,119.36,117.91,119.19,2860415
45,2-Feb-17,117.58,118.13,117.13,117.99,2213822
46,1-Feb-17,118.71,118.93,117.44,118.0,2399581
47,31-Jan-17,118.98,119.23,117.37,118.32,4243787
48,30-Jan-17,118.09,119.12,117.76,119.11,3159974
