,Date,Open,High,Low,Close,Volume
0,7-Apr-17,172.08,172.93,171.28,172.14,3588302
1,6-Apr-17,173.47,173.47,172.25,172.45,3435403
2,5-Apr-17,174.7,176.33,172.81,172.88,6238894
3,4-Apr-17,173.52,174.96,173.26,174.52,3108885
4,3-Apr-17,173.82,174.87,173.38,174.5,4286498
5,31-Mar-17,173.98,174.95,173.69,174.14,2913684
6,30-Mar-17,173.86,174.59,173.69,173.86,3168254
7,29-Mar-17,174.3,174.49,173.46,173.94,3085606
8,28-Mar-17,173.94,175.0,173.0,174.51,3523870
9,27-Mar-17,172.69,174.16,172.09,173.77,3259049
10,24-Mar-17,175.12,175.5,173.39,173.83,3221675
11,23-Mar-17,174.43,175.67,173.56,174.82,3739976
12,22-Mar-17,174.04,175.06,172.8,174.78,3450512
13,21-Mar-17,176.01,176.23,173.84,173.88,3927741
14,20-Mar-17,175.65,176.18,175.14,175.7,2476125
15,17-Mar-17,176.29,176.79,175.65,175.65,5920967
16,16-Mar-17,178.46,179.0,176.82,177.24,4311848
17,15-Mar-17,175.71,176.28,174.75,175.81,3815537
18,14-Mar-17,176.18,176.82,175.21,175.72,3147497
19,13-Mar-17,177.85,178.06,176.42,176.46,3482189
20,10-Mar-17,178.21,179.49,177.42,177.83,3100326
21,9-Mar-17,179.15,179.25,175.88,177.18,5444076
22,8-Mar-17,180.75,180.95,179.3,179.45,3557396
23,7-Mar-17,180.71,181.29,180.2,180.38,2980516
24,6-Mar-17,179.72,180.99,179.57,180.47,3204434
25,3-Mar-17,180.04,181.32,179.76,180.05,1825048
26,2-Mar-17,181.88,181.88,180.43,180.53,2918183
27,1-Mar-17,180.48,182.55,180.03,181.95,3005564
28,28-Feb-17,179.38,180.63,179.35,179.82,3273420
29,27-Feb-17,181.19,181.25,179.28,179.4,3691327
30,24-Feb-17,180.21,181.49,179.89,181.35,3300093
31,23-Feb-17,182.0,182.5,180.92,181.65,2282526
32,22-Feb-17,180.09,181.34,180.09,181.15,3020540
33,21-Feb-17,180.6,180.79,179.12,180.26,4480299
34,17-Feb-17,181.25,181.57,180.0,180.67,3552495
35,16-Feb-17,181.45,182.79,180.87,181.43,3251547
36,15-Feb-17,180.2,181.92,179.81,181.68,2914292
37,14-Feb-17,178.57,180.13,178.35,180.13,2776528
38,13-Feb-17,179.24,179.9,178.84,179.36,3093372
39,10-Feb-17,177.37,178.87,176.76,178.68,2930710
40,9-Feb-17,176.17,177.8,175.91,177.21,3090710
41,8-Feb-17,177.5,177.5,175.88,176.17,2913126
42,7-Feb-17,176.0,178.62,175.9,178.46,3873455
43,6-Feb-17,175.31,175.98,174.38,175.86,2650785
44,3-Feb-17,175.0,176.34,174.89,175.82,3309288
45,2-Feb-17,174.23,174.97,173.55,174.58,2620526
46,1-Feb-17,175.0,175.7,172.89,174.29,2795745
47,31-Jan-17,175.05,175.58,173.61,174.52,4138962
48,30-Jan-17,176.98,177.07,174.58,175.8,4094755
49,27-Jan-17,178.47,179.2,177.3,177.3,3482311
50,26-Jan-17,178.06,178.88,177.51,178.66,3063924
51,25-Jan-17,176.26,179.25,176.13,178.29,5922462
52,24-Jan-17,171.36,176.0,171.16,175.9,6952369
53,23-Jan-17,170.08,171.25,170.01,171.03,5478224
54,20-Jan-17,167.81,170.64,166.0,170.55,12690029
55,19-Jan-17,166.96,167.45,165.8,166.81,6963386
56,18-Jan-17,167.45,168.59,166.69,166.8,4007779
57,17-Jan-17,166.69,168.18,166.12,167.89,3315655
58,13-Jan-17,167.97,168.48,166.88,167.34,2875433
59,12-Jan-17,167.77,168.01,165.56,167.95,2927973
60,11-Jan-17,166.05,167.76,165.6,167.75,3599464
61,10-Jan-17,167.98,168.09,165.34,165.52,4118694
62,9-Jan-17,169.47,169.8,167.62,167.65,3189891
63,6-Jan-17,168.69,169.92,167.52,169.53,2945536
64,5-Jan-17,169.25,169.39,167.26,168.7,2682301
65,4-Jan-17,167.77,169.87,167.36,169.26,3381432
66,3-Jan-17,167.0,167.87,166.01,167.19,2934299
67,30-Dec-16,166.44,166.7,165.5,165.99,2952825
68,29-Dec-16,166.02,166.99,166.0,166.6,1663542
69,28-Dec-16,167.29,167.74,166.0,166.19,1757500
70,27-Dec-16,166.98,167.98,166.85,167.14,1397455
71,23-Dec-16,167.0,167.49,166.45,166.71,1701228
72,22-Dec-16,167.36,168.23,166.58,167.06,2802631
73,21-Dec-16,166.25,167.94,165.25,167.33,3575721
74,20-Dec-16,167.49,168.25,166.45,167.6,2174569
75,19-Dec-16,166.83,167.26,166.0,166.68,2955906
76,16-Dec-16,168.97,169.11,166.06,166.73,7120572
77,15-Dec-16,168.01,169.85,167.78,168.02,3388570
78,14-Dec-16,168.37,169.89,167.45,168.51,4124161
