,Date,Open,High,Low,Close,Volume
0,7-Apr-17,36.07,36.32,35.98,36.03,15689513
1,6-Apr-17,36.13,36.28,36.03,36.03,20198223
2,5-Apr-17,36.43,36.76,36.17,36.22,22455525
3,4-Apr-17,36.12,36.38,35.99,36.28,18918045
4,3-Apr-17,36.19,36.74,36.12,36.16,32013641
5,31-Mar-17,35.75,36.25,35.74,36.07,21438385
6,30-Mar-17,35.58,35.89,35.52,35.75,16432950
7,29-Mar-17,35.52,35.7,35.44,35.57,17202642
8,28-Mar-17,35.34,35.71,35.21,35.6,18398148
9,27-Mar-17,35.07,35.5,34.94,35.39,16992235
10,24-Mar-17,35.65,35.73,35.12,35.16,22187960
11,23-Mar-17,35.49,35.49,35.02,35.27,20640352
12,22-Mar-17,35.22,35.46,35.0,35.37,19144498
13,21-Mar-17,35.59,35.6,35.0,35.04,22814547
14,20-Mar-17,35.37,35.63,35.26,35.43,17322274
15,17-Mar-17,35.31,35.33,35.1,35.27,30778867
16,16-Mar-17,35.17,35.36,35.07,35.14,19616053
17,15-Mar-17,34.94,35.17,34.68,35.1,27996095
18,14-Mar-17,35.06,35.23,34.66,35.18,28586871
19,13-Mar-17,35.85,36.04,34.94,35.16,53582931
20,10-Mar-17,36.12,36.3,35.78,35.91,25402348
21,9-Mar-17,35.6,35.94,35.5,35.82,23616786
22,8-Mar-17,35.67,35.9,35.52,35.62,20920148
23,7-Mar-17,35.54,35.8,35.38,35.8,23434893
24,6-Mar-17,35.79,35.8,35.42,35.57,24416732
25,3-Mar-17,35.94,36.08,35.67,35.9,17540896
26,2-Mar-17,35.93,36.02,35.65,35.91,23602100
27,1-Mar-17,35.85,36.1,35.44,35.93,34085869
28,28-Feb-17,36.42,36.46,36.0,36.2,24977011
29,27-Feb-17,36.42,36.68,36.27,36.51,14065236
30,24-Feb-17,36.14,36.53,35.95,36.53,18617592
31,23-Feb-17,36.24,36.3,35.9,36.18,22774979
32,22-Feb-17,36.34,36.4,35.79,36.07,29904370
33,21-Feb-17,36.53,36.65,36.33,36.52,20556017
34,17-Feb-17,36.32,36.48,36.1,36.48,18909888
35,16-Feb-17,36.18,36.56,36.1,36.41,21317455
36,15-Feb-17,35.98,36.06,35.67,36.05,18452197
37,14-Feb-17,35.84,35.96,35.53,35.93,25734801
38,13-Feb-17,35.57,35.85,35.34,35.8,28180550
39,10-Feb-17,35.26,35.43,34.84,35.34,44106523
40,9-Feb-17,36.5,36.5,35.4,35.46,47802687
41,8-Feb-17,36.34,36.65,36.14,36.38,20807358
42,7-Feb-17,36.45,36.52,36.24,36.35,18581866
43,6-Feb-17,36.51,36.51,36.15,36.27,21426961
44,3-Feb-17,36.69,36.82,36.45,36.52,21038146
45,2-Feb-17,36.26,36.7,36.2,36.68,31916939
46,1-Feb-17,36.82,36.95,36.02,36.52,28380640
47,31-Jan-17,37.22,37.37,36.64,36.82,27059084
48,30-Jan-17,37.74,37.84,37.33,37.42,23954716
49,27-Jan-17,38.0,38.45,37.81,37.98,44368566
50,26-Jan-17,37.82,37.92,37.42,37.56,34144843
51,25-Jan-17,37.87,38.0,37.52,37.8,32357313
52,24-Jan-17,36.84,37.74,36.81,37.62,35140871
53,23-Jan-17,37.07,37.21,36.55,36.77,27752565
54,20-Jan-17,36.76,37.03,36.58,36.94,23950936
55,19-Jan-17,36.51,36.91,36.51,36.57,13654522
56,18-Jan-17,36.89,37.01,36.61,36.76,15382452
57,17-Jan-17,36.67,36.83,36.59,36.8,20195202
58,13-Jan-17,36.71,36.86,36.62,36.79,15072235
59,12-Jan-17,36.83,36.83,36.32,36.71,20391946
60,11-Jan-17,36.51,37.0,36.51,36.95,22398426
61,10-Jan-17,36.55,36.93,36.53,36.54,15918766
62,9-Jan-17,36.48,36.88,36.48,36.61,19461422
63,6-Jan-17,36.59,36.68,36.19,36.48,15113998
64,5-Jan-17,36.45,36.72,36.3,36.35,13986002
65,4-Jan-17,36.71,36.77,36.34,36.41,15915729
66,3-Jan-17,36.61,36.93,36.27,36.6,20196466
67,30-Dec-16,36.79,36.8,36.2,36.27,17467984
68,29-Dec-16,36.51,36.72,36.43,36.66,8447998
69,28-Dec-16,37.1,37.2,36.58,36.63,12868584
70,27-Dec-16,36.91,37.33,36.91,37.07,9033706
71,23-Dec-16,36.93,36.98,36.77,36.97,6287281
72,22-Dec-16,37.23,37.24,36.81,36.93,10793879
73,21-Dec-16,37.25,37.34,36.91,36.98,14323574
74,20-Dec-16,36.95,37.24,36.89,37.21,18551844
75,19-Dec-16,36.34,36.95,36.27,36.89,18744306
76,16-Dec-16,36.72,36.87,36.08,36.31,38212824
77,15-Dec-16,36.74,37.16,36.53,36.79,23721538
78,14-Dec-16,36.7,36.89,36.46,36.55,30819365
79,13-Dec-16,36.01,36.89,35.93,36.8,35773592
