,Date,Open,High,Low,Close,Volume
0,7-Apr-17,125.12,125.47,124.83,124.92,3615126
1,6-Apr-17,124.85,125.46,124.5,125.05,4324385
2,5-Apr-17,124.72,125.6,124.41,124.8,5646251
3,4-Apr-17,124.51,124.76,124.22,124.68,5358474
4,3-Apr-17,124.73,125.31,124.28,124.69,4956532
5,31-Mar-17,124.11,124.82,124.03,124.55,5657560
6,30-Mar-17,124.74,125.43,124.28,124.66,4711693
7,29-Mar-17,125.05,125.33,124.36,124.92,3971828
8,28-Mar-17,125.62,125.78,124.78,125.66,5287559
9,27-Mar-17,125.16,126.14,125.15,125.8,5004285
10,24-Mar-17,125.86,126.36,125.13,125.48,6490304
11,23-Mar-17,126.1,127.0,125.66,125.9,8508073
12,22-Mar-17,127.05,127.65,126.21,126.26,10272668
13,21-Mar-17,128.38,128.45,127.14,127.25,7578634
14,20-Mar-17,128.04,128.42,127.97,128.07,5827497
15,17-Mar-17,128.45,128.94,127.95,128.06,13300756
16,16-Mar-17,128.44,128.7,127.77,128.46,7610720
17,15-Mar-17,127.05,129.0,126.6,128.96,8360637
18,14-Mar-17,126.86,127.75,126.77,127.05,7679707
19,13-Mar-17,125.83,126.95,125.79,126.68,7162476
20,10-Mar-17,126.04,126.49,125.54,126.21,7395375
21,9-Mar-17,124.58,126.21,124.17,125.95,8571147
22,8-Mar-17,123.75,124.68,123.5,124.1,7909858
23,7-Mar-17,122.58,124.46,122.39,123.83,6643988
24,6-Mar-17,123.01,124.43,122.6,123.71,6670681
25,3-Mar-17,123.41,123.93,123.23,123.79,5593811
26,2-Mar-17,123.75,124.36,123.02,123.63,6950220
27,1-Mar-17,122.49,124.45,122.42,123.86,9393869
28,28-Feb-17,122.01,122.65,121.94,122.21,8885513
29,27-Feb-17,122.13,122.88,122.1,122.4,5946157
30,24-Feb-17,121.5,122.74,120.9,122.73,10834986
31,23-Feb-17,119.52,121.9,119.48,121.7,9980945
32,22-Feb-17,119.28,119.77,119.25,119.52,5103903
33,21-Feb-17,118.4,119.89,118.32,119.66,8595110
34,17-Feb-17,118.19,118.9,118.05,118.86,8691397
35,16-Feb-17,117.0,118.28,117.0,118.08,7119291
36,15-Feb-17,115.9,117.46,115.59,117.2,5979679
37,14-Feb-17,115.44,116.4,115.32,116.36,5539136
38,13-Feb-17,115.28,116.12,115.22,115.88,5710779
39,10-Feb-17,114.32,115.99,114.23,115.24,6438536
40,9-Feb-17,113.47,114.65,113.4,114.08,5854606
41,8-Feb-17,113.3,113.69,113.15,113.4,5271951
42,7-Feb-17,113.6,113.62,113.05,113.48,5507915
43,6-Feb-17,113.46,113.59,112.62,113.4,6178433
44,3-Feb-17,113.5,113.66,112.66,113.64,7267569
45,2-Feb-17,112.82,113.62,112.77,113.57,7826308
46,1-Feb-17,112.48,113.32,112.47,113.23,7082322
47,31-Jan-17,112.79,113.4,112.43,113.25,8713408
48,30-Jan-17,113.4,113.6,112.85,113.13,6969430
49,27-Jan-17,112.0,113.54,111.9,113.38,8886070
50,26-Jan-17,112.0,112.84,111.6,111.84,10164341
