,Date,Open,High,Low,Close,Volume
0,7-Apr-17,85.93,86.81,85.71,86.18,13097108
1,6-Apr-17,85.98,86.91,85.25,86.48,14379588
2,5-Apr-17,88.42,88.54,86.13,86.19,17635486
3,4-Apr-17,86.89,87.67,86.72,87.31,14280832
4,3-Apr-17,87.99,88.17,86.6,87.52,19831778
5,31-Mar-17,88.71,88.74,87.75,87.84,16987605
6,30-Mar-17,88.2,89.46,88.12,89.03,11630996
7,29-Mar-17,88.6,88.82,88.08,88.27,10207578
8,28-Mar-17,87.02,89.02,86.98,88.6,16264403
9,27-Mar-17,85.53,87.4,85.23,87.24,16689294
10,24-Mar-17,87.79,88.09,86.77,87.29,16093237
11,23-Mar-17,87.21,88.5,87.09,87.39,16090092
12,22-Mar-17,86.89,88.07,86.01,87.53,21741025
13,21-Mar-17,90.36,90.64,87.06,87.39,33089241
14,20-Mar-17,90.27,91.17,89.79,90.03,14623597
15,17-Mar-17,91.83,92.04,90.65,90.68,21734743
16,16-Mar-17,92.03,92.81,91.57,91.64,14492039
17,15-Mar-17,91.8,92.55,91.13,91.73,16601394
18,14-Mar-17,91.02,91.65,90.76,91.51,10237702
19,13-Mar-17,91.31,91.78,90.93,91.36,10004297
20,10-Mar-17,91.95,92.0,90.53,91.28,13729948
21,9-Mar-17,91.6,92.14,91.15,91.57,13726237
22,8-Mar-17,92.68,92.85,91.1,91.21,17378401
23,7-Mar-17,91.64,92.09,91.21,91.41,11156845
24,6-Mar-17,92.25,92.32,91.1,91.92,15059178
25,3-Mar-17,92.23,93.11,92.19,92.8,12861607
26,2-Mar-17,93.87,93.92,92.03,92.14,16862487
27,1-Mar-17,92.79,93.98,92.61,93.6,24451380
28,28-Feb-17,89.84,90.82,89.58,90.62,15183542
29,27-Feb-17,90.32,90.72,90.02,90.43,12360988
30,24-Feb-17,90.18,90.54,89.73,90.33,15062298
31,23-Feb-17,91.18,91.34,90.52,91.13,11066952
32,22-Feb-17,90.52,91.3,90.42,91.06,11838980
33,21-Feb-17,90.51,91.15,90.46,91.01,14068315
34,17-Feb-17,89.82,90.46,89.69,90.23,15776589
35,16-Feb-17,90.4,91.04,89.77,90.53,17672724
36,15-Feb-17,90.08,90.87,89.35,90.59,17381807
37,14-Feb-17,88.3,89.7,88.11,89.56,17932086
38,13-Feb-17,87.44,88.74,87.43,88.15,18739103
39,10-Feb-17,87.48,87.48,86.89,87.0,10992466
40,9-Feb-17,86.42,87.33,86.13,87.2,13749123
41,8-Feb-17,86.18,86.31,85.37,85.96,13970870
42,7-Feb-17,87.14,87.4,86.48,86.72,9392832
43,6-Feb-17,86.79,87.45,86.61,86.77,11828416
44,3-Feb-17,86.19,87.31,85.86,87.18,17885244
45,2-Feb-17,84.34,84.91,84.16,84.59,11081359
46,1-Feb-17,85.54,86.1,84.68,84.95,15430940
47,31-Jan-17,85.6,86.15,84.09,84.63,15655126
48,30-Jan-17,86.19,86.5,85.32,86.03,13661859
49,27-Jan-17,86.66,86.98,86.27,86.93,12535420
50,26-Jan-17,85.95,86.95,85.95,86.75,15962835
51,25-Jan-17,85.84,86.17,85.17,86.03,17550952
52,24-Jan-17,83.92,85.0,83.56,84.72,15175319
