,Date,Open,High,Low,Close,Volume
0,7-Apr-17,91.17,91.49,90.67,90.7,2000297
1,6-Apr-17,91.49,91.79,90.65,90.95,2096946
2,5-Apr-17,91.1,92.42,91.03,91.42,2694733
3,4-Apr-17,90.7,91.25,90.27,91.22,2193999
4,3-Apr-17,90.8,91.28,90.63,91.06,3414988
5,31-Mar-17,90.88,91.19,90.57,90.81,2205051
6,30-Mar-17,91.43,91.67,91.04,91.1,1143400
7,29-Mar-17,91.2,91.6,91.06,91.49,1462578
8,28-Mar-17,90.78,91.66,90.78,91.41,2223337
9,27-Mar-17,91.5,91.59,91.09,91.25,1699017
10,24-Mar-17,92.24,92.4,91.32,91.68,1703782
11,23-Mar-17,92.05,92.78,91.9,92.01,1833318
12,22-Mar-17,92.25,92.75,92.04,92.29,1540330
13,21-Mar-17,92.31,92.78,91.59,91.9,2373303
14,20-Mar-17,92.03,92.95,91.89,92.36,2062998
15,17-Mar-17,93.6,93.67,91.82,91.98,5655915
16,16-Mar-17,92.74,93.27,92.16,92.77,4139046
17,15-Mar-17,91.59,92.14,91.09,91.84,2076292
18,14-Mar-17,91.16,91.35,90.67,91.06,2097343
19,13-Mar-17,91.37,91.5,91.02,91.18,2182943
20,10-Mar-17,92.08,92.09,91.26,91.51,2277111
21,9-Mar-17,90.77,91.58,90.62,91.53,2108524
22,8-Mar-17,90.67,91.17,90.44,90.9,2034763
23,7-Mar-17,90.81,91.44,90.72,90.8,1490968
24,6-Mar-17,91.02,91.51,90.79,91.16,2044942
25,3-Mar-17,91.25,91.5,90.81,91.5,1653039
26,2-Mar-17,91.5,91.69,90.78,91.28,2552714
27,1-Mar-17,91.77,91.91,90.65,91.43,2858644
28,28-Feb-17,90.68,91.98,90.35,91.51,4267732
29,27-Feb-17,92.6,92.87,90.33,90.61,6085677
30,24-Feb-17,93.51,93.8,92.57,93.08,2670483
31,23-Feb-17,93.29,93.62,92.35,92.94,2901140
32,22-Feb-17,94.85,95.0,92.99,93.36,5000119
33,21-Feb-17,91.82,95.48,91.35,94.87,14423224
34,17-Feb-17,92.0,97.77,91.85,96.65,30007660
35,16-Feb-17,89.1,89.84,86.35,87.28,10584747
