,Date,Open,High,Low,Close,Volume
0,7-Apr-17,21.75,21.83,21.53,21.56,8390489
1,6-Apr-17,21.56,21.88,21.44,21.75,11314937
2,5-Apr-17,21.79,21.92,21.45,21.47,9573518
3,4-Apr-17,21.66,21.68,21.42,21.64,7458293
4,3-Apr-17,21.74,21.82,21.32,21.59,7552989
5,31-Mar-17,21.41,21.77,21.35,21.74,13907483
6,30-Mar-17,21.49,21.69,21.38,21.43,14187889
7,29-Mar-17,21.35,21.5,21.22,21.41,12615115
8,28-Mar-17,21.13,21.45,21.05,21.42,9820911
9,27-Mar-17,20.97,21.14,20.86,21.03,8337076
10,24-Mar-17,21.15,21.44,21.09,21.15,10210018
11,23-Mar-17,21.02,21.26,20.98,21.15,10778064
12,22-Mar-17,20.92,21.16,20.71,20.98,12288223
13,21-Mar-17,21.25,21.42,20.74,20.94,16276832
14,20-Mar-17,21.1,21.23,20.99,21.19,10023893
15,17-Mar-17,21.61,21.74,21.26,21.28,14405548
16,16-Mar-17,21.66,21.7,21.36,21.56,7700444
17,15-Mar-17,21.3,21.71,21.2,21.66,11011115
18,14-Mar-17,21.22,21.29,20.95,21.04,9545594
19,13-Mar-17,21.45,21.66,21.41,21.51,8594433
20,10-Mar-17,21.4,21.6,21.3,21.5,10855908
21,9-Mar-17,21.14,21.37,20.82,21.27,12122894
22,8-Mar-17,21.62,21.96,21.19,21.29,18117878
23,7-Mar-17,21.76,21.8,21.56,21.63,9535453
24,6-Mar-17,21.69,21.86,21.54,21.76,7829728
25,3-Mar-17,21.85,21.98,21.65,21.75,8533973
26,2-Mar-17,21.56,21.91,21.53,21.85,8926796
27,1-Mar-17,21.51,21.95,21.41,21.77,11848137
28,28-Feb-17,21.29,21.44,21.21,21.31,9969400
29,27-Feb-17,21.31,21.45,21.2,21.4,11047845
30,24-Feb-17,21.4,21.53,21.12,21.24,12515520
31,23-Feb-17,21.74,21.8,21.45,21.54,11906548
32,22-Feb-17,21.8,21.85,21.46,21.51,10998594
33,21-Feb-17,21.82,22.1,21.79,21.99,10145536
34,17-Feb-17,21.75,21.89,21.58,21.77,14646566
35,16-Feb-17,22.28,22.28,21.75,21.79,17715717
36,15-Feb-17,22.41,22.49,22.21,22.27,11872662
37,14-Feb-17,22.61,22.64,22.38,22.54,8569896
38,13-Feb-17,22.43,22.55,22.31,22.55,10190380
39,10-Feb-17,22.58,22.7,22.44,22.48,20023809
40,9-Feb-17,22.45,22.75,22.34,22.38,13105819
41,8-Feb-17,22.02,22.43,21.82,22.41,11419051
42,7-Feb-17,22.4,22.54,22.04,22.12,10529625
43,6-Feb-17,22.92,22.97,22.47,22.5,8540758
44,3-Feb-17,22.65,23.01,22.56,22.94,10785175
45,2-Feb-17,22.32,22.65,22.22,22.65,11032608
46,1-Feb-17,22.48,22.56,22.05,22.23,9352841
47,31-Jan-17,22.01,22.35,21.88,22.34,9147317
48,30-Jan-17,22.22,22.26,21.83,21.98,11029297
49,27-Jan-17,22.42,22.46,22.2,22.38,10606992
50,26-Jan-17,22.64,22.75,22.4,22.42,9862823
51,25-Jan-17,22.62,22.7,22.22,22.6,19065038
52,24-Jan-17,22.32,22.73,22.18,22.62,12002569
53,23-Jan-17,22.56,22.59,22.08,22.14,12711527
54,20-Jan-17,22.73,22.94,22.36,22.49,17148888
55,19-Jan-17,22.0,22.75,21.86,22.47,16315259
56,18-Jan-17,22.46,22.62,22.32,22.44,14458264
57,17-Jan-17,22.5,22.68,22.43,22.55,14012179
58,13-Jan-17,22.09,22.49,22.0,22.42,16135560
59,12-Jan-17,22.0,22.22,21.74,22.19,14238979
60,11-Jan-17,21.56,21.97,21.52,21.94,10211489
61,10-Jan-17,21.74,21.8,21.49,21.57,14680201
62,9-Jan-17,21.56,21.88,21.42,21.64,10413002
63,6-Jan-17,21.71,21.91,21.58,21.81,9319312
64,5-Jan-17,21.79,21.84,21.46,21.69,10612786
