,Date,Open,High,Low,Close,Volume
0,7-Apr-17,85.34,85.66,84.91,85.32,2808455
1,6-Apr-17,85.47,85.9,85.12,85.36,2684638
2,5-Apr-17,85.92,86.72,85.57,85.63,4056330
3,4-Apr-17,84.53,86.39,84.29,86.09,4624956
4,3-Apr-17,84.13,84.81,84.07,84.45,2429899
5,31-Mar-17,84.4,84.94,84.08,84.11,3151938
6,30-Mar-17,84.57,84.95,84.08,84.76,3204818
7,29-Mar-17,84.55,84.76,84.32,84.44,2066642
8,28-Mar-17,84.27,85.0,84.04,84.75,2754994
9,27-Mar-17,83.9,84.44,83.74,84.24,2340927
10,24-Mar-17,84.3,84.98,83.86,84.18,2479097
11,23-Mar-17,83.92,85.05,83.92,84.42,3021071
12,22-Mar-17,84.09,84.55,83.47,84.36,2850296
13,21-Mar-17,84.34,84.95,83.63,83.73,4066180
14,20-Mar-17,84.6,84.86,83.96,84.06,3121865
15,17-Mar-17,84.44,84.75,83.83,83.96,5786941
16,16-Mar-17,85.54,85.54,83.8,84.99,4742834
17,15-Mar-17,84.43,86.14,84.37,85.88,4883922
18,14-Mar-17,84.0,84.55,83.92,84.46,2839052
19,13-Mar-17,84.51,84.55,83.83,84.14,2248486
20,10-Mar-17,84.5,84.55,83.9,84.36,3629914
21,9-Mar-17,83.67,84.77,83.51,84.55,5861915
22,8-Mar-17,82.74,83.98,82.67,83.41,4491834
23,7-Mar-17,82.95,83.14,81.37,82.74,5570598
24,6-Mar-17,83.25,84.28,82.95,83.83,3960055
25,3-Mar-17,82.7,83.9,82.6,83.78,2649606
26,2-Mar-17,83.87,83.94,82.84,82.91,3371556
27,1-Mar-17,83.44,84.14,82.97,83.85,3420566
28,28-Feb-17,82.82,83.48,82.58,82.81,3672034
29,27-Feb-17,82.83,83.4,82.66,83.06,3104235
30,24-Feb-17,82.42,83.24,82.24,82.87,4016045
31,23-Feb-17,81.37,82.88,81.14,82.55,6193454
32,22-Feb-17,80.42,81.21,80.33,81.07,3468784
33,21-Feb-17,80.17,80.87,80.11,80.36,3178822
34,17-Feb-17,80.14,81.0,80.07,80.39,3111144
35,16-Feb-17,80.05,80.38,79.41,80.04,3630059
36,15-Feb-17,78.34,80.54,78.05,80.25,4272836
37,14-Feb-17,77.5,78.83,77.25,78.81,3311161
38,13-Feb-17,77.57,78.06,77.53,77.77,2097796
39,10-Feb-17,77.87,78.25,77.6,77.79,2598619
40,9-Feb-17,78.12,78.59,77.69,77.7,2962614
41,8-Feb-17,77.44,78.65,77.19,78.11,2821567
42,7-Feb-17,77.68,78.01,77.32,77.7,3346800
43,6-Feb-17,76.92,77.84,76.76,77.83,2835509
44,3-Feb-17,77.47,77.88,76.71,77.23,3836275
45,2-Feb-17,76.99,77.91,76.55,77.39,3830939
46,1-Feb-17,77.89,78.57,76.91,77.6,4959227
47,31-Jan-17,74.25,77.28,74.0,77.03,6964087
48,30-Jan-17,75.09,75.18,74.25,74.7,5909555
49,27-Jan-17,74.92,75.4,74.5,75.38,3132793
50,26-Jan-17,74.98,75.35,74.54,74.58,3748027
51,25-Jan-17,75.12,75.6,74.27,74.85,4830841
52,24-Jan-17,76.2,76.43,74.17,74.85,6594265
53,23-Jan-17,76.24,76.88,76.16,76.32,5055071
54,20-Jan-17,77.02,77.41,76.47,76.81,4371196
55,19-Jan-17,77.47,77.62,76.76,76.84,4439238
56,18-Jan-17,77.32,77.71,76.88,77.53,3360339
57,17-Jan-17,77.06,77.06,75.87,76.85,4913272
58,13-Jan-17,76.92,78.12,76.38,77.4,5602614
59,12-Jan-17,74.85,77.5,74.76,77.15,11901134
60,11-Jan-17,76.51,76.92,74.0,75.26,7701738
61,10-Jan-17,76.44,76.56,75.81,76.27,3559403
62,9-Jan-17,75.67,76.62,75.51,76.27,3204202
63,6-Jan-17,75.46,76.06,75.03,75.67,2296679
64,5-Jan-17,74.93,77.87,74.43,75.59,3310765
65,4-Jan-17,74.95,75.0,74.38,74.72,3021617
66,3-Jan-17,73.94,74.67,73.54,74.6,3623461
67,30-Dec-16,73.47,73.75,73.23,73.55,2934286
68,29-Dec-16,73.39,73.87,73.24,73.56,3031926
69,28-Dec-16,73.66,73.78,72.97,73.06,3256811
70,27-Dec-16,74.06,74.46,73.68,73.81,2786711
71,23-Dec-16,73.48,74.0,73.26,73.79,2570475
72,22-Dec-16,73.16,73.48,72.68,73.26,4827505
73,21-Dec-16,73.33,73.89,73.1,73.25,5054141
74,20-Dec-16,73.65,74.1,73.0,73.38,6001496
75,19-Dec-16,73.48,74.49,73.3,73.42,6102447
76,16-Dec-16,72.86,73.71,71.76,73.31,17584655
77,15-Dec-16,70.37,71.59,69.66,71.37,14321496
78,14-Dec-16,68.42,68.92,67.54,67.67,6140299
79,13-Dec-16,67.99,68.89,67.99,68.64,6010936
80,12-Dec-16,67.98,68.54,67.42,67.61,5273718
81,9-Dec-16,67.38,68.17,67.22,67.85,4350764
82,8-Dec-16,67.05,67.27,66.39,67.19,4811371
83,7-Dec-16,67.25,67.38,66.56,67.38,5835882
84,6-Dec-16,67.2,67.92,67.13,67.8,4617182
85,5-Dec-16,68.16,68.31,66.74,67.26,7285951
