,Date,Open,High,Low,Close,Volume
0,7-Apr-17,81.91,82.4,81.91,82.14,3243685
1,6-Apr-17,81.87,82.46,81.79,81.97,3471785
2,5-Apr-17,81.75,82.69,81.57,81.62,4083108
3,4-Apr-17,81.91,82.08,81.26,81.59,4994705
4,3-Apr-17,83.11,83.14,81.75,82.04,5423193
5,31-Mar-17,82.01,82.55,81.81,82.21,4556954
6,30-Mar-17,82.09,82.54,81.88,82.3,3741424
7,29-Mar-17,82.26,82.62,81.72,82.21,3968437
8,28-Mar-17,81.52,82.65,81.47,82.4,4351335
9,27-Mar-17,81.27,82.06,81.04,81.56,4498113
10,24-Mar-17,82.52,82.89,81.88,82.21,3456871
11,23-Mar-17,82.35,83.05,82.12,82.45,3408041
12,22-Mar-17,82.25,82.93,81.79,82.35,4569116
13,21-Mar-17,82.82,83.3,81.71,81.92,5110763
14,20-Mar-17,83.53,83.53,82.14,82.35,6068255
15,17-Mar-17,83.62,83.74,82.98,83.53,5706464
16,16-Mar-17,83.32,84.0,83.07,83.22,4847308
17,15-Mar-17,82.0,83.32,81.98,83.27,4786358
18,14-Mar-17,81.68,82.18,81.31,81.94,4383366
19,13-Mar-17,81.58,81.98,81.36,81.58,4303549
20,10-Mar-17,81.56,82.0,81.44,81.58,4091051
21,9-Mar-17,81.36,81.81,81.07,81.17,3806749
22,8-Mar-17,80.84,81.72,80.84,81.33,4869181
23,7-Mar-17,81.0,81.32,80.65,80.84,4718040
24,6-Mar-17,81.27,81.5,81.02,81.02,6611919
25,3-Mar-17,80.6,81.87,80.56,81.68,6555455
26,2-Mar-17,81.37,81.4,80.28,80.4,8424008
27,1-Mar-17,81.28,82.85,80.6,81.45,21443861
28,28-Feb-17,75.91,75.93,74.17,74.37,10698528
29,27-Feb-17,76.2,76.45,75.69,76.42,4006013
30,24-Feb-17,75.91,76.34,75.4,76.1,11147738
31,23-Feb-17,77.15,77.21,75.73,75.8,5663360
32,22-Feb-17,77.33,77.45,76.6,76.8,3711594
33,21-Feb-17,77.5,77.52,76.46,77.25,5294139
34,17-Feb-17,76.16,76.74,75.94,76.74,5446248
35,16-Feb-17,76.91,77.4,75.66,76.32,4686165
36,15-Feb-17,75.47,77.48,75.35,76.91,10410263
37,14-Feb-17,74.06,75.89,73.96,75.72,8107043
38,13-Feb-17,74.08,74.26,73.58,73.9,3007985
39,10-Feb-17,73.42,74.04,73.11,73.97,3661291
40,9-Feb-17,72.71,73.7,72.43,73.53,4040972
41,8-Feb-17,72.61,72.77,72.21,72.45,4029600
42,7-Feb-17,72.85,72.99,72.11,72.24,3749526
43,6-Feb-17,72.96,73.2,72.4,72.61,5166821
44,3-Feb-17,72.12,73.4,71.79,73.29,6311664
45,2-Feb-17,72.73,72.79,71.9,71.95,3538330
46,1-Feb-17,72.91,73.03,72.32,72.35,4006587
47,31-Jan-17,72.84,73.54,72.74,73.08,4537466
48,30-Jan-17,73.09,73.64,72.57,73.57,3856045
49,27-Jan-17,73.29,73.43,72.72,73.25,4183657
50,26-Jan-17,73.38,73.83,72.87,73.23,5268772
51,25-Jan-17,74.29,74.75,73.04,73.06,5372664
52,24-Jan-17,72.61,74.03,72.5,74.0,5736753
53,23-Jan-17,71.24,72.84,71.24,72.58,5361256
54,20-Jan-17,71.63,71.93,71.26,71.76,5613940
55,19-Jan-17,71.29,72.65,71.15,71.6,6274039
56,18-Jan-17,72.1,72.1,71.06,71.38,8788340
57,17-Jan-17,71.62,73.21,71.39,72.38,5468495
