,Date,Open,High,Low,Close,Volume
0,7-Apr-17,112.18,112.75,111.84,112.24,1995092
1,6-Apr-17,112.34,112.61,111.71,112.43,2238810
2,5-Apr-17,112.25,113.18,111.9,112.07,2486551
3,4-Apr-17,112.23,112.85,111.9,112.09,2169685
4,3-Apr-17,112.7,112.97,111.36,112.24,3170111
5,31-Mar-17,112.62,113.18,112.44,112.47,2507661
6,30-Mar-17,112.0,112.7,111.57,112.67,2030164
7,29-Mar-17,112.03,112.32,111.52,112.06,1783848
8,28-Mar-17,111.81,112.75,111.47,112.47,2986135
9,27-Mar-17,110.7,112.3,110.33,111.94,2724198
10,24-Mar-17,111.97,112.47,111.67,111.98,3221927
11,23-Mar-17,111.31,112.45,111.27,111.6,3107013
12,22-Mar-17,110.99,111.91,110.79,111.45,2576236
13,21-Mar-17,112.41,112.77,110.43,110.71,3733999
14,20-Mar-17,112.82,112.99,111.85,112.41,2435412
15,17-Mar-17,112.85,113.5,112.76,112.83,4119234
16,16-Mar-17,112.11,112.97,111.58,112.67,2746446
17,15-Mar-17,111.06,112.42,110.49,112.02,3305515
18,14-Mar-17,111.33,111.47,110.13,110.49,2891418
19,13-Mar-17,111.29,111.8,111.13,111.53,3122974
20,10-Mar-17,111.45,111.55,110.61,111.21,2735371
21,9-Mar-17,111.08,111.37,110.64,110.79,3195407
22,8-Mar-17,111.29,111.45,110.79,110.98,2355432
23,7-Mar-17,111.37,111.7,110.74,110.96,2474250
24,6-Mar-17,111.14,111.79,111.01,111.36,2175811
25,3-Mar-17,111.29,111.84,110.96,111.74,2938318
26,2-Mar-17,112.2,112.29,111.3,111.33,2691280
27,1-Mar-17,111.42,112.92,110.78,112.31,3218687
28,28-Feb-17,110.5,110.87,109.99,110.46,3367191
29,27-Feb-17,110.4,110.99,109.76,110.57,2361708
30,24-Feb-17,110.54,111.0,110.2,111.0,2471728
31,23-Feb-17,109.83,110.75,109.6,110.74,4162766
32,22-Feb-17,109.8,110.41,109.16,109.44,3049304
33,21-Feb-17,109.45,110.24,109.34,110.16,3117248
34,17-Feb-17,109.24,110.0,108.98,109.42,2851173
