,Date,Open,High,Low,Close,Volume
0,7-Apr-17,44.13,44.38,43.94,44.18,5818047
1,6-Apr-17,43.94,44.3,43.66,44.11,7271955
2,5-Apr-17,43.57,44.41,43.46,44.01,8553659
3,4-Apr-17,43.64,43.73,43.21,43.46,9833255
4,3-Apr-17,43.23,43.3,42.92,43.05,12837478
5,31-Mar-17,43.18,43.5,43.08,43.08,8233911
6,30-Mar-17,43.65,43.66,43.21,43.28,6918390
7,29-Mar-17,43.57,43.86,43.33,43.75,5171082
8,28-Mar-17,43.4,43.93,43.06,43.7,6172754
9,27-Mar-17,43.64,43.86,43.46,43.53,9414101
10,24-Mar-17,44.11,44.11,43.6,43.8,5982633
11,23-Mar-17,43.9,44.28,43.8,44.02,4556113
12,22-Mar-17,44.19,44.34,43.76,44.0,5623529
13,21-Mar-17,44.51,44.54,44.06,44.1,6383944
14,20-Mar-17,44.64,44.71,44.28,44.44,6801122
15,17-Mar-17,45.06,45.12,44.66,44.75,15066957
16,16-Mar-17,44.55,44.9,44.32,44.88,6882590
17,15-Mar-17,44.12,44.96,44.01,44.55,7940485
18,14-Mar-17,44.13,44.26,43.82,43.86,9841477
19,13-Mar-17,43.74,44.24,43.55,44.21,5812394
20,10-Mar-17,44.0,44.02,43.72,43.85,7144638
21,9-Mar-17,43.27,43.93,43.11,43.8,7432330
22,8-Mar-17,43.22,43.43,43.08,43.14,7231202
23,7-Mar-17,43.48,43.7,43.18,43.23,7798969
24,6-Mar-17,43.42,43.84,43.34,43.65,5435737
25,3-Mar-17,43.85,43.9,43.46,43.73,5773893
26,2-Mar-17,44.23,44.23,43.72,43.78,7333986
27,1-Mar-17,44.16,44.4,43.93,44.04,11534800
28,28-Feb-17,43.85,44.08,43.65,43.92,8218917
29,27-Feb-17,44.74,44.75,43.73,43.77,9277306
30,24-Feb-17,44.98,45.39,44.86,45.38,5972154
31,23-Feb-17,44.69,45.12,44.17,44.89,6280262
32,22-Feb-17,44.61,44.85,44.33,44.65,8174906
33,21-Feb-17,44.26,45.04,43.94,44.97,17097555
34,17-Feb-17,41.86,42.91,41.3,42.5,29197389
35,16-Feb-17,45.23,45.29,43.02,43.2,20664028
36,15-Feb-17,44.79,45.48,44.5,45.37,5831927
37,14-Feb-17,45.01,45.17,44.72,44.99,5641025
38,13-Feb-17,45.07,45.17,44.4,45.03,6873107
39,10-Feb-17,44.8,45.3,44.61,44.99,9971159
40,9-Feb-17,44.6,45.21,44.49,44.7,11048840
41,8-Feb-17,43.59,45.23,43.58,44.47,15334541
42,7-Feb-17,44.04,44.14,43.83,43.93,7063229
43,6-Feb-17,44.35,44.48,43.91,44.01,4567120
44,3-Feb-17,44.32,44.53,44.0,44.36,5238745
45,2-Feb-17,43.88,44.35,43.88,44.01,5258323
46,1-Feb-17,44.18,44.35,43.65,43.89,6027189
47,31-Jan-17,44.42,44.55,43.92,44.28,10229475
48,30-Jan-17,44.18,44.89,44.03,44.43,7350161
49,27-Jan-17,44.68,44.76,44.15,44.2,9441413
50,26-Jan-17,45.09,45.09,44.58,44.61,4829774
51,25-Jan-17,45.15,45.37,44.92,45.09,6791357
