,Date,Open,High,Low,Close,Volume
0,7-Apr-17,80.25,80.65,80.14,80.37,2515187
1,6-Apr-17,80.68,80.68,79.82,80.22,3930436
2,5-Apr-17,80.92,81.09,80.21,80.24,3620585
3,4-Apr-17,81.0,81.07,80.48,80.62,3097811
4,3-Apr-17,80.85,81.16,80.21,81.03,3250242
5,31-Mar-17,80.75,81.11,80.55,80.56,3789950
6,30-Mar-17,81.04,81.22,80.5,80.99,2421423
7,29-Mar-17,80.83,81.33,80.45,81.14,5686691
8,28-Mar-17,80.92,81.05,80.62,80.74,7442253
9,27-Mar-17,80.7,81.16,80.39,81.03,5272212
10,24-Mar-17,80.85,81.47,80.85,81.0,3010258
11,23-Mar-17,80.74,81.35,80.68,80.86,4194824
12,22-Mar-17,80.7,81.19,80.36,81.0,4419781
13,21-Mar-17,81.8,81.9,80.72,81.12,5343909
14,20-Mar-17,82.16,82.24,81.28,81.42,4423782
15,17-Mar-17,81.81,82.34,81.7,82.23,11360911
16,16-Mar-17,83.24,83.47,81.61,81.83,6347398
17,15-Mar-17,82.6,83.45,82.57,83.3,3267104
18,14-Mar-17,82.66,84.0,82.14,82.52,3591993
19,13-Mar-17,82.99,83.19,82.44,82.89,3134236
20,10-Mar-17,83.0,83.19,82.58,83.04,4034472
21,9-Mar-17,82.15,82.88,81.89,82.79,3478828
22,8-Mar-17,81.4,82.4,81.27,82.22,4018613
23,7-Mar-17,81.18,81.72,81.1,81.4,2594882
24,6-Mar-17,81.42,81.86,81.28,81.54,2681761
25,3-Mar-17,81.62,82.0,81.34,81.86,2775683
26,2-Mar-17,81.9,82.47,81.49,81.99,4069138
27,1-Mar-17,81.31,82.28,80.96,82.07,4995977
28,28-Feb-17,80.51,81.13,80.46,80.91,3749326
29,27-Feb-17,81.03,81.16,80.65,80.75,3589002
30,24-Feb-17,80.54,81.05,80.44,81.03,4489059
31,23-Feb-17,80.25,80.93,79.95,80.74,4552670
32,22-Feb-17,80.25,80.47,79.24,79.62,5507981
33,21-Feb-17,80.0,80.98,79.8,80.56,7313051
34,17-Feb-17,77.86,78.98,77.8,78.88,9954648
35,16-Feb-17,77.72,78.0,77.16,77.99,4152633
36,15-Feb-17,76.64,77.89,76.57,77.7,4244303
37,14-Feb-17,77.0,77.3,76.46,77.05,3781965
38,13-Feb-17,76.27,76.93,76.15,76.92,4081591
39,10-Feb-17,75.85,76.26,75.71,76.15,3427117
40,9-Feb-17,75.77,75.88,75.44,75.71,4367492
41,8-Feb-17,76.07,76.14,75.52,75.6,3668198
42,7-Feb-17,75.87,76.16,75.52,76.12,3898535
43,6-Feb-17,76.32,76.34,75.52,75.98,3817624
44,3-Feb-17,76.13,76.5,75.67,76.34,4985915
45,2-Feb-17,75.58,76.29,75.44,75.92,5357309
46,1-Feb-17,75.28,76.04,75.23,76.0,5618319
47,31-Jan-17,74.59,76.23,74.27,76.02,7828178
48,30-Jan-17,74.68,74.94,74.32,74.67,4372073
49,27-Jan-17,74.54,75.23,74.47,74.95,4903039
50,26-Jan-17,74.49,74.58,73.89,74.04,3699426
51,25-Jan-17,73.99,74.61,73.59,74.49,6171222
52,24-Jan-17,74.64,74.73,73.59,73.83,6430264
53,23-Jan-17,74.72,75.14,74.36,74.77,4523412
54,20-Jan-17,75.51,75.68,74.72,74.99,8898612
55,19-Jan-17,75.3,75.72,74.94,75.3,6753741
56,18-Jan-17,76.27,76.27,75.21,75.67,5833131
57,17-Jan-17,75.06,75.95,74.37,75.82,7084447
58,13-Jan-17,75.0,75.3,74.66,75.09,5455763
