,Date,Open,High,Low,Close,Volume
0,7-Apr-17,52.21,52.91,51.97,52.61,6548103
1,6-Apr-17,51.91,52.82,51.55,52.67,6307530
2,5-Apr-17,52.72,53.02,51.83,51.9,4891153
3,4-Apr-17,52.29,52.45,51.88,52.32,4983890
4,3-Apr-17,52.9,53.08,51.58,52.4,5253820
5,31-Mar-17,52.9,53.17,52.79,52.82,4519142
6,30-Mar-17,52.17,53.43,52.11,53.12,6826078
7,29-Mar-17,52.27,52.64,52.05,52.18,4899323
8,28-Mar-17,51.4,52.83,51.34,52.48,5252216
9,27-Mar-17,50.89,51.79,50.25,51.69,6254885
10,24-Mar-17,52.24,52.72,51.66,52.01,4987576
11,23-Mar-17,51.6,52.65,51.38,52.05,5034991
12,22-Mar-17,51.34,52.04,50.88,51.77,5288684
13,21-Mar-17,53.43,53.55,51.81,51.92,6332712
14,20-Mar-17,53.19,53.43,52.87,53.13,3934540
15,17-Mar-17,54.21,54.21,53.12,53.36,6909679
16,16-Mar-17,53.75,54.33,53.73,54.02,4891835
17,15-Mar-17,54.09,54.18,53.42,53.68,5908746
18,14-Mar-17,53.85,53.97,53.41,53.89,3865190
19,13-Mar-17,54.03,54.4,53.88,54.16,5358646
20,10-Mar-17,53.93,54.26,53.69,54.02,5302152
21,9-Mar-17,53.63,54.0,53.42,53.62,5026814
22,8-Mar-17,53.94,54.27,53.42,53.46,5312105
23,7-Mar-17,53.72,53.81,53.16,53.35,5285531
24,6-Mar-17,53.63,54.24,53.44,53.93,6571912
25,3-Mar-17,53.67,55.06,53.62,54.83,8365972
26,2-Mar-17,54.39,54.55,53.35,53.43,6564076
27,1-Mar-17,53.39,54.84,53.3,54.33,10909438
28,28-Feb-17,52.44,52.74,52.25,52.44,7491977
29,27-Feb-17,52.65,52.8,52.42,52.66,7325699
30,24-Feb-17,52.81,53.03,52.4,52.49,6718392
31,23-Feb-17,53.58,53.72,53.27,53.56,5594394
32,22-Feb-17,52.97,53.69,52.93,53.48,5460877
33,21-Feb-17,53.4,53.7,53.13,53.35,5717407
34,17-Feb-17,53.21,53.35,52.67,52.97,7975887
35,16-Feb-17,53.93,54.19,53.54,53.65,7509080
36,15-Feb-17,54.09,54.15,53.57,53.93,6785537
37,14-Feb-17,53.3,54.09,53.18,53.88,4936590
38,13-Feb-17,53.33,54.11,53.33,53.5,4940116
39,10-Feb-17,52.9,53.3,52.66,52.91,4998238
40,9-Feb-17,51.73,52.88,51.63,52.58,5909686
41,8-Feb-17,51.51,51.64,51.09,51.39,6310457
42,7-Feb-17,52.17,52.38,51.67,51.68,5642349
43,6-Feb-17,51.22,52.19,51.22,51.88,5885588
44,3-Feb-17,52.35,52.47,51.57,51.77,10456512
45,2-Feb-17,52.12,52.49,50.35,51.46,15661341
46,1-Feb-17,55.11,55.3,54.01,54.32,7882348
47,31-Jan-17,54.72,55.16,53.81,54.41,5144517
48,30-Jan-17,55.24,55.24,54.18,54.9,5317491
49,27-Jan-17,55.77,55.94,55.37,55.61,5007495
50,26-Jan-17,55.58,56.36,55.5,56.03,5066756
51,25-Jan-17,55.43,56.25,55.4,56.15,5548798
52,24-Jan-17,54.36,55.39,54.36,54.91,4201453
53,23-Jan-17,54.47,54.7,53.86,54.1,4556852
54,20-Jan-17,54.22,54.72,53.93,54.33,5586628
55,19-Jan-17,54.26,54.42,53.63,54.02,4851418
56,18-Jan-17,53.69,54.08,53.05,54.06,5236366
57,17-Jan-17,53.84,54.04,53.3,53.55,5371948
58,13-Jan-17,54.3,54.78,54.14,54.31,5213456
59,12-Jan-17,54.05,54.09,53.07,53.91,4926275
60,11-Jan-17,54.21,54.65,53.67,54.43,6244847
61,10-Jan-17,53.78,54.53,53.35,53.93,9190903
62,9-Jan-17,53.93,54.7,53.63,53.7,6954629
63,6-Jan-17,54.11,54.58,53.95,54.18,3966200
64,5-Jan-17,54.33,54.61,53.19,53.83,5832325
65,4-Jan-17,54.33,54.95,54.16,54.58,6839013
66,3-Jan-17,54.51,54.97,53.6,54.28,5612991
67,30-Dec-16,53.92,54.12,53.74,53.89,4188522
68,29-Dec-16,53.98,54.14,53.42,53.8,3811810
69,28-Dec-16,54.61,54.91,53.93,53.97,3128867
70,27-Dec-16,54.64,54.96,54.44,54.7,2763271
71,23-Dec-16,54.45,54.6,54.17,54.43,3055239
72,22-Dec-16,54.46,54.55,53.96,54.43,4519938
73,21-Dec-16,54.3,54.8,54.01,54.58,4086137
74,20-Dec-16,54.3,54.66,54.02,54.28,5055305
75,19-Dec-16,54.26,54.48,53.2,53.92,6900793
76,16-Dec-16,56.05,56.17,54.31,54.37,17504899
77,15-Dec-16,56.64,58.09,56.63,57.28,7581262
78,14-Dec-16,56.09,57.45,55.62,56.39,8550626
79,13-Dec-16,56.87,57.1,56.21,56.69,4682350
80,12-Dec-16,56.98,57.16,56.06,56.61,5408267
81,9-Dec-16,57.08,57.41,56.76,57.39,5053683
82,8-Dec-16,57.0,57.78,56.82,57.19,5862068
83,7-Dec-16,55.85,56.86,55.49,56.76,4977312
84,6-Dec-16,55.9,55.95,55.15,55.67,4631130
85,5-Dec-16,55.92,56.37,55.5,55.67,5117837
86,2-Dec-16,56.04,56.22,55.4,55.66,5367966
87,1-Dec-16,55.43,56.49,55.39,56.27,6404351
88,30-Nov-16,54.7,55.34,54.61,55.01,6891308
89,29-Nov-16,54.64,54.85,54.15,54.19,4458230
90,28-Nov-16,54.5,55.18,54.13,54.38,6605187
91,25-Nov-16,55.21,55.45,55.03,55.45,2307669
92,23-Nov-16,55.07,55.49,54.73,55.35,4978801
93,22-Nov-16,54.83,55.08,54.44,54.81,4964860
94,21-Nov-16,54.93,55.06,54.3,54.78,5593390
95,18-Nov-16,54.58,55.12,54.12,54.81,5920668
96,17-Nov-16,53.77,54.46,53.26,54.46,5597708
97,16-Nov-16,53.96,54.24,53.26,53.78,7108507
98,15-Nov-16,53.82,54.49,53.07,54.47,8127816
99,14-Nov-16,53.97,55.3,53.91,54.5,12749308
100,11-Nov-16,53.19,53.9,52.87,53.69,10845665
101,10-Nov-16,52.25,54.98,52.21,53.74,23697217
102,9-Nov-16,48.53,51.68,48.4,51.28,18344250
103,8-Nov-16,47.9,48.1,47.15,47.88,5572460
104,7-Nov-16,47.66,48.14,47.65,47.97,5802225
105,4-Nov-16,47.21,47.68,46.65,46.82,5999498
106,3-Nov-16,45.22,48.05,45.22,47.06,8477685
107,2-Nov-16,46.56,46.73,45.95,46.34,6964960
108,1-Nov-16,47.16,47.51,46.2,46.79,5415903
109,31-Oct-16,47.14,47.46,46.9,46.96,5598237
110,28-Oct-16,47.77,47.85,46.73,46.98,7515418
111,27-Oct-16,47.44,48.24,47.04,47.69,8509714
112,26-Oct-16,46.06,47.21,46.06,46.9,4799321
113,25-Oct-16,46.58,46.76,46.14,46.29,5118334
114,24-Oct-16,46.69,46.96,46.48,46.64,5721001
115,21-Oct-16,46.22,46.56,45.92,46.38,7635891
116,20-Oct-16,46.84,47.05,46.22,46.69,4227108
117,19-Oct-16,46.98,47.16,46.63,46.85,5998953
118,18-Oct-16,47.21,47.36,46.74,46.8,5929218
119,17-Oct-16,47.0,47.22,46.57,46.67,4721937
120,14-Oct-16,47.33,47.65,46.72,46.89,7848618
121,13-Oct-16,46.9,46.9,46.03,46.68,6326637
122,12-Oct-16,47.31,47.85,47.26,47.52,4181571
123,11-Oct-16,47.72,48.04,47.0,47.31,7242612
124,10-Oct-16,47.63,47.8,47.32,47.58,5256101
125,7-Oct-16,46.88,47.36,46.42,47.22,9248369
126,6-Oct-16,47.43,48.15,46.52,47.15,13761122
127,5-Oct-16,45.12,46.18,45.04,45.99,9419622
128,4-Oct-16,44.4,45.07,44.26,44.87,6230598
129,3-Oct-16,44.25,44.43,44.0,44.37,4790195
130,30-Sep-16,43.92,44.69,43.79,44.43,9717801
131,29-Sep-16,44.13,44.35,43.27,43.66,5753166
132,28-Sep-16,44.02,44.17,43.46,44.13,5922050
133,27-Sep-16,43.19,43.82,42.83,43.75,5914029
134,26-Sep-16,44.1,44.14,43.22,43.4,7162353
135,23-Sep-16,44.54,44.83,44.38,44.52,6542333
136,22-Sep-16,44.79,44.89,44.41,44.6,5799664
137,21-Sep-16,44.27,44.77,44.0,44.7,7355539
138,20-Sep-16,44.26,44.31,43.83,44.01,4814485
139,19-Sep-16,44.05,44.6,43.84,43.95,4214969
140,16-Sep-16,44.15,44.22,43.54,43.83,7347058
141,15-Sep-16,43.63,44.76,43.5,44.5,7654192
142,14-Sep-16,43.93,44.34,43.45,43.78,6883413
143,13-Sep-16,43.59,44.58,43.54,43.97,7850350
144,12-Sep-16,43.59,44.49,43.03,44.29,9952978
145,9-Sep-16,43.47,44.7,43.45,43.91,13764373
146,8-Sep-16,43.13,43.55,42.97,43.47,5134003
147,7-Sep-16,42.91,43.24,42.65,43.09,4320169
148,6-Sep-16,43.2,43.28,42.61,43.1,5258213
149,2-Sep-16,43.19,43.66,43.03,43.26,4711770
150,1-Sep-16,43.45,43.94,42.64,43.06,6620013
151,31-Aug-16,43.32,43.87,42.81,43.4,7573215
152,30-Aug-16,42.49,43.48,42.49,43.31,8586148
153,29-Aug-16,42.17,42.79,42.03,42.41,6383809
154,26-Aug-16,41.49,42.25,41.47,41.79,7953177
155,25-Aug-16,40.79,41.35,40.79,41.31,5565051
156,24-Aug-16,40.76,41.06,40.62,40.9,8208136
157,23-Aug-16,40.5,40.86,40.48,40.59,4765822
158,22-Aug-16,40.38,40.49,40.08,40.3,4522481
159,19-Aug-16,40.12,40.68,40.06,40.45,5796964
160,18-Aug-16,40.26,40.68,40.22,40.47,4446786
161,17-Aug-16,40.38,40.56,40.08,40.39,5187877
162,16-Aug-16,40.19,40.61,40.03,40.4,6691326
163,15-Aug-16,40.09,40.31,40.0,40.23,6326606
164,12-Aug-16,39.75,39.98,39.5,39.76,7715188
165,11-Aug-16,40.27,40.45,39.94,40.15,7735711
166,10-Aug-16,41.28,41.3,39.96,40.15,8621839
167,9-Aug-16,41.56,41.8,41.12,41.28,5726668
168,8-Aug-16,41.42,41.77,41.13,41.46,8414079
169,5-Aug-16,40.21,41.36,40.19,41.14,14322257
170,4-Aug-16,41.21,41.32,38.87,39.54,25464015
171,3-Aug-16,42.36,43.84,42.25,43.7,10128743
172,2-Aug-16,42.69,43.1,41.88,42.21,6099474
173,1-Aug-16,43.04,43.1,42.28,42.55,5609048
174,29-Jul-16,42.79,43.12,42.58,42.74,5538616
175,28-Jul-16,43.03,43.33,42.73,43.08,3764227
176,27-Jul-16,43.3,43.52,42.86,43.18,6259579
177,26-Jul-16,43.08,43.47,43.03,43.29,4030402
178,25-Jul-16,43.11,43.2,42.78,43.11,4039436
179,22-Jul-16,43.35,43.46,43.0,43.26,5676986
180,21-Jul-16,43.26,43.4,42.96,43.22,9623715
181,20-Jul-16,43.25,43.38,42.83,43.15,8320578
182,19-Jul-16,42.86,43.15,42.66,42.97,8936345
183,18-Jul-16,42.56,43.46,42.46,43.09,8389589
184,15-Jul-16,42.59,42.99,42.18,42.61,8400434
185,14-Jul-16,42.36,42.98,41.85,42.38,17183360
186,13-Jul-16,40.2,40.87,40.0,40.48,6214721
187,12-Jul-16,40.35,41.0,40.32,40.76,8654730
188,11-Jul-16,39.68,39.96,39.42,39.78,5795363
189,8-Jul-16,38.86,39.55,38.86,39.2,8550135
190,7-Jul-16,38.4,39.23,37.88,38.27,8384756
191,6-Jul-16,37.61,38.38,36.99,38.35,10967745
192,5-Jul-16,38.79,38.83,37.54,37.85,9687143
193,1-Jul-16,39.56,39.97,39.16,39.49,8173241
194,30-Jun-16,39.42,39.84,38.8,39.83,10107874
195,29-Jun-16,38.16,39.24,37.82,39.2,10820214
196,28-Jun-16,37.5,37.94,36.6,37.7,18676832
197,27-Jun-16,39.0,39.08,36.17,36.53,17573535
198,24-Jun-16,41.21,41.47,39.38,39.44,18505534
199,23-Jun-16,43.38,44.18,43.2,44.17,5636409
200,22-Jun-16,42.72,43.1,42.47,42.55,4304773
201,21-Jun-16,42.79,42.96,42.21,42.73,4877450
202,20-Jun-16,43.15,43.43,42.49,42.52,5224920
203,17-Jun-16,42.22,42.53,41.79,42.17,7408495
204,16-Jun-16,41.45,42.28,41.04,42.22,6669323
205,15-Jun-16,42.5,42.95,41.87,41.93,6867089
206,14-Jun-16,42.75,43.02,41.92,42.26,7164808
207,13-Jun-16,42.77,43.41,42.65,42.9,7650492
208,10-Jun-16,43.24,43.28,42.64,43.09,9253983
209,9-Jun-16,44.25,44.31,43.63,43.78,6005711
210,8-Jun-16,44.73,45.01,44.44,44.62,4744481
211,7-Jun-16,45.02,45.03,44.5,44.55,5867295
212,6-Jun-16,44.32,45.05,44.26,44.79,4336137
213,3-Jun-16,44.95,44.95,43.75,44.3,6599338
214,2-Jun-16,45.63,45.71,45.3,45.71,3743230
215,1-Jun-16,45.21,45.85,44.28,45.78,7242057
216,31-May-16,45.81,46.08,45.33,45.55,5796386
217,27-May-16,45.05,45.77,45.05,45.77,6243334
218,26-May-16,45.99,45.99,45.03,45.08,4810852
219,25-May-16,45.6,46.08,45.51,45.78,6112977
220,24-May-16,44.74,45.5,44.71,45.27,4742913
221,23-May-16,44.44,44.7,44.16,44.44,4875123
222,20-May-16,44.59,45.12,44.43,44.61,5396995
223,19-May-16,44.58,45.17,43.81,44.31,5502408
224,18-May-16,43.34,45.14,43.34,44.97,9604389
225,17-May-16,43.36,43.83,43.13,43.29,4509954
226,16-May-16,43.07,43.72,43.05,43.4,5144578
227,13-May-16,43.37,43.99,42.93,42.99,5147210
228,12-May-16,43.74,43.92,43.15,43.51,4518857
229,11-May-16,43.7,44.12,43.4,43.42,3987647
230,10-May-16,43.24,44.06,43.11,43.91,6148189
231,9-May-16,42.95,43.16,42.65,42.92,6650338
232,6-May-16,42.47,43.11,42.33,43.02,4955958
233,5-May-16,42.47,43.6,42.2,42.81,8424301
234,4-May-16,44.13,44.47,43.58,43.94,7047657
235,3-May-16,45.11,45.2,44.24,44.79,6005819
236,2-May-16,45.35,45.85,44.96,45.84,5069587
237,29-Apr-16,45.5,46.04,44.59,45.1,7757197
238,28-Apr-16,46.31,46.61,45.58,45.73,5945114
239,27-Apr-16,46.63,46.97,46.32,46.75,7478723
240,26-Apr-16,46.47,46.84,46.3,46.72,5343011
241,25-Apr-16,46.57,46.81,45.79,46.24,5032828
242,22-Apr-16,46.18,47.09,46.18,46.9,7099443
243,21-Apr-16,46.32,46.73,46.06,46.12,4799544
244,20-Apr-16,45.72,46.55,45.53,46.41,4691254
245,19-Apr-16,45.27,45.91,45.23,45.62,4659249
246,18-Apr-16,44.5,45.2,44.32,45.07,4597636
247,15-Apr-16,44.84,44.94,44.42,44.65,3991616
248,14-Apr-16,44.23,44.99,44.09,44.85,4954068
249,13-Apr-16,43.58,44.4,43.58,44.36,6106254
250,12-Apr-16,42.72,43.34,42.42,43.16,4328226
251,11-Apr-16,42.2,42.9,42.17,42.43,4700528
