,Date,Open,High,Low,Close,Volume
0,7-Apr-17,190.03,190.56,189.52,189.99,1025166
1,6-Apr-17,190.41,191.02,189.5,189.89,1627375
2,5-Apr-17,190.7,192.42,190.04,190.24,1448737
3,4-Apr-17,190.57,190.98,189.78,190.19,1349899
4,3-Apr-17,191.87,192.17,189.95,190.72,1546695
5,31-Mar-17,191.3,192.4,190.99,191.33,1730048
6,30-Mar-17,190.74,191.49,190.1,191.28,1835414
7,29-Mar-17,190.59,191.28,190.26,190.68,1692204
8,28-Mar-17,189.94,191.49,189.6,190.99,2330159
9,27-Mar-17,190.7,191.0,189.16,190.43,1984622
10,24-Mar-17,192.12,192.62,190.9,191.51,1435374
11,23-Mar-17,192.12,192.97,191.23,192.14,1481951
12,22-Mar-17,192.3,192.88,190.46,192.22,1627326
13,21-Mar-17,193.49,193.49,191.51,192.13,1895059
14,20-Mar-17,192.52,193.5,192.28,193.01,2085593
15,17-Mar-17,190.82,192.36,190.35,192.36,4228102
16,16-Mar-17,191.06,191.64,189.64,190.31,1937139
17,15-Mar-17,190.18,191.86,189.72,191.2,2046978
18,14-Mar-17,190.93,191.44,189.11,190.33,1893619
19,13-Mar-17,191.77,191.96,190.46,191.52,1972733
20,10-Mar-17,190.64,191.24,190.03,191.21,2514991
21,9-Mar-17,189.25,190.39,189.17,189.9,1556675
22,8-Mar-17,189.72,190.21,188.97,189.51,1565272
23,7-Mar-17,188.29,189.26,188.25,189.09,1662286
24,6-Mar-17,188.93,189.24,188.27,188.9,1668743
25,3-Mar-17,189.85,190.24,188.54,189.31,1627706
26,2-Mar-17,189.46,190.1,189.03,189.89,1763962
27,1-Mar-17,188.08,190.54,188.01,189.86,2226206
28,28-Feb-17,186.73,187.5,186.31,186.35,1932120
29,27-Feb-17,187.5,187.55,186.38,186.91,1393808
30,24-Feb-17,186.82,188.41,186.3,187.41,2126326
31,23-Feb-17,185.91,187.46,185.71,187.19,2401641
32,22-Feb-17,183.4,186.12,183.08,186.04,2850946
33,21-Feb-17,182.79,183.62,182.04,183.37,1736345
34,17-Feb-17,183.43,183.6,182.53,182.95,1961456
35,16-Feb-17,181.75,183.46,181.62,183.41,2164045
36,15-Feb-17,180.3,181.83,180.15,181.7,1762914
37,14-Feb-17,180.86,182.0,180.65,181.6,2036188
38,13-Feb-17,179.86,181.38,179.26,181.02,1929821
39,10-Feb-17,178.3,179.58,178.19,179.0,1392438
40,9-Feb-17,176.87,178.55,176.87,178.18,2009742
41,8-Feb-17,175.62,177.6,175.49,177.07,2145683
42,7-Feb-17,176.08,176.4,175.15,175.76,1247389
43,6-Feb-17,174.12,176.2,173.9,175.1,1622756
44,3-Feb-17,174.02,175.3,173.85,175.04,2820960
45,2-Feb-17,174.13,174.78,173.55,174.18,3106798
46,1-Feb-17,175.17,175.8,174.3,175.17,2272854
47,31-Jan-17,174.74,175.46,173.81,174.82,1845543
48,30-Jan-17,177.25,177.73,174.87,175.42,1823128
49,27-Jan-17,177.48,177.98,176.83,177.48,1623666
50,26-Jan-17,176.31,177.23,176.04,176.82,2235889
51,25-Jan-17,177.09,178.63,176.57,176.73,3462633
52,24-Jan-17,177.5,177.76,174.42,175.97,3473183
53,23-Jan-17,177.91,178.99,177.13,178.51,1986788
