,Date,Open,High,Low,Close,Volume
0,7-Apr-17,71.48,72.2,71.48,71.71,4331142
1,6-Apr-17,71.9,71.9,71.22,71.42,6398942
2,5-Apr-17,72.26,72.32,71.76,71.93,7092361
3,4-Apr-17,71.72,71.97,71.48,71.95,5218465
4,3-Apr-17,71.6,71.98,70.78,71.62,7508282
5,31-Mar-17,72.03,72.18,71.42,71.42,9145956
6,30-Mar-17,72.89,72.95,72.05,72.05,7907875
7,29-Mar-17,73.12,73.17,72.78,72.96,4211134
8,28-Mar-17,72.97,73.28,72.84,73.19,5587269
9,27-Mar-17,72.72,73.46,72.44,73.2,6421294
10,24-Mar-17,73.67,73.72,73.03,73.17,11785992
11,23-Mar-17,73.92,74.7,73.54,74.02,10714382
12,22-Mar-17,76.07,76.38,75.06,75.07,7679961
13,21-Mar-17,75.72,76.2,75.63,75.93,6487965
14,20-Mar-17,75.26,75.85,75.26,75.58,5793132
15,17-Mar-17,75.42,75.87,75.15,75.16,9946963
16,16-Mar-17,75.83,75.84,75.17,75.3,5706822
17,15-Mar-17,75.58,75.82,75.11,75.67,8470799
18,14-Mar-17,75.71,75.8,75.14,75.34,8255535
19,13-Mar-17,75.94,76.2,75.39,75.65,6836239
20,10-Mar-17,76.42,76.54,76.13,76.45,6877458
21,9-Mar-17,75.99,76.44,75.9,76.19,5344947
22,8-Mar-17,75.79,76.12,75.56,75.84,4863056
23,7-Mar-17,75.27,76.3,75.27,76.1,6108348
24,6-Mar-17,75.55,75.61,74.96,75.58,5762373
25,3-Mar-17,75.8,75.8,74.96,75.57,6044148
26,2-Mar-17,75.52,76.04,75.27,75.72,7491110
27,1-Mar-17,74.98,75.75,74.67,75.6,6044058
28,28-Feb-17,74.32,75.14,74.3,74.92,7160929
29,27-Feb-17,74.48,74.76,74.44,74.59,6319978
30,24-Feb-17,74.36,74.71,74.26,74.43,4959965
31,23-Feb-17,73.81,74.55,73.69,74.46,4116768
32,22-Feb-17,73.55,73.76,73.29,73.6,4401162
33,21-Feb-17,72.79,73.73,72.75,73.65,5329322
34,17-Feb-17,72.4,72.98,72.38,72.97,5568728
35,16-Feb-17,72.17,72.71,72.0,72.71,5593983
36,15-Feb-17,71.72,72.27,71.53,72.17,5222302
37,14-Feb-17,72.0,72.21,71.68,71.88,5120224
38,13-Feb-17,72.47,72.59,71.99,72.04,5175932
39,10-Feb-17,72.39,72.58,72.17,72.42,4154904
40,9-Feb-17,72.07,72.55,71.91,72.49,5183179
41,8-Feb-17,72.11,72.59,72.04,72.15,4848465
42,7-Feb-17,71.53,72.27,71.49,72.2,5239941
43,6-Feb-17,71.4,71.8,71.29,71.29,5192543
44,3-Feb-17,71.49,71.96,71.07,71.49,6817367
45,2-Feb-17,71.66,72.08,71.33,71.45,8108466
46,1-Feb-17,69.96,72.0,68.8,71.39,11416270
47,31-Jan-17,71.33,71.44,70.97,71.18,11463030
48,30-Jan-17,70.98,71.39,70.82,71.3,8574650
49,27-Jan-17,70.85,71.05,70.6,71.03,5915750
50,26-Jan-17,71.07,71.1,70.64,70.85,5969712
51,25-Jan-17,71.04,71.22,70.77,70.96,6112694
52,24-Jan-17,70.55,70.79,70.4,70.76,6510514
53,23-Jan-17,70.22,70.63,70.0,70.55,6508808
54,20-Jan-17,69.66,70.11,69.65,70.01,10188176
55,19-Jan-17,69.14,69.6,69.01,69.55,7853618
56,18-Jan-17,68.56,69.2,68.55,69.16,8063446
57,17-Jan-17,67.82,68.52,67.54,68.48,9012470
58,13-Jan-17,67.48,67.69,67.28,67.58,4073116
59,12-Jan-17,67.47,67.69,67.28,67.51,5006974
60,11-Jan-17,67.78,68.08,67.54,67.65,5618686
61,10-Jan-17,68.14,68.17,67.55,67.72,5226839
62,9-Jan-17,68.23,68.33,67.86,67.95,4815853
63,6-Jan-17,67.94,68.32,67.78,68.23,4925919
64,5-Jan-17,67.97,68.27,67.49,67.93,8173433
65,4-Jan-17,68.17,68.79,67.76,67.85,7552957
66,3-Jan-17,67.74,68.04,67.25,67.63,5799537
67,30-Dec-16,67.97,68.03,67.5,67.62,5369193
68,29-Dec-16,67.27,68.0,67.12,67.85,3662775
69,28-Dec-16,67.57,67.75,67.39,67.51,5333297
70,27-Dec-16,67.8,68.0,67.6,67.82,3346382
71,23-Dec-16,67.74,67.8,67.51,67.72,3226438
72,22-Dec-16,67.1,67.74,67.08,67.68,4858794
73,21-Dec-16,67.47,67.89,67.24,67.27,4643367
74,20-Dec-16,66.91,67.34,66.33,67.34,6976536
75,19-Dec-16,67.37,67.86,67.21,67.76,6987587
76,16-Dec-16,66.25,67.24,65.82,67.04,9694191
77,15-Dec-16,65.69,66.38,65.55,66.26,6465189
78,14-Dec-16,66.86,67.19,65.83,65.94,6359156
79,13-Dec-16,66.5,67.16,66.46,66.69,6968012
80,12-Dec-16,66.3,66.78,66.2,66.49,5590277
81,9-Dec-16,65.48,66.57,65.41,66.27,7464496
82,8-Dec-16,65.03,65.63,64.68,65.36,6694966
83,7-Dec-16,64.49,65.48,64.31,65.41,8147481
84,6-Dec-16,63.4,64.32,63.25,64.3,6749175
85,5-Dec-16,63.92,64.22,63.42,63.53,8448761
86,2-Dec-16,62.96,64.02,62.96,63.99,7634987
87,1-Dec-16,63.51,63.6,62.4,62.89,8675113
88,30-Nov-16,64.73,65.39,63.87,63.93,9381700
89,29-Nov-16,64.72,65.36,64.66,65.18,7004381
90,28-Nov-16,64.47,65.13,64.34,64.83,5887651
91,25-Nov-16,64.26,64.56,64.17,64.48,3459396
92,23-Nov-16,63.99,64.09,63.62,64.02,4800011
93,22-Nov-16,64.0,64.4,63.8,64.21,6731341
94,21-Nov-16,62.83,63.73,62.5,63.69,6933656
95,18-Nov-16,62.75,63.28,62.35,62.77,6904990
96,17-Nov-16,62.66,62.97,62.46,62.81,6536316
97,16-Nov-16,61.79,62.71,61.74,62.66,7641546
98,15-Nov-16,61.02,61.82,61.02,61.81,8604604
99,14-Nov-16,61.39,61.78,61.03,61.19,8980085
100,11-Nov-16,61.94,62.26,61.6,61.76,7437645
101,10-Nov-16,63.32,63.42,60.93,61.72,15240536
102,9-Nov-16,64.14,64.34,62.63,64.04,11233160
103,8-Nov-16,65.29,66.2,65.18,65.84,6377049
104,7-Nov-16,64.6,65.4,64.6,65.27,7389201
