,Date,Open,High,Low,Close,Volume
0,7-Apr-17,115.87,116.27,115.81,116.16,2595349
1,6-Apr-17,115.59,116.56,115.47,116.0,3188345
2,5-Apr-17,116.05,116.37,115.13,115.31,5465078
3,4-Apr-17,113.89,114.75,113.75,114.75,2413964
4,3-Apr-17,113.3,113.97,113.27,113.93,4874172
5,31-Mar-17,113.2,113.79,113.15,113.2,2302114
6,30-Mar-17,113.7,114.17,113.24,113.35,1620943
7,29-Mar-17,114.0,114.18,113.77,113.9,2101351
8,28-Mar-17,113.92,114.45,113.79,114.16,1761712
9,27-Mar-17,113.21,114.52,113.2,114.09,2367071
10,24-Mar-17,113.09,113.8,113.09,113.67,1602881
11,23-Mar-17,113.43,113.78,112.75,113.16,1932876
12,22-Mar-17,112.78,113.45,112.41,113.37,1364307
13,21-Mar-17,113.29,114.3,112.49,112.8,2537118
14,20-Mar-17,112.94,114.07,112.56,113.81,2172164
15,17-Mar-17,112.75,113.06,111.92,112.76,4992756
16,16-Mar-17,113.32,113.74,112.38,112.51,3102275
17,15-Mar-17,113.8,113.9,113.18,113.37,3021063
18,14-Mar-17,113.9,114.2,113.51,113.97,1740176
19,13-Mar-17,114.12,114.45,113.85,114.14,1330470
20,10-Mar-17,114.08,114.63,113.8,114.06,1289113
21,9-Mar-17,114.18,114.97,113.51,113.79,2265543
22,8-Mar-17,115.02,115.07,114.09,114.17,1777012
23,7-Mar-17,114.53,115.35,114.49,115.06,1573185
24,6-Mar-17,114.85,115.29,114.51,114.65,1140162
25,3-Mar-17,115.0,115.5,114.93,114.97,1851084
26,2-Mar-17,115.2,115.5,114.7,114.87,1478834
27,1-Mar-17,114.24,116.04,114.01,115.51,3857124
28,28-Feb-17,113.49,113.96,113.22,113.83,1944222
29,27-Feb-17,113.0,113.66,112.73,113.59,1831949
30,24-Feb-17,112.22,113.06,111.83,112.96,1894157
31,23-Feb-17,112.0,113.11,111.8,112.33,2567857
32,22-Feb-17,111.03,112.45,110.81,111.38,2500280
33,21-Feb-17,109.61,111.99,109.61,110.57,3818263
34,17-Feb-17,108.76,109.13,108.51,109.0,2225280
35,16-Feb-17,109.33,109.35,108.38,108.49,2365350
36,15-Feb-17,108.88,109.47,108.65,108.8,1864962
37,14-Feb-17,107.5,107.86,107.44,107.63,1386373
38,13-Feb-17,107.69,107.85,107.27,107.67,1371856
39,10-Feb-17,107.5,107.94,106.97,107.57,911166
40,9-Feb-17,107.58,108.26,107.4,107.53,1184242
41,8-Feb-17,107.65,108.1,106.98,107.34,1494490
42,7-Feb-17,108.29,108.44,107.44,107.57,1263619
43,6-Feb-17,108.67,108.75,107.88,108.31,1199435
44,3-Feb-17,109.0,109.37,108.6,108.87,1045549
45,2-Feb-17,108.49,109.15,107.91,108.97,1728507
46,1-Feb-17,108.28,109.33,108.2,108.46,1190221
47,31-Jan-17,108.08,108.84,107.9,108.31,1415859
48,30-Jan-17,109.0,109.76,108.09,108.57,1522143
49,27-Jan-17,109.73,110.17,108.51,109.4,1747255
50,26-Jan-17,110.5,110.92,109.75,109.8,1475183
51,25-Jan-17,109.07,111.06,108.86,110.84,3119611
52,24-Jan-17,108.75,109.38,108.03,108.84,1596936
53,23-Jan-17,108.22,108.57,107.42,108.44,1841931
54,20-Jan-17,108.37,108.61,108.03,108.58,2291236
55,19-Jan-17,108.01,108.43,107.95,108.12,1022913
56,18-Jan-17,108.47,108.55,107.89,108.1,1218409
57,17-Jan-17,107.8,108.7,107.66,108.17,2836249
58,13-Jan-17,107.31,107.9,107.05,107.62,1819448
59,12-Jan-17,108.45,108.5,106.74,107.33,2594237
60,11-Jan-17,108.58,108.84,107.7,108.45,1618033
61,10-Jan-17,108.5,108.95,108.24,108.44,1626804
62,9-Jan-17,108.0,109.05,107.4,108.95,2720377
63,6-Jan-17,105.56,108.13,105.56,108.13,4047421
64,5-Jan-17,105.7,106.13,104.91,105.21,2142144
65,4-Jan-17,105.23,105.32,104.83,105.05,1254124
66,3-Jan-17,105.45,105.75,104.77,105.31,1487684
67,30-Dec-16,105.5,105.5,104.89,105.21,1302680
68,29-Dec-16,105.19,105.59,105.1,105.1,743547
69,28-Dec-16,105.75,105.8,104.98,105.2,1039358
70,27-Dec-16,105.05,105.79,105.04,105.69,1029769
71,23-Dec-16,105.06,105.35,104.8,105.26,622610
72,22-Dec-16,105.32,105.74,104.94,105.33,1191468
73,21-Dec-16,105.45,105.74,105.03,105.21,1289260
74,20-Dec-16,105.79,105.79,105.23,105.49,1009780
75,19-Dec-16,105.5,106.15,105.22,105.58,1358182
76,16-Dec-16,105.23,105.6,104.98,105.5,3237637
77,15-Dec-16,104.1,105.6,104.08,105.38,2486999
78,14-Dec-16,104.75,105.19,104.1,104.32,2346456
79,13-Dec-16,105.68,105.68,104.45,104.52,2476402
80,12-Dec-16,104.5,105.34,104.43,104.59,1955764
81,9-Dec-16,104.91,105.32,104.34,104.59,2423728
82,8-Dec-16,105.64,105.84,104.42,104.7,2221668
83,7-Dec-16,105.72,105.79,105.01,105.41,2921850
84,6-Dec-16,104.66,105.99,104.49,105.8,2900702
85,5-Dec-16,104.19,105.38,104.05,104.27,2549106
86,2-Dec-16,103.08,103.98,103.08,103.91,1929023
