,Date,Open,High,Low,Close,Volume
0,7-Apr-17,63.28,63.33,62.94,63.13,7721053
1,6-Apr-17,63.48,63.97,63.19,63.24,7552664
2,5-Apr-17,63.69,64.15,63.51,63.57,7713310
3,4-Apr-17,63.59,63.76,63.37,63.67,6345621
4,3-Apr-17,63.43,63.71,63.22,63.47,6643587
5,31-Mar-17,63.26,63.63,63.25,63.54,7614025
6,30-Mar-17,63.5,63.68,63.32,63.45,5321972
7,29-Mar-17,63.67,64.1,63.46,63.64,8135333
8,28-Mar-17,63.2,63.4,62.88,63.34,10184989
9,27-Mar-17,62.92,63.41,62.81,63.19,8015894
10,24-Mar-17,63.16,63.53,62.86,63.18,9136531
11,23-Mar-17,63.36,63.82,63.19,63.28,9461008
12,22-Mar-17,63.98,64.11,63.25,63.5,9549029
13,21-Mar-17,64.32,64.6,63.62,63.91,10550684
14,20-Mar-17,64.14,64.3,64.0,64.11,12971169
15,17-Mar-17,64.25,64.7,63.89,63.9,14449174
16,16-Mar-17,64.57,64.79,63.99,64.18,9613228
17,15-Mar-17,64.4,64.97,64.22,64.7,9024954
18,14-Mar-17,64.13,64.51,64.05,64.2,7893626
19,13-Mar-17,65.24,65.29,64.01,64.15,14198551
20,10-Mar-17,66.07,66.2,65.5,65.6,8823905
21,9-Mar-17,65.97,66.03,65.52,65.89,7735152
22,8-Mar-17,65.96,66.12,65.27,65.8,8418318
23,7-Mar-17,65.43,66.31,65.19,65.96,8328744
24,6-Mar-17,66.08,66.78,65.9,66.47,8687456
25,3-Mar-17,65.86,66.62,65.81,66.58,8322960
26,2-Mar-17,66.38,66.58,66.0,66.08,8647730
27,1-Mar-17,66.07,66.8,65.89,66.21,10680729
28,28-Feb-17,65.81,66.15,65.65,65.87,7740472
29,27-Feb-17,65.78,65.94,65.56,65.85,7134489
30,24-Feb-17,65.65,66.16,65.63,66.16,8444253
31,23-Feb-17,65.52,66.11,65.34,65.85,6855571
32,22-Feb-17,65.5,65.75,65.09,65.29,8679633
