,Date,Open,High,Low,Close,Volume
0,7-Apr-17,41.62,42.25,41.42,41.95,9319573
1,6-Apr-17,41.63,42.37,41.43,42.09,9520900
2,5-Apr-17,43.01,43.1,41.61,41.74,12455149
3,4-Apr-17,42.54,42.84,42.35,42.51,7837106
4,3-Apr-17,42.81,42.99,42.08,42.71,12531806
5,31-Mar-17,43.25,43.25,42.66,42.84,11203334
6,30-Mar-17,42.85,43.71,42.8,43.43,11264835
7,29-Mar-17,43.09,43.25,42.54,42.8,14543860
8,28-Mar-17,41.58,42.76,41.57,42.49,12944939
9,27-Mar-17,40.66,41.72,40.06,41.58,21631062
10,24-Mar-17,42.78,43.0,42.15,42.46,10815346
11,23-Mar-17,41.98,42.98,41.78,42.59,14888825
12,22-Mar-17,42.16,42.75,41.64,42.21,19046586
13,21-Mar-17,44.77,44.93,42.42,42.66,20018395
14,20-Mar-17,44.74,44.96,44.33,44.59,9734236
15,17-Mar-17,46.26,46.36,44.93,45.02,13474517
16,16-Mar-17,46.17,46.59,46.02,46.33,9284106
17,15-Mar-17,46.26,46.63,45.68,45.85,10796050
18,14-Mar-17,46.26,46.26,45.73,46.19,6916173
19,13-Mar-17,46.68,46.74,46.23,46.26,7160442
20,10-Mar-17,47.04,47.09,46.21,46.49,8579366
21,9-Mar-17,46.6,47.12,46.54,46.68,11135441
22,8-Mar-17,46.97,47.33,46.34,46.39,11464727
23,7-Mar-17,46.65,46.79,46.21,46.33,9411016
24,6-Mar-17,46.53,46.64,45.98,46.57,9332616
25,3-Mar-17,46.27,47.06,46.22,46.83,11405159
26,2-Mar-17,47.08,47.09,46.04,46.28,8477019
27,1-Mar-17,46.95,47.17,46.61,46.81,14373722
28,28-Feb-17,45.6,45.83,45.13,45.67,13789408
29,27-Feb-17,45.52,46.02,45.46,45.84,7887039
30,24-Feb-17,45.89,45.95,45.24,45.53,11837243
31,23-Feb-17,46.58,46.59,46.2,46.58,11877616
32,22-Feb-17,46.21,46.82,46.14,46.52,7612788
33,21-Feb-17,46.27,46.7,46.27,46.56,7628447
34,17-Feb-17,45.55,46.17,45.4,46.15,8310108
35,16-Feb-17,46.42,46.5,45.8,46.11,10752458
36,15-Feb-17,46.38,46.75,46.0,46.49,10115099
37,14-Feb-17,45.19,46.26,45.1,46.04,12958706
38,13-Feb-17,45.0,45.6,44.94,45.26,13256300
39,10-Feb-17,45.13,45.15,44.34,44.7,8909448
40,9-Feb-17,44.35,45.03,43.89,44.85,13166699
41,8-Feb-17,44.58,44.59,43.62,43.91,10586468
42,7-Feb-17,44.88,45.03,44.62,44.87,10055682
43,6-Feb-17,44.26,45.03,44.14,44.63,12577130
44,3-Feb-17,43.1,44.6,42.92,44.43,16692151
45,2-Feb-17,42.19,42.51,41.83,42.13,11480959
46,1-Feb-17,43.3,43.4,42.55,42.7,9731327
47,31-Jan-17,43.08,43.37,42.32,42.49,10811008
48,30-Jan-17,43.24,43.29,42.47,43.12,7216178
49,27-Jan-17,43.75,43.95,43.56,43.65,7635587
50,26-Jan-17,43.94,44.42,43.75,44.02,10628851
51,25-Jan-17,43.2,43.9,42.96,43.86,13961040
52,24-Jan-17,42.08,43.13,42.03,42.73,12164231
53,23-Jan-17,42.2,42.58,41.78,41.96,12344651
54,20-Jan-17,42.48,42.86,42.35,42.59,10779621
55,19-Jan-17,42.57,43.0,41.95,42.45,15040127
56,18-Jan-17,42.29,43.15,41.98,42.86,15906928
57,17-Jan-17,43.78,43.84,41.77,42.15,21840380
58,13-Jan-17,44.02,44.6,43.5,43.81,12904520
59,12-Jan-17,43.6,43.71,42.84,43.63,8595607
60,11-Jan-17,43.13,43.67,42.78,43.67,8777107
61,10-Jan-17,42.98,43.52,42.75,43.06,9074252
62,9-Jan-17,43.49,43.54,42.68,42.71,11104032
63,6-Jan-17,43.56,44.13,43.18,43.85,9152750
64,5-Jan-17,43.53,43.63,42.19,43.22,9883202
65,4-Jan-17,43.3,43.82,43.04,43.62,7747375
66,3-Jan-17,43.09,43.63,42.45,43.05,8316914
67,30-Dec-16,42.17,42.55,41.88,42.25,6943549
68,29-Dec-16,42.65,42.77,41.73,42.15,7180187
69,28-Dec-16,43.25,43.29,42.57,42.62,4854540
