,Date,Open,High,Low,Close,Volume
0,7-Apr-17,65.85,65.96,65.44,65.68,14108533
1,6-Apr-17,65.6,66.06,65.48,65.73,18103453
2,5-Apr-17,66.3,66.35,65.44,65.56,21448594
3,4-Apr-17,65.39,65.81,65.28,65.73,12997449
4,3-Apr-17,65.81,65.94,65.19,65.55,20400871
5,31-Mar-17,65.65,66.19,65.45,65.86,21040331
6,30-Mar-17,65.42,65.98,65.36,65.71,15122823
7,29-Mar-17,65.12,65.5,64.95,65.47,13618424
8,28-Mar-17,64.96,65.47,64.65,65.29,20080358
9,27-Mar-17,64.63,65.22,64.35,65.1,18614662
10,24-Mar-17,65.36,65.45,64.76,64.98,22617105
11,23-Mar-17,64.94,65.24,64.76,64.87,19269203
12,22-Mar-17,64.12,65.14,64.12,65.03,20680015
13,21-Mar-17,65.19,65.5,64.13,64.21,26640480
14,20-Mar-17,64.91,65.18,64.72,64.93,14598083
15,17-Mar-17,64.91,65.24,64.68,64.87,49219686
16,16-Mar-17,64.75,64.76,64.3,64.64,20674296
17,15-Mar-17,64.55,64.92,64.25,64.75,24833810
18,14-Mar-17,64.53,64.55,64.15,64.41,14280202
19,13-Mar-17,65.01,65.2,64.57,64.71,20100035
20,10-Mar-17,65.11,65.26,64.75,64.93,19538245
21,9-Mar-17,65.19,65.2,64.48,64.73,19846832
22,8-Mar-17,64.26,65.08,64.25,64.99,21510907
23,7-Mar-17,64.19,64.78,64.19,64.4,18520987
24,6-Mar-17,63.97,64.56,63.81,64.27,18750255
25,3-Mar-17,63.99,64.28,63.62,64.25,18139405
26,2-Mar-17,64.69,64.75,63.88,64.01,24539597
27,1-Mar-17,64.13,64.99,64.02,64.94,26937459
28,28-Feb-17,64.08,64.2,63.76,63.98,23239825
29,27-Feb-17,64.54,64.54,64.04,64.23,15871507
30,24-Feb-17,64.53,64.8,64.14,64.62,21796800
31,23-Feb-17,64.42,64.73,64.2,64.62,20273128
32,22-Feb-17,64.33,64.39,64.05,64.36,19292651
33,21-Feb-17,64.61,64.95,64.45,64.49,20655869
34,17-Feb-17,64.47,64.69,64.3,64.62,21248818
35,16-Feb-17,64.74,65.24,64.44,64.52,20546345
36,15-Feb-17,64.5,64.57,64.16,64.53,17005157
37,14-Feb-17,64.41,64.72,64.02,64.57,23108426
38,13-Feb-17,64.24,64.86,64.13,64.72,22920101
39,10-Feb-17,64.25,64.3,63.98,64.0,18170729
40,9-Feb-17,63.52,64.44,63.32,64.06,22644443
41,8-Feb-17,63.57,63.81,63.22,63.34,18096358
42,7-Feb-17,63.74,63.78,63.23,63.43,20277226
43,6-Feb-17,63.5,63.65,63.14,63.64,19796360
44,3-Feb-17,63.5,63.7,63.07,63.68,30301759
45,2-Feb-17,63.25,63.41,62.75,63.17,45827013
46,1-Feb-17,64.36,64.62,63.47,63.58,39671528
47,31-Jan-17,64.86,65.15,64.26,64.65,25270549
48,30-Jan-17,65.69,65.79,64.8,65.13,31651445
49,27-Jan-17,65.39,65.91,64.89,65.78,44817972
50,26-Jan-17,64.12,64.54,63.55,64.27,43554645
51,25-Jan-17,63.95,64.1,63.45,63.68,24654933
52,24-Jan-17,63.2,63.74,62.94,63.52,24672940
53,23-Jan-17,62.7,63.12,62.57,62.96,23097581
54,20-Jan-17,62.67,62.82,62.37,62.74,30213462
55,19-Jan-17,62.24,62.98,62.2,62.3,18451655
56,18-Jan-17,62.67,62.7,62.12,62.5,19670102
57,17-Jan-17,62.68,62.7,62.03,62.53,20663983
58,13-Jan-17,62.62,62.86,62.35,62.7,19422310
59,12-Jan-17,63.06,63.4,61.95,62.61,20968223
60,11-Jan-17,62.61,63.23,62.43,63.19,21517335
61,10-Jan-17,62.73,63.07,62.28,62.62,18593004
62,9-Jan-17,62.76,63.08,62.54,62.64,20382730
63,6-Jan-17,62.3,63.15,62.04,62.84,19922919
64,5-Jan-17,62.19,62.66,62.03,62.3,24875968
65,4-Jan-17,62.48,62.75,62.12,62.3,21339969
66,3-Jan-17,62.79,62.84,62.12,62.58,20694101
67,30-Dec-16,62.96,62.99,62.03,62.14,25579908
68,29-Dec-16,62.86,63.2,62.73,62.9,10250582
69,28-Dec-16,63.4,63.4,62.83,62.99,14653348
70,27-Dec-16,63.21,64.07,63.21,63.28,11763173
71,23-Dec-16,63.45,63.54,62.8,63.24,12403819
72,22-Dec-16,63.84,64.1,63.4,63.55,22176585
73,21-Dec-16,63.43,63.7,63.12,63.54,17096304
74,20-Dec-16,63.69,63.8,63.02,63.54,26028379
75,19-Dec-16,62.56,63.77,62.42,63.62,34338219
76,16-Dec-16,62.95,62.95,62.12,62.3,42453083
77,15-Dec-16,62.7,63.15,62.3,62.58,27669868
78,14-Dec-16,63.0,63.45,62.53,62.68,30352654
79,13-Dec-16,62.5,63.42,62.24,62.98,35718868
80,12-Dec-16,61.82,62.3,61.72,62.17,20198081
81,9-Dec-16,61.18,61.99,61.12,61.97,27349356
82,8-Dec-16,61.3,61.58,60.84,61.01,21220753
83,7-Dec-16,60.01,61.38,59.8,61.37,30808969
84,6-Dec-16,60.43,60.46,59.8,59.95,19907035
85,5-Dec-16,59.7,60.58,59.56,60.22,23552658
86,2-Dec-16,59.08,59.47,58.8,59.25,25515665
87,1-Dec-16,60.11,60.15,58.94,59.2,34542121
88,30-Nov-16,60.86,61.18,60.22,60.26,34655435
89,29-Nov-16,60.65,61.41,60.52,61.09,22366721
90,28-Nov-16,60.34,61.02,60.21,60.61,20732619
91,25-Nov-16,60.3,60.53,60.13,60.53,8409616
92,23-Nov-16,61.01,61.1,60.25,60.4,21848913
93,22-Nov-16,60.98,61.26,60.8,61.12,23206700
94,21-Nov-16,60.5,60.97,60.42,60.86,19652595
95,18-Nov-16,60.78,61.14,60.3,60.35,27686311
96,17-Nov-16,60.41,60.95,59.96,60.64,31463728
97,16-Nov-16,58.94,59.66,58.81,59.65,27332475
98,15-Nov-16,58.33,59.49,58.32,58.87,35904126
99,14-Nov-16,59.02,59.08,57.28,58.12,41328422
100,11-Nov-16,58.23,59.12,58.01,59.02,38767843
101,10-Nov-16,60.48,60.49,57.63,58.7,57822394
102,9-Nov-16,60.0,60.59,59.2,60.17,49632479
103,8-Nov-16,60.55,60.78,60.15,60.47,22935355
104,7-Nov-16,59.78,60.52,59.78,60.42,31664798
105,4-Nov-16,58.65,59.28,58.52,58.71,28697016
106,3-Nov-16,59.53,59.64,59.11,59.21,21600427
107,2-Nov-16,59.82,59.93,59.3,59.43,22147005
108,1-Nov-16,59.97,60.02,59.25,59.8,24532986
109,31-Oct-16,60.16,60.42,59.92,59.92,26434697
110,28-Oct-16,60.01,60.52,59.58,59.87,33574684
111,27-Oct-16,60.61,60.83,60.09,60.1,28479856
112,26-Oct-16,60.81,61.2,60.47,60.63,29911608
113,25-Oct-16,60.85,61.37,60.8,60.99,35137164
114,24-Oct-16,59.94,61.0,59.93,61.0,54066978
115,21-Oct-16,60.28,60.45,59.48,59.66,80032206
116,20-Oct-16,57.5,57.52,56.66,57.25,49455612
117,19-Oct-16,57.47,57.84,57.4,57.53,22878397
118,18-Oct-16,57.53,57.94,57.41,57.66,19149538
119,17-Oct-16,57.36,57.46,56.87,57.22,23830014
120,14-Oct-16,57.12,57.74,57.12,57.42,27402451
121,13-Oct-16,56.7,57.3,56.32,56.92,25313748
122,12-Oct-16,57.11,57.27,56.4,57.11,22177464
123,11-Oct-16,57.89,58.02,56.89,57.19,26497418
124,10-Oct-16,57.91,58.39,57.87,58.04,18196509
125,7-Oct-16,57.85,57.98,57.42,57.8,20089020
126,6-Oct-16,57.74,57.86,57.28,57.74,16212611
127,5-Oct-16,57.29,57.96,57.26,57.64,16726411
128,4-Oct-16,57.27,57.6,56.97,57.24,20085874
129,3-Oct-16,57.4,57.55,57.06,57.42,19189515
130,30-Sep-16,57.57,57.77,57.34,57.6,29910788
131,29-Sep-16,57.81,58.17,57.21,57.4,25463536
132,28-Sep-16,57.88,58.06,57.67,58.03,20536400
133,27-Sep-16,56.93,58.06,56.68,57.95,28065071
134,26-Sep-16,57.08,57.14,56.83,56.9,21688720
135,23-Sep-16,57.87,57.91,57.38,57.43,19955336
136,22-Sep-16,57.92,58.0,57.63,57.82,19822203
137,21-Sep-16,57.51,57.85,57.08,57.76,33707272
138,20-Sep-16,57.35,57.35,56.75,56.81,17383982
139,19-Sep-16,57.27,57.75,56.85,56.93,20937104
140,16-Sep-16,57.63,57.63,56.75,57.25,44606965
141,15-Sep-16,56.15,57.35,55.98,57.19,27062614
142,14-Sep-16,56.39,56.63,56.03,56.26,24274273
143,13-Sep-16,56.5,56.65,56.05,56.53,30130213
144,12-Sep-16,56.0,57.2,55.61,57.05,29302962
145,9-Sep-16,56.79,57.52,56.21,56.21,35113934
146,8-Sep-16,57.63,57.79,57.18,57.43,20146083
147,7-Sep-16,57.47,57.84,57.4,57.66,17493359
148,6-Sep-16,57.78,57.8,57.21,57.61,16278416
149,2-Sep-16,57.67,58.19,57.42,57.67,18900489
150,1-Sep-16,57.01,57.82,57.01,57.59,26075363
