,Date,Open,High,Low,Close,Volume
0,7-Apr-17,55.1,55.24,54.77,55.11,6078250
1,6-Apr-17,55.07,55.94,54.94,55.14,6692225
2,5-Apr-17,54.97,55.8,54.5,54.98,7722093
3,4-Apr-17,55.15,55.3,54.83,55.04,8843296
4,3-Apr-17,55.74,55.8,55.15,55.56,7088838
5,31-Mar-17,56.0,56.03,55.64,55.73,5905639
6,30-Mar-17,56.48,56.6,55.81,56.04,7210468
7,29-Mar-17,56.41,57.1,56.35,56.68,7456208
8,28-Mar-17,55.99,56.78,55.79,56.62,7823943
9,27-Mar-17,55.64,56.25,55.54,55.93,8663611
10,24-Mar-17,55.29,56.64,55.12,56.36,14438573
11,23-Mar-17,54.61,55.55,54.52,55.37,23848344
12,22-Mar-17,54.76,55.0,53.76,53.92,37413372
13,21-Mar-17,58.78,59.0,57.72,58.01,15269827
14,20-Mar-17,58.0,58.81,57.96,58.68,13352530
15,17-Mar-17,57.77,57.88,57.31,57.8,10791471
16,16-Mar-17,57.43,57.72,56.83,57.6,9894955
17,15-Mar-17,57.63,57.99,56.75,57.66,10067524
18,14-Mar-17,56.87,58.01,56.72,57.28,9286917
19,13-Mar-17,56.4,56.82,56.11,56.67,7235882
20,10-Mar-17,56.49,56.99,56.26,56.43,8882395
21,9-Mar-17,56.61,56.66,56.09,56.36,6165660
22,8-Mar-17,56.94,56.94,56.31,56.51,7604792
23,7-Mar-17,56.71,56.99,56.02,56.55,7124445
24,6-Mar-17,56.7,56.93,56.53,56.77,6896754
25,3-Mar-17,57.63,57.65,56.51,56.7,9192475
26,2-Mar-17,57.9,58.25,57.65,57.8,6438361
27,1-Mar-17,57.86,58.03,57.33,57.95,8558904
28,28-Feb-17,57.37,57.55,56.86,57.16,7951315
29,27-Feb-17,57.65,57.83,57.35,57.69,4375653
30,24-Feb-17,57.39,58.42,57.07,57.86,9684469
31,23-Feb-17,58.11,58.4,57.27,57.39,12316307
32,22-Feb-17,57.48,58.38,57.36,58.24,10914088
