,Date,Open,High,Low,Close,Volume
0,7-Apr-17,44.09,44.38,43.99,44.29,13446605
1,6-Apr-17,44.53,44.53,44.14,44.18,11557755
2,5-Apr-17,44.74,44.97,44.41,44.49,9445119
3,4-Apr-17,44.61,44.74,44.38,44.59,9161341
4,3-Apr-17,44.68,45.05,44.4,44.61,16044276
5,31-Mar-17,44.5,44.85,44.46,44.61,10652754
6,30-Mar-17,44.45,44.74,44.37,44.68,7792510
7,29-Mar-17,44.52,44.73,44.47,44.52,10636243
8,28-Mar-17,44.83,45.03,44.66,44.69,14008754
9,27-Mar-17,44.51,44.93,44.36,44.84,8933400
10,24-Mar-17,44.92,45.09,44.58,44.65,13110178
11,23-Mar-17,44.68,45.06,44.67,44.95,16190536
12,22-Mar-17,45.13,45.45,44.63,44.79,14339677
13,21-Mar-17,45.31,45.4,44.71,44.84,21974454
14,20-Mar-17,45.67,45.95,45.16,45.23,21452575
15,17-Mar-17,45.25,45.98,45.11,45.66,31688720
16,16-Mar-17,46.39,46.99,45.65,45.73,67535437
17,15-Mar-17,42.9,43.2,42.64,43.05,18393223
18,14-Mar-17,42.58,42.84,42.4,42.79,10290999
19,13-Mar-17,42.75,42.78,42.52,42.58,12440837
20,10-Mar-17,42.62,42.69,42.35,42.68,12244538
21,9-Mar-17,42.63,42.63,42.25,42.44,10308443
22,8-Mar-17,42.68,42.79,42.51,42.61,9217090
23,7-Mar-17,42.58,42.75,42.52,42.6,9492905
24,6-Mar-17,42.46,42.74,42.3,42.57,9196010
25,3-Mar-17,42.77,42.88,42.59,42.69,8928505
26,2-Mar-17,42.83,42.93,42.63,42.89,9431593
27,1-Mar-17,42.75,43.0,42.69,42.92,11402152
28,28-Feb-17,42.62,42.74,42.42,42.59,14450263
29,27-Feb-17,43.26,43.26,42.52,42.7,13876507
30,24-Feb-17,42.74,43.19,42.68,43.17,11426697
31,23-Feb-17,42.56,42.99,42.5,42.96,15483953
32,22-Feb-17,42.26,42.52,42.13,42.51,11602769
33,21-Feb-17,41.99,42.38,41.93,42.27,12394709
34,17-Feb-17,41.54,42.06,41.5,42.06,18545336
35,16-Feb-17,41.46,41.74,41.36,41.59,10132672
36,15-Feb-17,40.96,41.48,40.89,41.41,9243647
37,14-Feb-17,40.92,41.17,40.75,41.1,9622961
38,13-Feb-17,40.89,41.19,40.8,41.09,12779834
39,10-Feb-17,40.33,40.92,40.21,40.79,13168666
40,9-Feb-17,40.09,40.45,40.05,40.23,10977185
41,8-Feb-17,40.06,40.35,40.01,40.02,8883343
42,7-Feb-17,40.16,40.3,40.04,40.07,8848671
43,6-Feb-17,40.44,40.44,40.08,40.1,7871322
44,3-Feb-17,40.07,40.43,39.95,40.43,12941164
45,2-Feb-17,39.77,40.0,39.68,39.98,10120343
46,1-Feb-17,40.22,40.22,39.71,39.84,11836961
47,31-Jan-17,40.21,40.25,39.68,40.11,10766745
48,30-Jan-17,40.11,40.25,39.81,40.23,10589562
49,27-Jan-17,40.2,40.39,40.13,40.23,9232665
50,26-Jan-17,40.21,40.25,39.95,40.13,10556466
51,25-Jan-17,40.32,40.38,39.95,40.15,13164793
52,24-Jan-17,39.85,40.2,39.75,40.1,12216458
53,23-Jan-17,39.76,40.09,39.43,39.68,13251221
54,20-Jan-17,39.46,40.04,39.45,39.87,25439091
55,19-Jan-17,39.12,39.38,39.1,39.21,12232380
56,18-Jan-17,39.28,39.34,39.03,39.19,10394029
57,17-Jan-17,39.07,39.28,38.88,39.1,11081367
58,13-Jan-17,39.16,39.33,39.03,39.26,9455308
59,12-Jan-17,39.03,39.32,38.59,39.2,11527296
60,11-Jan-17,38.64,39.13,38.64,39.11,10403082
61,10-Jan-17,39.0,39.07,38.66,38.66,11316576
62,9-Jan-17,38.53,39.45,38.47,39.03,15587888
63,6-Jan-17,38.75,38.75,38.38,38.45,14829725
64,5-Jan-17,38.67,38.95,38.4,38.64,12064718
65,4-Jan-17,38.55,38.92,38.55,38.74,9545541
66,3-Jan-17,38.45,38.69,38.3,38.55,11051341
67,30-Dec-16,38.75,38.86,38.34,38.45,10820188
68,29-Dec-16,38.61,38.84,38.61,38.69,5712159
69,28-Dec-16,38.87,38.92,38.63,38.68,8264081
70,27-Dec-16,38.77,39.04,38.76,38.82,5073778
71,23-Dec-16,38.79,39.02,38.63,38.78,8143554
72,22-Dec-16,38.93,39.24,38.6,38.96,11226345
73,21-Dec-16,39.06,39.06,38.61,38.83,11966373
74,20-Dec-16,38.96,39.11,38.8,39.0,14006387
75,19-Dec-16,39.03,39.19,38.59,38.9,15135143
76,16-Dec-16,40.22,40.22,38.76,39.1,46224181
77,15-Dec-16,40.95,41.14,40.74,40.86,17783475
78,14-Dec-16,40.87,41.09,40.62,40.88,25102420
79,13-Dec-16,40.47,41.0,40.47,40.76,12493139
80,12-Dec-16,40.35,40.7,40.35,40.51,10891491
81,9-Dec-16,40.41,40.77,40.28,40.52,11219098
82,8-Dec-16,40.32,40.5,40.08,40.35,10109674
83,7-Dec-16,39.5,40.37,39.49,40.32,15170645
84,6-Dec-16,39.01,39.48,38.88,39.47,13524707
