,Date,Open,High,Low,Close,Volume
0,7-Apr-17,63.4,63.55,62.92,62.99,3871733
1,6-Apr-17,63.64,63.78,63.17,63.28,4285656
2,5-Apr-17,64.37,64.87,63.32,63.43,4740765
3,4-Apr-17,63.72,64.02,62.91,64.01,3051136
4,3-Apr-17,63.38,63.88,62.71,63.74,4324440
5,31-Mar-17,64.01,64.32,63.1,63.36,6520820
6,30-Mar-17,64.05,64.5,63.52,64.27,8501408
7,29-Mar-17,63.21,63.94,63.04,63.78,4351410
8,28-Mar-17,62.87,63.62,62.56,63.4,4961358
9,27-Mar-17,62.15,62.99,62.1,62.87,3350289
10,24-Mar-17,63.16,63.42,62.43,62.83,4228916
11,23-Mar-17,63.25,63.72,62.97,63.04,3975466
12,22-Mar-17,63.28,63.7,62.78,63.51,4984519
13,21-Mar-17,63.97,64.06,63.27,63.36,6446632
14,20-Mar-17,63.76,64.06,63.44,63.66,4655581
15,17-Mar-17,63.99,64.34,63.82,64.09,7553837
16,16-Mar-17,65.02,65.07,63.72,63.82,5789495
17,15-Mar-17,64.3,65.21,63.69,65.06,7500332
18,14-Mar-17,62.36,63.25,61.8,63.04,5747013
19,13-Mar-17,62.51,63.29,62.5,62.88,6118100
20,10-Mar-17,63.0,63.05,62.19,62.6,6070041
21,9-Mar-17,61.87,62.59,61.01,62.5,8182533
22,8-Mar-17,63.73,63.96,62.01,62.06,7225961
23,7-Mar-17,64.86,64.97,64.5,64.7,5391588
24,6-Mar-17,64.82,65.04,64.49,64.73,5100805
25,3-Mar-17,65.38,65.48,64.64,64.86,5089671
26,2-Mar-17,65.84,66.14,65.37,65.5,5647005
27,1-Mar-17,66.21,66.79,65.95,66.24,5277025
28,28-Feb-17,65.23,65.68,65.04,65.55,5309417
29,27-Feb-17,64.93,65.7,64.66,65.47,5015678
30,24-Feb-17,65.03,65.13,64.19,64.89,5286608
31,23-Feb-17,66.51,66.61,65.08,65.25,6441463
32,22-Feb-17,66.58,66.96,65.88,65.91,5177711
33,21-Feb-17,67.0,67.25,66.59,66.98,4796142
34,17-Feb-17,66.16,66.28,65.39,66.27,5259157
35,16-Feb-17,67.38,67.38,66.36,66.44,4905177
36,15-Feb-17,66.87,67.66,66.75,67.21,4673912
37,14-Feb-17,67.5,67.75,65.71,67.16,8696997
38,13-Feb-17,67.39,67.71,66.88,67.39,6123996
39,10-Feb-17,68.57,69.9,68.16,68.47,7394535
40,9-Feb-17,66.37,68.33,66.16,68.19,6778515
41,8-Feb-17,66.6,67.2,65.62,66.77,5676701
42,7-Feb-17,67.91,67.95,66.35,66.82,4857230
43,6-Feb-17,68.95,69.28,67.98,68.19,3799313
44,3-Feb-17,68.44,69.84,68.11,69.18,4069430
45,2-Feb-17,67.6,69.1,67.26,68.5,4889780
46,1-Feb-17,67.93,68.1,67.02,67.61,3975702
47,31-Jan-17,68.0,68.09,67.33,67.77,5538449
48,30-Jan-17,68.53,68.85,67.32,67.88,4550978
49,27-Jan-17,68.37,68.96,68.14,68.95,3836483
50,26-Jan-17,68.28,68.57,67.85,68.55,3698706
51,25-Jan-17,68.1,69.25,67.91,68.13,6147386
52,24-Jan-17,68.44,68.5,67.61,67.87,4946787
53,23-Jan-17,68.29,68.58,67.65,67.99,3129426
54,20-Jan-17,69.35,69.4,68.27,68.59,4239082
55,19-Jan-17,69.58,69.75,68.38,68.73,3901113
56,18-Jan-17,69.29,69.88,69.06,69.32,3659302
57,17-Jan-17,69.74,70.16,69.09,69.73,3776391
58,13-Jan-17,68.94,69.38,68.66,69.08,3739757
59,12-Jan-17,69.53,69.64,68.47,69.03,5343581
60,11-Jan-17,69.4,69.94,68.88,69.35,6423151
61,10-Jan-17,70.49,70.76,69.29,69.35,3993244
62,9-Jan-17,70.52,70.81,69.9,70.48,5543707
63,6-Jan-17,70.62,71.39,70.34,71.08,3935597
64,5-Jan-17,71.32,71.48,70.54,70.62,4769923
65,4-Jan-17,71.93,72.2,71.07,71.48,4151373
66,3-Jan-17,72.27,72.96,71.18,72.27,4393600
67,30-Dec-16,71.51,71.85,71.02,71.23,2641605
68,29-Dec-16,71.81,71.95,71.2,71.6,1939727
69,28-Dec-16,72.33,72.53,71.63,71.87,2373358
70,27-Dec-16,72.1,72.54,71.81,72.35,2200529
71,23-Dec-16,72.22,72.51,71.6,72.11,2344256
72,22-Dec-16,72.08,72.62,71.73,72.36,3700583
73,21-Dec-16,72.71,72.71,72.04,72.16,2450882
74,20-Dec-16,72.57,72.87,71.99,72.38,2953084
75,19-Dec-16,73.21,73.26,72.22,72.47,3490879
76,16-Dec-16,72.24,73.51,71.69,73.44,9264720
77,15-Dec-16,70.32,71.64,69.8,71.3,4855325
78,14-Dec-16,71.72,72.3,70.81,70.96,3741185
79,13-Dec-16,72.0,72.89,71.45,72.35,4355549
80,12-Dec-16,72.25,72.47,71.28,71.39,5439494
81,9-Dec-16,69.48,70.79,69.31,70.58,4563450
82,8-Dec-16,68.96,69.37,68.12,69.32,6258052
83,7-Dec-16,69.52,69.75,67.81,68.64,8381761
84,6-Dec-16,70.48,71.26,70.1,70.41,4643750
85,5-Dec-16,71.29,72.13,70.94,70.98,4933441
86,2-Dec-16,71.1,71.54,70.66,70.85,4153338
87,1-Dec-16,72.9,72.96,71.1,71.27,5690820
88,30-Nov-16,69.46,72.05,68.97,71.36,9434899
89,29-Nov-16,67.38,68.0,66.85,67.57,3976060
90,28-Nov-16,70.18,70.18,68.28,68.39,3836731
91,25-Nov-16,69.47,69.96,69.27,69.75,1319206
92,23-Nov-16,68.77,70.13,68.77,69.85,3958455
93,22-Nov-16,69.83,70.15,68.72,69.29,5663108
94,21-Nov-16,69.3,70.25,69.1,69.23,4330943
95,18-Nov-16,68.03,68.85,67.93,68.22,5490189
96,17-Nov-16,69.55,70.29,67.7,67.81,6666129
97,16-Nov-16,68.28,69.88,68.16,68.93,7106373
98,15-Nov-16,66.3,68.84,66.19,68.49,7443275
99,14-Nov-16,64.57,66.06,64.37,65.77,8700334
100,11-Nov-16,65.37,65.37,64.4,64.95,7290243
101,10-Nov-16,66.79,66.98,65.6,65.72,9215391
102,9-Nov-16,66.75,67.66,66.12,66.9,8582876
103,8-Nov-16,67.09,67.43,66.46,66.89,4283334
104,7-Nov-16,67.47,67.82,66.8,67.25,5855527
105,4-Nov-16,67.41,68.27,66.56,66.59,7713947
106,3-Nov-16,68.0,68.0,66.83,67.45,7863005
107,2-Nov-16,68.72,68.87,67.1,67.79,5810259
108,1-Nov-16,72.45,72.84,67.66,69.0,13046981
109,31-Oct-16,73.64,73.69,72.55,72.91,4722121
110,28-Oct-16,73.89,74.76,73.55,73.63,5822963
111,27-Oct-16,74.73,74.89,73.72,73.79,4124652
112,26-Oct-16,73.7,74.58,73.29,74.39,3678010
113,25-Oct-16,74.83,75.5,74.35,74.43,4943788
114,24-Oct-16,74.72,75.4,73.9,75.03,6117164
