,Date,Open,High,Low,Close,Volume
0,7-Apr-17,1773.94,1773.99,1761.26,1769.56,289700
1,6-Apr-17,1764.75,1774.94,1755.37,1773.52,327409
2,5-Apr-17,1770.66,1787.57,1758.75,1761.77,324137
3,4-Apr-17,1772.99,1774.5,1761.41,1767.38,258457
4,3-Apr-17,1776.26,1785.0,1766.01,1773.99,360029
5,31-Mar-17,1784.74,1790.78,1778.78,1779.97,420527
6,30-Mar-17,1788.48,1795.56,1779.64,1789.2,278237
7,29-Mar-17,1789.83,1797.46,1783.3,1785.05,288372
8,28-Mar-17,1767.65,1798.75,1766.51,1788.45,454890
9,27-Mar-17,1736.0,1774.34,1733.0,1772.0,400413
10,24-Mar-17,1753.6,1757.49,1748.19,1753.11,300374
11,23-Mar-17,1752.95,1758.8,1747.67,1748.33,220854
12,22-Mar-17,1747.14,1754.9,1739.0,1751.99,278518
13,21-Mar-17,1772.0,1772.0,1744.08,1747.14,432755
14,20-Mar-17,1773.5,1776.69,1762.57,1765.44,262391
15,17-Mar-17,1774.73,1774.73,1766.78,1772.63,414638
16,16-Mar-17,1771.0,1775.0,1768.94,1773.98,302241
17,15-Mar-17,1772.78,1773.38,1759.78,1767.98,353244
18,14-Mar-17,1767.93,1769.86,1756.24,1769.0,321166
19,13-Mar-17,1757.0,1772.49,1754.94,1767.12,327936
20,10-Mar-17,1757.14,1759.17,1750.81,1754.24,330910
21,9-Mar-17,1738.15,1756.32,1738.15,1749.42,419507
22,8-Mar-17,1735.2,1749.64,1731.67,1743.49,421157
23,7-Mar-17,1720.0,1737.62,1720.0,1736.46,282612
24,6-Mar-17,1730.0,1736.85,1727.0,1730.21,354605
25,3-Mar-17,1731.0,1742.0,1729.41,1735.1,292797
26,2-Mar-17,1737.52,1747.26,1730.8,1734.37,503317
27,1-Mar-17,1741.0,1742.02,1726.23,1733.18,623667
28,28-Feb-17,1703.89,1748.39,1698.1,1724.13,1739807
29,27-Feb-17,1631.11,1635.32,1612.41,1632.01,812957
30,24-Feb-17,1627.55,1640.68,1622.02,1631.62,562914
31,23-Feb-17,1661.9,1664.99,1633.4,1637.26,412834
32,22-Feb-17,1641.52,1653.46,1639.0,1651.74,278868
33,21-Feb-17,1642.98,1657.24,1637.42,1647.0,460327
34,17-Feb-17,1648.78,1648.78,1634.06,1637.4,413956
35,16-Feb-17,1647.45,1658.97,1642.5,1648.88,301723
36,15-Feb-17,1631.3,1651.27,1628.0,1648.96,281001
37,14-Feb-17,1646.18,1646.31,1630.34,1637.29,391013
38,13-Feb-17,1652.0,1652.0,1640.0,1646.18,414147
39,10-Feb-17,1617.47,1649.65,1614.02,1646.51,843784
40,9-Feb-17,1602.84,1616.08,1598.05,1611.83,414258
41,8-Feb-17,1595.18,1604.3,1589.0,1601.19,373637
42,7-Feb-17,1590.0,1598.93,1588.0,1598.7,295491
43,6-Feb-17,1581.34,1588.87,1571.32,1587.18,210247
44,3-Feb-17,1576.49,1587.99,1572.81,1583.38,318032
45,2-Feb-17,1570.03,1585.45,1567.0,1574.09,444754
46,1-Feb-17,1584.09,1586.59,1562.86,1575.31,330688
47,31-Jan-17,1599.0,1599.41,1569.03,1575.13,517992
48,30-Jan-17,1598.65,1603.58,1571.0,1602.31,469914
49,27-Jan-17,1581.0,1605.47,1577.67,1602.92,428544
50,26-Jan-17,1576.56,1587.51,1575.45,1581.44,294924
51,25-Jan-17,1569.0,1581.47,1565.26,1578.82,308820
52,24-Jan-17,1558.38,1566.06,1552.13,1563.33,360258
53,23-Jan-17,1541.47,1555.73,1534.63,1554.99,430332
54,20-Jan-17,1547.56,1547.56,1528.01,1545.01,596473
55,19-Jan-17,1541.4,1549.0,1532.72,1539.02,279178
56,18-Jan-17,1545.22,1547.25,1529.21,1541.86,246014
57,17-Jan-17,1544.0,1546.99,1534.01,1540.13,330472
58,13-Jan-17,1535.75,1548.94,1531.26,1545.82,327038
59,12-Jan-17,1531.56,1539.93,1516.0,1538.59,314981
60,11-Jan-17,1532.21,1546.67,1527.02,1536.11,405273
61,10-Jan-17,1534.96,1544.56,1529.5,1535.25,325352
62,9-Jan-17,1518.0,1538.77,1518.0,1529.64,397497
63,6-Jan-17,1501.54,1526.47,1501.21,1520.57,473400
64,5-Jan-17,1489.89,1504.94,1489.89,1503.7,447540
65,4-Jan-17,1484.64,1493.65,1480.75,1487.29,388519
66,3-Jan-17,1476.91,1487.36,1459.49,1477.57,458853
67,30-Dec-16,1483.49,1483.49,1462.34,1466.06,407379
68,29-Dec-16,1477.21,1487.43,1473.35,1480.16,200861
69,28-Dec-16,1494.73,1496.05,1476.48,1480.46,248715
70,27-Dec-16,1490.01,1503.39,1486.43,1493.42,193927
71,23-Dec-16,1477.54,1490.08,1470.34,1486.2,275867
72,22-Dec-16,1501.4,1503.18,1475.42,1481.34,406420
73,21-Dec-16,1498.11,1512.71,1495.0,1505.76,291489
74,20-Dec-16,1488.06,1503.96,1483.98,1502.25,306567
75,19-Dec-16,1484.27,1501.47,1477.99,1488.83,390571
76,16-Dec-16,1507.5,1507.97,1473.13,1484.28,714549
77,15-Dec-16,1520.0,1523.0,1500.57,1501.2,584618
78,14-Dec-16,1542.74,1549.13,1525.72,1528.45,307587
79,13-Dec-16,1545.19,1560.0,1538.26,1540.11,387983
80,12-Dec-16,1560.55,1566.63,1528.57,1536.78,396630
81,9-Dec-16,1555.5,1559.18,1549.94,1557.98,333919
82,8-Dec-16,1535.36,1551.77,1522.76,1548.67,506505
83,7-Dec-16,1504.69,1527.8,1501.87,1527.04,389907
84,6-Dec-16,1506.96,1508.09,1493.99,1504.82,255320
85,5-Dec-16,1476.19,1502.87,1475.22,1499.76,350058
86,2-Dec-16,1481.48,1488.8,1466.98,1473.0,336892
87,1-Dec-16,1501.69,1504.12,1468.97,1479.66,572693
88,30-Nov-16,1523.25,1528.58,1500.21,1503.68,375620
89,29-Nov-16,1528.65,1532.9,1515.0,1520.27,327065
90,28-Nov-16,1517.3,1536.0,1513.11,1525.07,348940
91,25-Nov-16,1523.12,1527.99,1511.4,1521.68,174009
92,23-Nov-16,1530.92,1533.56,1510.89,1520.99,319016
93,22-Nov-16,1530.25,1535.9,1525.64,1535.42,320070
94,21-Nov-16,1512.0,1531.02,1507.2,1524.18,296359
95,18-Nov-16,1512.28,1529.0,1504.53,1507.35,426312
96,17-Nov-16,1502.54,1530.95,1500.19,1512.9,413476
97,16-Nov-16,1492.39,1517.0,1488.23,1503.23,366913
98,15-Nov-16,1499.97,1507.76,1485.6,1497.45,669081
99,14-Nov-16,1540.46,1541.92,1482.23,1489.18,801850
100,11-Nov-16,1548.1,1557.7,1530.87,1540.65,643516
101,10-Nov-16,1584.44,1600.93,1520.3,1554.32,1102306
102,9-Nov-16,1565.0,1575.0,1546.58,1570.26,912686
103,8-Nov-16,1540.0,1589.2,1540.0,1578.13,1560975
104,7-Nov-16,1437.45,1485.2,1435.79,1480.33,1395456
105,4-Nov-16,1429.05,1442.14,1422.19,1424.28,435291
106,3-Nov-16,1449.35,1456.52,1435.41,1438.1,367738
107,2-Nov-16,1468.48,1469.55,1441.79,1445.33,540224
108,1-Nov-16,1474.23,1480.01,1453.93,1467.0,562866
109,31-Oct-16,1478.3,1479.61,1472.28,1474.23,284405
110,28-Oct-16,1465.08,1483.0,1460.0,1474.82,600851
111,27-Oct-16,1475.1,1480.0,1461.08,1463.02,358829
112,26-Oct-16,1475.0,1477.55,1465.48,1469.16,416808
113,25-Oct-16,1466.24,1481.85,1465.87,1479.03,365694
114,24-Oct-16,1470.45,1479.83,1465.48,1471.8,274599
115,21-Oct-16,1460.77,1468.0,1455.5,1467.39,379658
116,20-Oct-16,1473.93,1473.99,1461.01,1468.29,300405
117,19-Oct-16,1457.35,1474.7,1455.21,1469.2,344781
118,18-Oct-16,1450.63,1459.9,1446.51,1454.97,326060
119,17-Oct-16,1436.63,1443.36,1429.6,1437.65,263753
120,14-Oct-16,1450.0,1456.35,1435.05,1439.57,329273
121,13-Oct-16,1445.8,1449.16,1429.58,1442.52,483908
122,12-Oct-16,1458.0,1469.3,1452.81,1454.84,288733
123,11-Oct-16,1470.0,1475.52,1455.01,1459.02,418446
124,10-Oct-16,1481.0,1486.59,1470.24,1475.18,441838
125,7-Oct-16,1498.74,1498.74,1478.01,1479.82,414723
126,6-Oct-16,1492.73,1497.26,1485.28,1490.44,362074
127,5-Oct-16,1493.56,1501.79,1490.0,1497.58,399188
128,4-Oct-16,1494.35,1498.83,1483.02,1489.02,386451
129,3-Oct-16,1463.83,1490.43,1459.42,1486.72,514271
130,30-Sep-16,1478.07,1480.69,1463.92,1471.49,436543
131,29-Sep-16,1459.01,1481.78,1455.31,1472.98,652881
132,28-Sep-16,1459.48,1461.56,1449.25,1458.03,394664
133,27-Sep-16,1446.65,1460.52,1441.22,1453.49,471871
134,26-Sep-16,1452.62,1453.77,1440.23,1447.15,327638
135,23-Sep-16,1465.0,1465.0,1452.41,1456.76,321210
136,22-Sep-16,1464.85,1469.93,1458.0,1465.87,337806
137,21-Sep-16,1452.64,1464.68,1442.51,1464.0,412516
138,20-Sep-16,1457.89,1459.53,1440.0,1449.0,289731
139,19-Sep-16,1469.0,1473.17,1446.55,1448.06,503035
140,16-Sep-16,1453.31,1462.91,1442.22,1460.05,740407
141,15-Sep-16,1431.98,1458.91,1426.16,1457.22,733999
142,14-Sep-16,1418.7,1431.2,1416.01,1429.38,394022
143,13-Sep-16,1426.0,1439.99,1405.53,1415.95,524339
144,12-Sep-16,1402.67,1443.13,1402.67,1436.21,504645
145,9-Sep-16,1432.66,1443.0,1413.23,1413.9,496124
146,8-Sep-16,1443.33,1454.11,1441.93,1445.83,350790
147,7-Sep-16,1434.75,1447.32,1429.83,1444.01,302258
148,6-Sep-16,1421.92,1436.96,1416.25,1436.96,387261
149,2-Sep-16,1427.0,1429.98,1415.76,1422.85,264067
150,1-Sep-16,1422.5,1424.37,1408.53,1418.59,307241
151,31-Aug-16,1414.15,1418.41,1408.0,1416.73,167289
152,30-Aug-16,1422.69,1430.51,1412.0,1416.55,199040
153,29-Aug-16,1423.0,1433.97,1419.76,1425.19,316637
154,26-Aug-16,1415.55,1429.69,1410.5,1419.79,412011
155,25-Aug-16,1404.13,1418.6,1404.13,1415.55,309617
156,24-Aug-16,1419.21,1429.53,1404.01,1410.18,369254
157,23-Aug-16,1425.32,1433.0,1419.5,1422.47,306488
158,22-Aug-16,1434.44,1434.45,1421.0,1423.99,405731
159,19-Aug-16,1438.0,1443.07,1428.08,1432.0,476843
160,18-Aug-16,1440.0,1449.9,1437.5,1443.07,523477
161,17-Aug-16,1408.66,1429.27,1404.03,1427.2,479748
162,16-Aug-16,1397.95,1410.37,1392.44,1408.66,365673
163,15-Aug-16,1408.0,1412.1,1396.75,1399.16,429164
164,12-Aug-16,1400.95,1408.34,1400.95,1407.98,282017
165,11-Aug-16,1408.75,1416.43,1405.37,1406.92,301355
166,10-Aug-16,1411.0,1412.0,1401.05,1406.28,268372
167,9-Aug-16,1404.51,1409.4,1398.25,1407.01,428147
168,8-Aug-16,1415.54,1418.58,1402.02,1405.0,637030
169,5-Aug-16,1435.0,1435.0,1406.99,1414.22,1456551
170,4-Aug-16,1358.4,1363.68,1344.32,1359.99,1321562
171,3-Aug-16,1341.6,1376.68,1336.03,1371.14,861817
172,2-Aug-16,1353.31,1363.0,1325.72,1345.38,597354
173,1-Aug-16,1353.73,1363.59,1342.4,1356.08,547920
174,29-Jul-16,1314.99,1353.99,1313.42,1350.81,1413587
175,28-Jul-16,1310.0,1329.87,1310.0,1326.1,500475
176,27-Jul-16,1319.4,1340.0,1315.46,1324.48,482154
177,26-Jul-16,1322.75,1331.32,1316.03,1324.53,456085
178,25-Jul-16,1330.45,1330.72,1305.09,1321.67,592944
179,22-Jul-16,1336.23,1336.7,1323.07,1327.4,405747
180,21-Jul-16,1349.01,1350.8,1325.82,1332.5,523119
181,20-Jul-16,1330.11,1362.99,1323.68,1352.83,650081
182,19-Jul-16,1332.0,1338.59,1325.0,1327.0,381864
