,Date,Open,High,Low,Close,Volume
0,7-Apr-17,34.09,34.25,34.04,34.1,13973510
1,6-Apr-17,34.14,34.35,34.06,34.11,16285254
2,5-Apr-17,34.33,34.52,34.15,34.19,19280079
3,4-Apr-17,34.18,34.5,34.05,34.34,19282949
4,3-Apr-17,34.11,34.35,34.1,34.24,18088044
5,31-Mar-17,34.21,34.38,34.16,34.21,18611785
6,30-Mar-17,34.19,34.44,34.15,34.35,14993815
7,29-Mar-17,34.16,34.45,34.11,34.33,17281021
8,28-Mar-17,34.06,34.26,33.97,34.16,18337464
9,27-Mar-17,33.74,34.31,33.74,34.18,17886174
10,24-Mar-17,34.27,34.27,33.94,34.0,27118654
11,23-Mar-17,34.32,34.56,34.23,34.29,20283431
12,22-Mar-17,34.3,34.54,33.99,34.47,26117870
13,21-Mar-17,34.48,34.61,34.18,34.25,31388495
14,20-Mar-17,34.4,34.5,34.32,34.38,17490950
15,17-Mar-17,34.46,34.58,34.27,34.32,43392929
16,16-Mar-17,34.57,34.63,34.25,34.43,20698492
17,15-Mar-17,34.22,34.71,34.18,34.63,23035916
18,14-Mar-17,34.02,34.33,33.98,34.22,14766085
19,13-Mar-17,34.14,34.15,33.91,34.11,18964029
20,10-Mar-17,34.14,34.32,34.0,34.11,19179038
21,9-Mar-17,33.88,34.14,33.78,34.05,19164707
22,8-Mar-17,33.91,34.1,33.72,33.91,22647434
23,7-Mar-17,33.87,34.2,33.75,33.99,29206226
24,6-Mar-17,34.33,34.47,34.08,34.35,18191883
25,3-Mar-17,34.42,34.65,34.36,34.52,18837249
26,2-Mar-17,34.46,34.75,34.42,34.51,25572123
27,1-Mar-17,34.27,34.53,34.05,34.42,32291229
28,28-Feb-17,34.1,34.26,33.91,34.12,27480705
29,27-Feb-17,34.23,34.46,34.16,34.28,21830284
30,24-Feb-17,34.17,34.35,33.99,34.26,24711954
31,23-Feb-17,33.7,34.12,33.58,34.06,30477129
32,22-Feb-17,33.57,33.75,33.25,33.59,27207299
33,21-Feb-17,33.57,33.8,33.48,33.62,24090742
34,17-Feb-17,33.59,33.89,33.53,33.62,34992707
35,16-Feb-17,33.45,33.88,33.22,33.62,38332300
36,15-Feb-17,32.78,33.58,32.68,33.51,45574488
37,14-Feb-17,32.53,32.77,32.35,32.75,22965351
38,13-Feb-17,32.44,32.69,32.44,32.61,20620122
39,10-Feb-17,32.41,32.45,32.23,32.35,21907167
40,9-Feb-17,32.26,32.54,32.23,32.38,23816348
41,8-Feb-17,31.92,32.34,31.92,32.14,19160070
42,7-Feb-17,32.32,32.35,31.94,32.08,23512005
43,6-Feb-17,32.0,32.33,31.94,32.23,24534376
44,3-Feb-17,32.12,32.24,31.92,32.09,35991724
45,2-Feb-17,31.47,31.73,31.32,31.73,23372299
46,1-Feb-17,31.51,31.69,31.26,31.67,28493260
47,31-Jan-17,31.01,31.93,30.93,31.73,37450039
48,30-Jan-17,31.47,31.5,31.06,31.31,27464839
49,27-Jan-17,31.47,31.54,31.26,31.42,24054743
50,26-Jan-17,31.4,31.47,31.2,31.28,27185453
51,25-Jan-17,31.36,31.52,31.1,31.29,32168240
52,24-Jan-17,31.4,31.46,30.9,31.15,29625416
53,23-Jan-17,31.68,31.82,31.44,31.46,24760966
54,20-Jan-17,31.72,32.12,31.66,31.77,30159695
55,19-Jan-17,32.06,32.09,31.53,31.7,26144122
56,18-Jan-17,32.09,32.28,31.95,32.03,21469733
57,17-Jan-17,32.35,32.38,31.78,32.06,32104523
58,13-Jan-17,32.67,32.78,32.33,32.52,20291186
59,12-Jan-17,32.53,32.62,32.3,32.6,31760852
60,11-Jan-17,33.37,33.54,32.4,32.83,40439412
61,10-Jan-17,33.59,33.66,33.32,33.44,19397333
62,9-Jan-17,33.43,33.67,33.38,33.47,20455302
63,6-Jan-17,33.66,33.7,33.34,33.48,17474593
64,5-Jan-17,33.37,33.69,33.12,33.61,20003366
65,4-Jan-17,33.13,33.35,33.03,33.29,21588216
66,3-Jan-17,32.7,33.0,32.59,33.0,22193434
67,30-Dec-16,32.34,32.6,32.31,32.48,18866618
68,29-Dec-16,32.39,32.62,32.37,32.49,14067567
69,28-Dec-16,32.5,32.69,32.34,32.35,13938755
70,27-Dec-16,32.57,32.72,32.48,32.53,11220427
71,23-Dec-16,32.41,32.56,32.36,32.48,10804464
72,22-Dec-16,32.29,32.43,32.05,32.34,18613336
73,21-Dec-16,32.73,32.93,32.33,32.4,18739717
74,20-Dec-16,32.78,32.88,32.57,32.85,25074289
75,19-Dec-16,32.76,32.97,32.72,32.83,24930729
76,16-Dec-16,32.88,32.94,32.52,32.84,37585369
77,15-Dec-16,32.63,32.96,32.6,32.75,20877122
78,14-Dec-16,32.92,33.3,32.64,32.82,36347068
79,13-Dec-16,32.81,32.88,32.56,32.83,28760300
80,12-Dec-16,31.7,32.65,31.66,32.4,32255700
81,9-Dec-16,31.11,31.92,31.09,31.7,29350843
82,8-Dec-16,30.84,31.1,30.51,30.94,35493010
83,7-Dec-16,31.33,31.33,30.6,31.19,44053675
84,6-Dec-16,31.65,31.7,31.43,31.56,17706806
85,5-Dec-16,31.74,31.77,31.39,31.59,19300328
86,2-Dec-16,31.54,31.73,31.36,31.63,19007839
87,1-Dec-16,32.25,32.25,31.4,31.46,30606411
88,30-Nov-16,31.98,32.36,31.75,32.14,38519485
89,29-Nov-16,31.85,31.97,31.61,31.92,21642215
90,28-Nov-16,31.69,31.84,31.5,31.54,17735150
91,25-Nov-16,31.6,31.74,31.55,31.69,10452948
92,23-Nov-16,31.18,31.45,30.63,31.42,21270415
93,22-Nov-16,31.93,31.99,31.05,31.33,26434849
94,21-Nov-16,31.51,31.69,31.49,31.57,21872759
95,18-Nov-16,31.95,31.95,31.44,31.48,24156427
96,17-Nov-16,32.01,32.12,31.68,31.73,26073099
97,16-Nov-16,32.2,32.33,31.93,31.96,22641562
98,15-Nov-16,32.76,32.76,31.88,32.23,29614279
99,14-Nov-16,32.85,32.9,32.13,32.38,30568352
100,11-Nov-16,33.22,33.34,32.19,32.59,35803589
101,10-Nov-16,33.32,33.83,32.85,33.49,67275205
102,9-Nov-16,33.01,33.37,31.5,32.12,118753768
103,8-Nov-16,30.13,30.45,29.96,30.0,35451303
104,7-Nov-16,30.23,30.44,30.08,30.38,30877493
105,4-Nov-16,29.91,30.37,29.9,30.0,35028231
106,3-Nov-16,30.7,30.7,29.83,29.89,36329216
107,2-Nov-16,30.99,31.04,30.36,30.63,36084519
108,1-Nov-16,30.94,31.72,30.75,31.07,54350118
109,31-Oct-16,32.04,32.04,31.61,31.71,35949424
110,28-Oct-16,32.52,32.56,31.88,31.93,28508651
111,27-Oct-16,32.58,32.81,32.37,32.48,18253037
112,26-Oct-16,32.28,32.6,32.15,32.4,17102660
113,25-Oct-16,32.02,32.37,31.98,32.28,19336056
114,24-Oct-16,32.3,32.36,32.05,32.13,19586374
115,21-Oct-16,32.42,32.45,32.18,32.18,18834961
116,20-Oct-16,32.49,32.74,32.49,32.54,19292363
117,19-Oct-16,32.75,32.84,32.49,32.6,16363791
118,18-Oct-16,32.74,32.87,32.61,32.69,14823626
119,17-Oct-16,32.58,32.71,32.48,32.5,16923468
120,14-Oct-16,32.73,32.9,32.66,32.66,15569339
121,13-Oct-16,32.57,32.9,32.52,32.76,24182290
122,12-Oct-16,33.14,33.24,32.94,33.07,15138764
123,11-Oct-16,33.56,33.57,32.94,33.13,17332125
124,10-Oct-16,33.65,33.84,33.57,33.61,16383660
125,7-Oct-16,33.7,34.0,33.42,33.56,14819706
126,6-Oct-16,33.78,33.8,33.47,33.65,15948590
127,5-Oct-16,33.73,33.98,33.68,33.9,13945331
128,4-Oct-16,33.61,33.9,33.51,33.72,20901129
129,3-Oct-16,33.73,33.73,33.38,33.68,17895999
130,30-Sep-16,33.44,34.02,33.4,33.87,28593974
131,29-Sep-16,33.94,34.07,33.3,33.32,25043991
132,28-Sep-16,33.85,34.0,33.69,33.99,14307758
133,27-Sep-16,33.78,33.88,33.48,33.83,15610585
134,26-Sep-16,33.92,34.01,33.42,33.64,29525632
135,23-Sep-16,34.16,34.37,34.01,34.26,12937101
136,22-Sep-16,34.33,34.43,34.07,34.15,16737398
137,21-Sep-16,33.9,34.33,33.74,34.28,15557394
138,20-Sep-16,33.84,33.94,33.6,33.81,14113245
139,19-Sep-16,33.99,34.03,33.59,33.65,17542252
140,16-Sep-16,34.19,34.22,33.83,33.94,25615509
141,15-Sep-16,33.89,34.33,33.55,34.14,20852944
142,14-Sep-16,34.12,34.35,33.86,33.94,18904147
143,13-Sep-16,34.44,34.44,33.85,34.04,20757597
144,12-Sep-16,34.0,34.73,33.94,34.65,19423820
145,9-Sep-16,34.55,34.59,34.09,34.1,22386204
146,8-Sep-16,34.71,34.81,34.62,34.72,18231711
147,7-Sep-16,34.72,34.89,34.68,34.84,14815540
148,6-Sep-16,34.88,34.99,34.75,34.77,16965863
149,2-Sep-16,34.78,34.84,34.61,34.77,14435849
150,1-Sep-16,34.73,34.94,34.61,34.68,15921155
151,31-Aug-16,34.86,34.94,34.61,34.8,20796612
152,30-Aug-16,35.11,35.18,34.85,34.88,14492181
153,29-Aug-16,34.94,35.17,34.82,35.11,15124885
154,26-Aug-16,34.8,35.1,34.66,34.82,18771960
155,25-Aug-16,34.76,35.19,34.66,34.77,18105382
156,24-Aug-16,35.23,35.38,34.76,34.82,22538088
157,23-Aug-16,35.0,35.27,34.91,35.09,16957910
158,22-Aug-16,34.8,35.28,34.76,34.84,26042442
159,19-Aug-16,35.06,35.12,34.82,34.98,19568121
160,18-Aug-16,35.14,35.36,34.99,35.19,16131301
161,17-Aug-16,34.75,35.15,34.75,35.14,17040893
162,16-Aug-16,34.94,35.08,34.77,34.79,15127343
163,15-Aug-16,35.05,35.17,34.93,35.11,12354034
164,12-Aug-16,35.08,35.11,34.75,34.98,15029166
165,11-Aug-16,35.13,35.28,35.1,35.15,13384075
166,10-Aug-16,35.17,35.18,34.91,35.13,14124597
167,9-Aug-16,34.99,35.3,34.9,35.08,17129391
168,8-Aug-16,35.28,35.28,34.71,34.93,30540494
169,5-Aug-16,35.36,35.53,35.22,35.44,27196405
170,4-Aug-16,35.5,35.52,35.15,35.15,25125802
171,3-Aug-16,35.91,35.95,35.06,35.29,42638656
172,2-Aug-16,36.76,36.82,36.13,36.39,33125741
173,1-Aug-16,37.02,37.39,36.98,37.31,28378613
174,29-Jul-16,36.68,36.95,36.65,36.89,21513828
175,28-Jul-16,36.88,36.91,36.5,36.67,16256954
176,27-Jul-16,36.75,36.92,36.65,36.85,15064000
177,26-Jul-16,36.83,36.87,36.65,36.83,12119508
178,25-Jul-16,36.8,36.84,36.51,36.78,12175764
179,22-Jul-16,36.8,36.84,36.68,36.74,13481509
180,21-Jul-16,36.67,36.82,36.52,36.71,13212689
181,20-Jul-16,36.9,36.93,36.68,36.68,12274287
182,19-Jul-16,36.67,36.87,36.55,36.64,16712509
183,18-Jul-16,36.69,36.99,36.55,36.64,16914164
184,15-Jul-16,36.97,37.19,36.63,36.77,25090491
185,14-Jul-16,36.49,36.96,36.25,36.92,27661388
186,13-Jul-16,36.28,36.43,36.21,36.31,13862889
187,12-Jul-16,36.15,36.3,36.03,36.24,16192018
188,11-Jul-16,36.07,36.35,36.03,36.15,16515071
189,8-Jul-16,35.88,36.19,35.7,36.12,17792142
190,7-Jul-16,35.79,35.93,35.56,35.77,18103472
191,6-Jul-16,35.82,35.9,35.38,35.86,25832015
192,5-Jul-16,35.54,35.92,35.45,35.81,20847146
193,1-Jul-16,35.15,35.65,35.12,35.57,19327637
194,30-Jun-16,35.14,35.27,34.94,35.21,26993796
195,29-Jun-16,34.62,35.15,34.57,35.01,24864130
196,28-Jun-16,34.15,34.47,33.92,34.44,23784246
197,27-Jun-16,33.8,33.98,33.53,33.8,29846683
198,24-Jun-16,33.8,34.45,33.74,33.97,44000223
199,23-Jun-16,34.7,34.74,34.3,34.59,23824757
200,22-Jun-16,34.74,34.95,34.41,34.47,25157102
201,21-Jun-16,34.51,34.88,34.51,34.75,25356674
202,20-Jun-16,34.48,34.7,34.18,34.5,22594776
203,17-Jun-16,34.78,34.81,34.06,34.22,33608565
204,16-Jun-16,34.68,34.79,34.42,34.75,22334530
205,15-Jun-16,35.01,35.19,34.65,34.79,20277743
206,14-Jun-16,34.6,35.03,34.58,34.99,31698717
207,13-Jun-16,35.02,35.15,34.7,34.74,29692587
208,10-Jun-16,35.11,35.39,35.02,35.29,20536448
209,9-Jun-16,35.05,35.5,35.03,35.31,24136766
210,8-Jun-16,34.77,35.33,34.67,35.25,22488810
211,7-Jun-16,34.84,34.99,34.75,34.84,23507519
212,6-Jun-16,34.7,34.99,34.62,34.93,20423941
213,3-Jun-16,34.87,34.88,34.45,34.69,26923708
214,2-Jun-16,34.69,34.99,34.52,34.87,30178076
215,1-Jun-16,34.65,34.94,34.62,34.75,23113119
216,31-May-16,34.67,34.75,34.38,34.7,32777281
217,27-May-16,34.38,34.75,34.38,34.61,20444741
218,26-May-16,34.26,34.65,34.26,34.43,25239929
219,25-May-16,34.12,34.4,34.07,34.35,21015406
220,24-May-16,33.69,34.18,33.69,34.1,27465396
221,23-May-16,33.83,33.91,33.65,33.67,23834003
222,20-May-16,33.48,33.9,33.45,33.74,34392484
223,19-May-16,33.16,33.43,32.96,33.38,26653184
224,18-May-16,33.01,33.38,32.97,33.17,19905138
225,17-May-16,33.27,33.34,32.92,33.03,31473514
226,16-May-16,32.93,33.43,32.81,33.38,22044804
227,13-May-16,33.33,33.45,33.14,33.19,20436270
228,12-May-16,33.22,33.28,32.92,33.19,25337292
229,11-May-16,33.46,33.56,33.15,33.16,30292831
230,10-May-16,33.83,33.87,33.48,33.8,24750924
231,9-May-16,33.54,33.96,33.52,33.82,31468669
