,Date,Open,High,Low,Close,Volume
0,7-Apr-17,56.58,56.6,56.19,56.32,5229759
1,6-Apr-17,56.44,56.73,56.14,56.53,5757837
2,5-Apr-17,56.8,57.53,56.42,56.47,7857728
3,4-Apr-17,56.3,56.91,56.25,56.68,7124105
4,3-Apr-17,57.26,57.34,56.04,56.5,11343523
5,31-Mar-17,57.46,57.69,56.97,57.34,10064955
6,30-Mar-17,57.36,57.65,57.19,57.2,6358995
7,29-Mar-17,57.09,57.37,56.86,57.36,4042648
8,28-Mar-17,56.67,57.61,56.67,57.38,5953489
9,27-Mar-17,56.72,56.94,56.48,56.66,4726309
10,24-Mar-17,57.47,57.47,56.64,56.92,5621440
11,23-Mar-17,57.16,57.27,56.59,56.81,7718655
12,22-Mar-17,56.73,57.12,56.1,57.04,9129711
13,21-Mar-17,57.93,58.1,56.74,56.8,10092647
14,20-Mar-17,57.79,58.07,57.59,57.81,7498218
15,17-Mar-17,58.57,58.61,57.51,57.55,20057782
16,16-Mar-17,58.3,58.73,58.16,58.35,7206192
17,15-Mar-17,58.42,58.75,58.18,58.52,9029458
18,14-Mar-17,58.38,58.38,57.72,58.22,6276935
19,13-Mar-17,59.03,59.04,58.2,58.46,7737879
20,10-Mar-17,58.36,58.79,58.3,58.64,9751987
21,9-Mar-17,57.65,58.1,57.4,57.97,9875608
22,8-Mar-17,56.92,58.08,56.8,57.77,13201652
23,7-Mar-17,56.6,56.82,56.19,56.73,7131737
24,6-Mar-17,56.27,56.56,56.07,56.45,7241631
25,3-Mar-17,56.52,56.57,56.0,56.44,6984526
26,2-Mar-17,56.95,57.15,56.24,56.37,8451735
27,1-Mar-17,56.93,57.08,56.27,57.01,11082396
28,28-Feb-17,56.49,56.52,55.89,56.48,10388173
29,27-Feb-17,56.56,56.98,56.31,56.73,7127599
30,24-Feb-17,57.02,57.23,56.5,57.22,10644787
31,23-Feb-17,57.01,57.3,56.77,57.14,10152814
32,22-Feb-17,56.78,57.1,56.48,57.1,8711537
33,21-Feb-17,56.83,57.19,56.58,56.75,9878152
34,17-Feb-17,56.85,56.94,56.05,56.46,12456638
35,16-Feb-17,56.58,56.9,56.44,56.88,11622895
36,15-Feb-17,55.63,56.5,55.49,56.49,14149193
37,14-Feb-17,55.43,55.52,54.82,55.48,13071979
38,13-Feb-17,54.58,55.13,54.26,54.93,14516176
39,10-Feb-17,53.1,54.28,52.93,54.0,14042202
40,9-Feb-17,52.91,53.1,52.76,52.88,7615138
41,8-Feb-17,53.39,53.39,52.72,52.89,9229045
42,7-Feb-17,53.22,53.28,52.76,53.27,10374100
43,6-Feb-17,53.31,53.41,52.82,52.88,8215133
44,3-Feb-17,52.95,53.22,52.75,52.98,10965265
45,2-Feb-17,52.95,53.1,52.37,52.66,14481242
46,1-Feb-17,53.64,53.82,52.86,53.15,16102109
47,31-Jan-17,53.61,53.64,52.83,53.43,13995448
48,30-Jan-17,54.39,54.4,53.55,53.61,14853856
49,27-Jan-17,54.65,54.76,54.0,54.24,23474353
50,26-Jan-17,55.35,55.49,53.5,54.05,37888156
51,25-Jan-17,56.1,56.98,55.5,56.9,27969706
52,24-Jan-17,55.02,55.77,54.7,55.0,41751760
53,23-Jan-17,58.67,58.67,53.77,54.88,94436001
54,20-Jan-17,65.19,65.74,62.62,62.88,20936881
55,19-Jan-17,64.97,65.4,64.36,64.44,9429206
56,18-Jan-17,64.67,66.09,63.81,65.13,15883201
57,17-Jan-17,66.71,66.97,63.15,64.19,22426310
58,13-Jan-17,66.25,67.08,66.16,66.88,6177365
59,12-Jan-17,65.35,66.18,65.05,66.12,6113613
60,11-Jan-17,65.75,66.11,65.42,66.1,8349761
61,10-Jan-17,65.95,66.16,65.57,65.63,6076032
62,9-Jan-17,65.53,66.26,65.49,65.65,4769160
63,6-Jan-17,65.48,65.87,64.86,65.53,6749352
64,5-Jan-17,65.22,65.98,65.05,65.55,5998898
65,4-Jan-17,65.67,65.95,65.26,65.47,6221655
66,3-Jan-17,65.86,66.14,64.6,65.4,9519838
67,30-Dec-16,66.25,66.35,65.04,65.2,5941909
68,29-Dec-16,65.5,66.08,65.42,66.04,3700771
69,28-Dec-16,66.65,67.07,65.7,65.75,6547168
70,27-Dec-16,67.14,67.58,67.06,67.25,3028159
71,23-Dec-16,66.89,66.94,66.52,66.86,3088052
72,22-Dec-16,67.64,67.75,66.46,66.76,5900160
73,21-Dec-16,67.07,67.35,66.82,67.16,5211362
74,20-Dec-16,67.38,67.56,66.77,66.91,6685432
75,19-Dec-16,66.79,67.43,66.64,67.02,7884694
76,16-Dec-16,68.49,68.49,66.3,66.46,18155575
77,15-Dec-16,68.1,68.77,67.31,68.03,7162470
78,14-Dec-16,68.64,69.18,67.35,67.56,9957690
79,13-Dec-16,68.72,70.24,68.49,69.34,8494227
80,12-Dec-16,68.37,68.64,67.92,68.47,5615537
81,9-Dec-16,68.61,68.89,67.8,68.52,5551783
82,8-Dec-16,68.42,69.18,68.37,68.55,5552585
83,7-Dec-16,67.35,68.34,66.96,68.34,7202661
84,6-Dec-16,66.65,67.48,66.5,67.45,6701797
85,5-Dec-16,66.38,66.94,65.69,66.36,8708196
86,2-Dec-16,63.95,66.33,63.95,65.84,9687015
87,1-Dec-16,67.72,67.92,63.78,64.16,16563896
88,30-Nov-16,66.8,68.31,66.5,68.13,12470027
89,29-Nov-16,67.23,67.54,66.63,66.77,6544858
90,28-Nov-16,67.42,67.7,66.8,67.1,8225168
91,25-Nov-16,68.16,68.42,67.71,68.29,4200136
92,23-Nov-16,68.33,68.5,67.75,68.13,4820254
93,22-Nov-16,67.57,68.6,67.04,68.31,9803646
94,21-Nov-16,66.86,67.2,66.15,67.1,7868947
95,18-Nov-16,66.68,67.46,65.94,67.31,9889299
96,17-Nov-16,66.44,66.77,66.16,66.67,6433061
97,16-Nov-16,66.71,66.71,65.65,66.3,9552165
98,15-Nov-16,66.26,67.16,65.95,66.77,9615236
99,14-Nov-16,67.42,67.42,65.93,65.93,8256806
100,11-Nov-16,65.87,67.0,65.84,66.88,10239827
101,10-Nov-16,67.81,68.21,64.32,66.31,17774884
102,9-Nov-16,66.63,68.09,66.25,67.88,11604410
103,8-Nov-16,68.22,68.71,67.63,68.27,6696564
104,7-Nov-16,67.72,68.58,67.39,68.46,9205303
105,4-Nov-16,65.74,67.41,65.74,66.73,8584254
106,3-Nov-16,67.69,68.57,65.93,66.95,15642519
107,2-Nov-16,68.46,68.6,67.02,67.09,15183040
108,1-Nov-16,69.0,69.35,67.54,68.34,8910085
109,31-Oct-16,69.0,69.51,68.68,68.72,10108268
110,28-Oct-16,70.52,70.53,67.66,68.4,17952659
111,27-Oct-16,70.8,71.62,70.0,70.09,33941733
112,26-Oct-16,67.31,68.62,67.25,68.2,9241241
113,25-Oct-16,67.9,68.25,67.48,67.71,5369950
114,24-Oct-16,68.4,68.45,67.48,68.06,6669606
115,21-Oct-16,67.11,69.44,66.7,67.93,19676630
116,20-Oct-16,65.48,68.17,65.48,67.34,13579044
117,19-Oct-16,65.88,66.06,65.3,65.79,5414694
118,18-Oct-16,66.18,66.22,65.57,66.1,5966858
119,17-Oct-16,65.53,65.71,65.09,65.19,6348209
120,14-Oct-16,65.94,66.59,65.45,65.7,6743106
