,Date,Open,High,Low,Close,Volume
0,7-Apr-17,154.62,155.2,151.71,152.96,3646132
1,6-Apr-17,150.11,150.88,149.7,150.75,2252467
2,5-Apr-17,151.42,152.64,149.85,149.95,1600875
3,4-Apr-17,151.77,152.05,150.92,151.4,1409869
4,3-Apr-17,152.57,152.9,151.44,151.77,1383292
5,31-Mar-17,153.04,153.43,152.5,152.5,1387426
6,30-Mar-17,151.89,153.42,151.5,153.16,1194180
7,29-Mar-17,151.73,151.98,150.85,151.93,950825
8,28-Mar-17,150.58,152.96,150.24,152.07,1201228
9,27-Mar-17,150.08,151.26,148.65,151.15,1680408
10,24-Mar-17,152.64,152.82,150.83,151.02,1897404
11,23-Mar-17,154.26,154.8,152.97,153.16,1348542
12,22-Mar-17,154.03,154.56,152.9,154.29,1246988
13,21-Mar-17,156.35,156.5,153.43,153.6,1302165
14,20-Mar-17,157.08,157.59,155.79,155.92,1468193
15,17-Mar-17,154.2,156.97,154.02,156.97,2208224
16,16-Mar-17,154.97,155.18,152.89,153.66,1818373
17,15-Mar-17,154.56,155.16,154.02,154.73,1500522
18,14-Mar-17,154.21,154.75,153.7,154.4,960684
19,13-Mar-17,154.0,154.83,153.82,154.61,1007129
20,10-Mar-17,154.84,155.44,153.66,154.38,1106787
21,9-Mar-17,154.36,154.68,153.81,154.13,1454980
22,8-Mar-17,154.6,155.14,153.77,154.11,1224582
23,7-Mar-17,153.1,154.61,152.97,154.48,1779901
24,6-Mar-17,153.4,153.9,152.93,153.32,1348642
25,3-Mar-17,153.86,154.42,153.02,153.75,2125617
26,2-Mar-17,153.82,154.98,153.57,154.3,4187008
27,1-Mar-17,155.85,156.4,154.07,154.57,2014895
28,28-Feb-17,154.95,155.65,154.0,154.15,2091191
29,27-Feb-17,154.0,156.2,153.87,154.83,1699365
30,24-Feb-17,153.24,153.66,152.52,153.48,1001479
31,23-Feb-17,154.22,154.93,153.01,153.29,2067054
32,22-Feb-17,153.71,154.18,152.5,154.08,1155440
